Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c-dc,,soc
1,60.0150622,02-25-2016 07:56:06,60.01506281,1,1,0,3.471264839,0,0,0,0,3.23242E-05,0,0,0,0,,,,
2,70.03100173,02-25-2016 07:56:16,10.0155033,2,1,0.999713123,3.619649172,0.002781398,0,0.010051092,0,0.000907146,0,0,0,0,,,,
3,80.04625212,02-25-2016 07:56:26,20.03075344,2,1,0.999893069,3.625804663,0.005562755,0,0.020128103,0,0.000485945,0,0,0,0,,,,
4,90.06177992,02-25-2016 07:56:36,30.04628125,2,1,0.999893069,3.630340576,0.008344267,0,0.030220074,0,0.000388813,0,0,0,0,,,,
5,100.0773689,02-25-2016 07:56:46,40.06187035,2,1,0.999713123,3.633742332,0.011125794,0,0.040322686,0,0.000321956,0,0,0,0,,,,
6,110.0775044,02-25-2016 07:56:56,50.06200602,2,1,0.999893069,3.636496305,0.013902986,0,0.050417851,0,0.000259209,0,0,0,0,,,,
7,120.0927285,02-25-2016 07:57:06,60.07722986,2,1,0.999713123,3.638602018,0.016684357,0,0.060535062,0,0.000194359,0,0,0,0,,,,
8,130.1080997,02-25-2016 07:57:16,70.09260088,2,1,0.999713123,3.640546083,0.019465729,0,0.070658279,0,0.000161538,0,0,0,0,,,,
9,140.1237543,02-25-2016 07:57:26,80.10825572,2,1,0.999893069,3.642651796,0.022247265,0,0.080787574,0,0.000161982,0,0,0,0,,,,
10,150.1392678,02-25-2016 07:57:36,90.12376922,2,1,0.999893069,3.644433737,0.025028741,0,0.090921839,0,0.000193155,0,0,0,0,,,,
11,160.1547259,02-25-2016 07:57:46,100.1392273,2,1,0.999713123,3.646215677,0.027805849,0,0.101045177,0,0.000226083,0,0,0,0,,,,
12,170.170287,02-25-2016 07:57:56,110.1547885,2,1,0.999713123,3.647835493,0.030591696,0,0.111205178,0,0.000161478,0,0,0,0,,,,
13,180.1857118,02-25-2016 07:58:06,120.1702134,2,1,0.999713123,3.649455547,0.03336884,0,0.121338107,0,0.000161982,0,0,0,0,,,,
14,190.2013167,02-25-2016 07:58:16,130.1858182,2,1,0.999893069,3.651399374,0.036154688,0,0.131507773,0,0.000226076,0,0,0,0,,,,
15,200.2166215,02-25-2016 07:58:26,140.201123,2,1,0.999893069,3.653019428,0.038931826,0,0.141650492,0,0.000161524,0,0,0,0,,,,
16,210.2169129,02-25-2016 07:58:36,150.2014145,2,1,0.999893069,3.654801369,0.041708997,0,0.151798103,0,0.000194405,0,0,0,0,,,,
17,220.232313,02-25-2016 07:58:46,160.2168145,2,1,0.999713123,3.656583071,0.044494852,0,0.161982274,0,0.000194358,0,0,0,0,,,,
18,230.2475336,02-25-2016 07:58:56,170.2320351,2,1,0.999893069,3.658365011,0.047276226,0,0.172154952,0,0.000193764,0,0,0,0,,,,
19,240.2631467,02-25-2016 07:59:06,180.2476482,2,1,0.999893069,3.659985065,0.050057668,0,0.182332694,0,0.000161522,0,0,0,0,,,,
20,250.2784597,02-25-2016 07:59:16,190.2629609,2,1,0.999893069,3.661767006,0.052834703,0,0.192499165,0,0.00019321,0,0,0,0,,,,
21,260.2785165,02-25-2016 07:59:26,200.2630181,2,1,0.999893069,3.663548708,0.055616174,0,0.202686708,0,0.000194359,0,0,0,0,,,,
