Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),SoC(%),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,,C-dC,,SoC
1,60.0159518,11-11-2015 14:23:32,60.01595238,1,1,0,3.431990862,0,0,0,0,0,0,0.06,0,,,0,,2.508642508
2,70.03191388,11-11-2015 14:23:42,10.01552274,2,1,0.999833703,3.540292501,0.002781719,0,0.009827777,0,0.001068449,0,0.062781719,0,,,0.002781719,,2.643637757
3,80.04742779,11-11-2015 14:23:52,20.03103666,2,1,0.999833703,3.548548698,0.005563449,0,0.019688073,0,0.000712299,0,0.065563449,0,,,0.005563449,,2.778633539
4,90.06295792,11-11-2015 14:24:02,30.04656679,2,1,0.999833703,3.553729057,0.008345153,0,0.029566737,0,0.000420904,0,0.068345153,0,,,0.008345153,,2.913628059
5,100.078367,11-11-2015 14:24:12,40.0619759,2,1,0.999833703,3.557290554,0.011126826,0,0.039457141,0,0.000323772,0,0.071126826,0,,,0.011126826,,3.048621075
6,110.0939603,11-11-2015 14:24:22,50.07756915,2,1,0.999833703,3.559395075,0.013908551,0,0.049355541,0,0.000194263,0,0.073908551,0,,,0.013908551,,3.183616615
7,120.109174,11-11-2015 14:24:32,60.0927828,2,1,0.999833703,3.561175823,0.01669017,0,0.05925897,0,0.000129509,0,0.07669017,0,,,0.01669017,,3.31860701
8,130.1249259,11-11-2015 14:24:42,70.10853482,2,1,0.999833703,3.562309027,0.019467528,0,0.069151184,0,9.71E-05,0,0.079467528,0,,,0.019467528,,3.453390621
9,140.1249441,11-11-2015 14:24:52,80.10855291,2,1,0.999653101,3.563280344,0.022249338,0,0.079062436,0,6.48E-05,0,0.082249338,0,,,0.022249338,,3.588390286
10,150.1404392,11-11-2015 14:25:02,90.12404803,2,1,0.999833703,3.564251661,0.025031003,0,0.088975411,0,0.000129509,0,0.085031003,0,,,0.025031003,,3.723382914
11,160.1559391,11-11-2015 14:25:12,100.1395479,2,1,0.999833703,3.564899206,0.027812724,0,0.09889115,0,6.48E-05,0,0.087812724,0,,,0.027812724,,3.858378259
12,170.1714628,11-11-2015 14:25:22,110.1550716,2,1,1.000014305,3.565870523,0.030594382,0,0.108808847,0,9.71E-05,0,0.090594382,0,,,0.030594382,,3.993370547
13,180.1868988,11-11-2015 14:25:32,120.1705077,2,1,0.999833703,3.566518068,0.033376037,0,0.118728584,0,6.48E-05,0,0.093376037,0,,,0.033376037,,4.128362689
14,190.2025262,11-11-2015 14:25:42,130.1861351,2,1,0.999833703,3.567165613,0.036157747,0,0.128650535,0,6.48E-05,0,0.096157747,0,,,0.036157747,,4.263357501
15,200.217991,11-11-2015 14:25:52,140.2016,2,1,0.999833703,3.567975044,0.03893939,0,0.138574124,0,9.71E-05,0,0.09893939,0,,,0.03893939,,4.398349061
16,210.2334823,11-11-2015 14:26:02,150.2170911,2,1,1.000014305,3.568460703,0.041721068,0,0.148499748,0,3.24E-05,0,0.101721068,0,,,0.041721068,,4.53334232
17,220.2490063,11-11-2015 14:26:12,160.2326152,2,1,0.999833703,3.569270134,0.044502726,0,0.158427143,0,9.71E-05,0,0.104502726,0,,,0.044502726,,4.668334608
18,230.2644618,11-11-2015 14:26:22,170.2480706,2,1,0.999653101,3.569755793,0.047284365,0,0.168356465,0,3.24E-05,0,0.107284365,0,,,0.047284365,,4.803325973
19,240.2800968,11-11-2015 14:26:32,180.2637057,2,1,0.999833703,3.570565224,0.050066089,0,0.178287946,0,6.48E-05,0,0.110066089,0,,,0.050066089,,4.938321464
20,250.2955597,11-11-2015 14:26:42,190.2791685,2,1,1.000014305,3.571374655,0.052847768,0,0.188221145,0,9.71E-05,0,0.112847768,0,,,0.052847768,,5.073314772
21,260.3111146,11-11-2015 14:26:52,200.2947234,2,1,0.999833703,3.5720222,0.055629452,0,0.198156295,0,9.71E-05,0,0.115629452,0,,,0.055629452,,5.208308321
22,270.3265245,11-11-2015 14:27:02,210.3101334,2,1,1.000014305,3.572831631,0.058411092,0,0.208093241,0,9.71E-05,0,0.118411092,0,,,0.058411092,,5.343299736
