인덱스,누적_용량(Ah),절대값_용량(Ah),전류(A),전압(V),
1,0.000133218,0.000133218,0.479619141,1.17303894,
2,0.000266434,0.000266434,0.479619141,1.180239258,
3,0.000399652,0.000399652,0.479556885,1.183150024,
4,0.000532873,0.000532873,0.479588013,1.184682007,
5,0.000666093,0.000666093,0.479588013,1.185754395,
6,0.000799314,0.000799314,0.479588013,1.186826782,
7,0.000932533,0.000932533,0.479619141,1.187439575,
8,0.001065751,0.001065751,0.479588013,1.187745972,
9,0.00119897,0.00119897,0.479556885,1.188052368,
10,0.001332187,0.001332187,0.479619141,1.188205566,
11,0.001465407,0.001465407,0.479588013,1.188358765,
12,0.001598626,0.001598626,0.479619141,1.188358765,
13,0.001731845,0.001731845,0.479588013,1.188665161,
14,0.001865065,0.001865065,0.479619141,1.188665161,
15,0.001998293,0.001998293,0.479868164,1.188665161,
16,0.002131575,0.002131575,0.47993042,1.188971558,
17,0.002264888,0.002264888,0.47993042,1.188971558,
18,0.0023982,0.0023982,0.479899292,1.189124756,
19,0.002531514,0.002531514,0.479899292,1.189277954,
20,0.002664825,0.002664825,0.47993042,1.189277954,
21,0.002798136,0.002798136,0.479961548,1.189431152,
22,0.002931447,0.002931447,0.479961548,1.189584351,
23,0.003064758,0.003064758,0.47993042,1.189737549,
24,0.003198069,0.003198069,0.47993042,1.189890747,
25,0.003331381,0.003331381,0.479899292,1.189890747,
26,0.003464694,0.003464694,0.479961548,1.190043945,
27,0.003598006,0.003598006,0.47993042,1.190043945,
28,0.003731319,0.003731319,0.47993042,1.19050354,
29,0.003864631,0.003864631,0.47993042,1.190350342,
30,0.00399794,0.00399794,0.479899292,1.190350342,
31,0.004131252,0.004131252,0.47993042,1.190656738,
32,0.004264565,0.004264565,0.47993042,1.19050354,
33,0.004397876,0.004397876,0.47993042,1.190656738,
34,0.004531187,0.004531187,0.479899292,1.190809937,
35,0.004664498,0.004664498,0.47993042,1.190809937,
36,0.004797809,0.004797809,0.479899292,1.191269531,
37,0.004931122,0.004931122,0.47993042,1.191422729,
38,0.005064434,0.005064434,0.479899292,1.191575928,
39,0.005197747,0.005197747,0.47993042,1.191729126,
40,0.005331057,0.005331057,0.479899292,1.191882324,
41,0.005464368,0.005464368,0.479899292,1.191882324,
42,0.00559768,0.00559768,0.479899292,1.192035522,
43,0.005730991,0.005730991,0.479899292,1.192495117,
