,0
0,80.386284
1,80.35744
2,80.360306
3,80.34599
4,80.32124
5,80.3119
6,80.28276
7,80.263306
8,80.26109
9,80.29171
10,80.32676
11,80.3331
12,80.348854
13,80.37068
14,80.38876
15,80.418
16,80.43652
17,80.448425
18,80.44742
19,80.43153
20,80.38072
21,80.37352
22,80.377716
23,80.40413
24,80.40887
25,80.396454
26,80.38722
27,80.332954
28,80.301674
29,80.294235
30,80.29477
31,80.31928
32,80.32216
33,80.28679
34,80.22223
35,80.17763
36,80.2079
37,80.242935
38,80.29759
39,80.33726
40,80.35217
41,80.34827
42,80.37407
43,80.38215
44,80.376236
45,80.308685
46,80.213165
47,80.212524
48,80.227875
49,80.249405
50,80.280365
51,80.32635
52,80.28611
53,80.233246
54,80.262955
55,80.28233
56,80.20845
57,80.15929
58,80.142456
59,80.12523
60,80.082466
61,80.06175
62,80.05935
63,80.038666
64,80.009735
65,80.02208
66,80.03082
67,80.010544
68,80.00658
69,80.00759
70,80.01957
71,80.018265
72,80.03883
73,80.07775
74,80.10312
75,80.06397
76,80.00347
77,79.94679
78,79.94529
79,79.94696
80,79.967316
81,80.01571
82,80.00456
83,79.98964
84,79.945946
85,79.933205
86,79.951706
87,79.97381
88,79.9822
89,80.02388
90,80.038956
91,80.032
92,80.02379
93,80.002106
94,80.00583
95,80.01023
96,79.96155
97,79.91824
98,79.932205
99,79.9846
100,80.004974
101,80.01942
102,80.00586
103,79.977715
104,79.932846
105,79.93589
106,80.00427
107,80.03029
108,80.01105
109,79.97122
110,79.975746
111,79.97409
112,79.9497
113,79.93636
114,79.934906
115,79.85519
116,79.804855
117,79.804565
118,79.77709
119,79.76325
120,79.76508
121,79.751366
122,79.721306
123,79.680145
124,79.63415
125,79.604614
126,79.60658
127,79.63622
128,79.648865
129,79.6423
130,79.58263
131,79.525055
132,79.495514
133,79.49575
134,79.5045
135,79.55552
136,79.59479
137,79.609665
138,79.63785
139,79.55552
140,79.46898
141,79.446754
142,79.42048
143,79.396
144,79.42872
145,79.43666
146,79.43341
147,79.37425
148,79.32296
149,79.27857
150,79.28491
151,79.31153
152,79.33363
153,79.34465
154,79.32912
155,79.28036
156,79.23159
157,79.22134
158,79.21492
159,79.24088
160,79.27873
161,79.25275
162,79.25076
163,79.2573
164,79.2059
165,79.13579
166,79.11189
167,79.08475
168,79.066666
169,79.06002
170,79.048546
171,79.06556
172,79.06947
173,79.059006
174,79.04633
175,79.03566
176,79.03092
177,78.9606
178,78.94969
179,78.964836
180,78.97055
181,78.96392
182,78.97533
183,78.92066
