,0
0,80.82654
1,80.77796
2,80.85023
3,80.908676
4,80.92407
5,80.90167
6,80.90257
7,80.94738
8,80.970375
9,80.945465
10,80.91699
11,80.81836
12,80.77274
13,80.78327
14,80.795
15,80.84274
16,80.90547
17,80.93498
18,80.88873
19,80.87948
20,80.89878
21,80.90935
22,80.853226
23,80.83062
24,80.87452
25,80.85483
26,80.86726
27,80.8694
28,80.871315
29,80.88315
30,80.89779
31,80.88303
32,80.81094
33,80.771805
34,80.79513
35,80.84735
36,80.935905
37,80.94041
38,80.921524
39,80.812065
40,80.797264
41,80.80037
42,80.82216
43,80.87813
44,80.86937
45,80.807076
46,80.793655
47,80.79052
48,80.784454
49,80.81032
50,80.84728
51,80.82767
52,80.880646
53,80.89065
54,80.838
55,80.73142
56,80.62877
57,80.584885
58,80.61818
59,80.65024
60,80.65978
61,80.62836
62,80.571526
63,80.50993
64,80.497475
65,80.49692
66,80.511475
67,80.51765
68,80.484726
69,80.447
70,80.49805
71,80.504265
72,80.45101
73,80.42819
74,80.42213
75,80.39259
76,80.36652
77,80.3365
78,80.335396
79,80.31053
80,80.29876
81,80.33044
82,80.36766
83,80.42876
84,80.44816
85,80.44415
86,80.384796
87,80.35574
88,80.30968
89,80.25534
90,80.20455
91,80.21363
92,80.21936
93,80.23255
94,80.29091
95,80.322685
96,80.338
97,80.41002
98,80.52371
99,80.52161
100,80.52162
101,80.508156
102,80.48572
103,80.37742
104,80.30536
105,80.27417
106,80.32382
107,80.401764
108,80.42167
109,80.33681
110,80.279816
111,80.24881
112,80.19021
113,80.18489
114,80.23277
115,80.25265
116,80.19949
117,80.12203
118,80.02428
119,79.98433
120,79.97127
121,80.03208
122,80.0523
123,80.08729
124,80.01991
125,79.93782
126,79.95309
127,79.98051
128,79.98117
129,79.895065
130,79.83696
131,79.797806
132,79.783295
133,79.74656
134,79.746414
135,79.802055
136,79.80847
137,79.82091
138,79.89926
139,79.98948
140,79.92526
141,79.805244
142,79.75745
