,0
0,81.4145
1,81.671906
2,81.77433
3,81.73007
4,81.70715
5,81.6711
6,81.63428
7,81.63596
8,81.664566
9,81.69824
10,81.784966
11,81.86927
12,81.916046
13,81.885254
14,81.78376
15,81.67247
16,81.61342
17,81.62027
18,81.63254
19,81.67349
20,81.68617
21,81.654274
22,81.60404
23,81.55171
24,81.51982
25,81.45989
26,81.38832
27,81.30147
28,81.23893
29,81.19563
30,81.17263
31,81.20803
32,81.280785
33,81.308044
34,81.246506
35,81.15451
36,81.097336
37,81.10859
38,81.14664
39,81.18106
40,81.16789
41,81.132286
42,81.07998
43,81.03863
44,81.011345
45,80.97638
46,80.95694
47,80.9661
48,80.927765
49,80.86578
50,80.86011
51,80.899185
52,80.93027
53,80.90626
54,80.87448
55,80.862495
56,80.849075
57,80.79224
58,80.79831
59,80.85161
60,80.88828
61,80.90374
62,80.89461
63,80.876465
64,80.820305
65,80.71762
66,80.58556
67,80.5681
68,80.58236
69,80.61527
70,80.61243
71,80.597916
72,80.55909
73,80.54878
74,80.57679
75,80.661736
76,80.77409
77,80.789986
78,80.7434
79,80.69917
80,80.619675
81,80.54742
82,80.56366
83,80.57094
84,80.57123
85,80.572525
86,80.53944
87,80.48806
88,80.48544
89,80.501526
90,80.57412
91,80.6717
92,80.73894
93,80.79475
94,80.77915
95,80.753586
96,80.78021
97,80.84148
98,80.892914
99,80.92471
100,80.93605
101,80.95334
102,80.95351
103,80.92683
104,80.91689
105,80.91656
106,80.8898
107,80.87338
108,80.90905
109,81.016
110,81.12197
111,81.149055
112,81.10884
113,81.0077
114,81.00617
115,81.00964
116,80.964424
117,80.90476
118,80.88283
119,80.92225
120,80.98097
121,80.96935
122,80.94075
123,80.91545
124,80.86432
125,80.75885
126,80.67055
127,80.58992
128,80.52348
129,80.458405
130,80.41263
131,80.42454
132,80.40489
133,80.338684
134,80.25189
135,80.17241
136,80.143394
137,80.12031
138,80.0815
139,80.110435
140,80.09591
141,80.05206
142,80.058105
143,80.071
144,80.084335
145,80.09088
146,80.07224
147,80.04066
148,79.99444
149,80.00583
150,80.0759
151,80.16198
152,80.17824
153,80.18999
154,80.24238
155,80.27838
156,80.24937
157,80.24106
158,80.27577
159,80.37731
160,80.493385
161,80.49417
162,80.52023
163,80.495766
164,80.40985
165,80.38515
166,80.45142
167,80.49562
168,80.52627
169,80.56615
170,80.537155
171,80.4431
172,80.4224
173,80.43534
174,80.40166
175,80.43187
176,80.43022
177,80.347626
178,80.260025
179,80.2784
180,80.29633
181,80.24745
182,80.27256
183,80.31511
184,80.30861
185,80.26254
186,80.30417
187,80.38998
188,80.43483
189,80.42668
190,80.368
191,80.26063
192,80.172264
193,80.1823
194,80.25952
195,80.31196
196,80.32166
197,80.31623
198,80.30664
199,80.337074
200,80.37073
201,80.40516
202,80.46037
203,80.48575
204,80.44132
205,80.38574
206,80.34056
207,80.320984
208,80.30896
209,80.28222
210,80.198555
211,80.11182
212,80.09873
213,80.11474
214,80.11726
215,80.106926
216,80.059906
217,79.99114
218,79.95043
219,79.9721
220,80.01235
221,80.045715
222,80.03369
223,79.96453
224,79.84504
225,79.77311
226,79.77527
227,79.79267
228,79.798386
229,79.73115
230,79.64261
231,79.60629
232,79.650314
233,79.65461
234,79.615814
235,79.58433
236,79.474434
