,0
0,80.5418
1,80.66968
2,80.64859
3,80.60336
4,80.594376
5,80.601105
6,80.5856
7,80.57616
8,80.5931
9,80.59806
10,80.683556
11,80.77756
12,80.82172
13,80.77679
14,80.64503
15,80.50938
16,80.479195
17,80.544365
18,80.61665
19,80.67986
20,80.69134
21,80.66786
22,80.596405
23,80.54013
24,80.53899
25,80.50323
26,80.48092
27,80.42477
28,80.36325
29,80.33237
30,80.35368
31,80.41347
32,80.480034
33,80.51479
34,80.47527
35,80.415375
36,80.405205
37,80.44578
38,80.485825
39,80.48059
40,80.42075
41,80.316666
42,80.21462
43,80.14427
44,80.09143
45,80.088165
46,80.17048
47,80.30038
48,80.354225
49,80.33548
50,80.3418
51,80.38168
52,80.41511
53,80.40732
54,80.39299
55,80.35707
56,80.27707
57,80.22891
58,80.25159
59,80.30808
60,80.34979
61,80.39511
62,80.39569
63,80.36949
64,80.35301
65,80.37062
66,80.37197
67,80.40494
68,80.43016
69,80.43507
70,80.40595
71,80.40701
72,80.40509
73,80.40497
74,80.40709
75,80.40589
76,80.45058
77,80.514534
78,80.560196
79,80.5912
80,80.55702
81,80.46817
82,80.348114
83,80.23719
84,80.190926
85,80.242065
86,80.35257
87,80.40132
88,80.42813
89,80.43375
90,80.470535
91,80.51556
92,80.57243
93,80.6347
94,80.61574
95,80.53948
96,80.49766
97,80.46828
98,80.42342
99,80.36925
100,80.33553
101,80.3445
102,80.33481
103,80.29874
104,80.26836
105,80.250694
106,80.23022
107,80.19978
108,80.15433
109,80.15898
110,80.187004
111,80.2112
112,80.11351
113,79.98321
114,80.01645
115,80.11498
116,80.16731
117,80.17952
118,80.19909
119,80.22363
120,80.21834
121,80.18085
122,80.175064
123,80.18097
124,80.14106
125,80.061676
126,80.007095
127,79.99722
128,80.00481
129,79.989716
130,79.989845
131,79.987045
132,79.95542
133,79.88527
134,79.80936
135,79.74135
136,79.728386
137,79.72174
138,79.67395
139,79.63443
140,79.605774
141,79.53345
142,79.491936
143,79.44876
144,79.36954
145,79.31931
146,79.30147
147,79.3402
148,79.32971
149,79.313385
150,79.29067
151,79.20258
152,79.12216
153,79.07699
154,79.11904
155,79.15139
156,79.10544
157,79.04231
158,79.05835
159,79.12459
160,79.15195
161,79.111916
162,78.99885
163,78.850105
164,78.77273
165,78.77942
166,78.80164
167,78.8517
168,78.84983
169,78.76256
170,78.59696
171,78.461105
172,78.48115
173,78.537155
174,78.602295
175,78.57739
176,78.360374
177,78.145935
178,78.06501
179,78.06269
180,78.1741
181,78.35073
182,78.46057
183,78.39672
184,78.282646
185,78.20068
186,78.20426
187,78.31781
188,78.4455
189,78.40378
190,78.27239
191,78.107414
192,77.976746
193,78.005104
194,78.05831
195,78.15034
196,78.20731
197,78.22061
198,78.15372
199,78.11176
200,78.09417
201,78.09768
202,78.13179
203,78.1305
204,78.11717
205,78.08247
206,78.02925
207,77.95854
208,77.894844
209,77.82422
210,77.752815
211,77.72567
212,77.78798
213,77.86463
214,77.895645
215,77.867676
216,77.737206
217,77.59502
218,77.499825
219,77.50876
220,77.6291
221,77.76396
222,77.795654
223,77.75412
224,77.62667
225,77.56218
226,77.58231
227,77.61636
228,77.67879
229,77.6897
230,77.644
231,77.6132
232,77.63581
233,77.66809
234,77.70041
235,77.78026
236,77.804
237,77.73782
238,77.66219
239,77.61902
240,77.59737
241,77.58446
242,77.56656
243,77.5821
244,77.59874
245,77.60959
246,77.6776
247,77.722565
248,77.73667
249,77.72646
250,77.70773
251,77.631516
252,77.63794
253,77.589386
254,77.52669
255,77.533646
256,77.66895
257,77.742935
258,77.73214
259,77.72327
260,77.6943
261,77.68383
262,77.66233
263,77.66675
264,77.70146
265,77.72515
266,77.77658
267,77.8263
268,77.8103
269,77.83287
270,77.72197
271,77.651245
272,77.67242
273,77.7111
274,77.74391
275,77.79199
276,77.79117
277,77.7621
278,77.7383
279,77.73474
280,77.73225
281,77.73906
282,77.722275
283,77.655685
284,77.58856
285,77.549614
286,77.57465
287,77.61141
288,77.6516
289,77.66321
290,77.571815
291,77.43575
292,77.31752
293,77.29372
294,77.34426
295,77.37785
296,77.360176
297,77.345215
298,77.338165
299,77.349884
300,77.3825
301,77.415855
302,77.4417
303,77.39746
304,77.28805
305,77.178856
306,77.18947
307,77.23863
308,77.277245
309,77.23605
310,77.153885
311,77.0498
312,76.9819
313,76.97943
314,77.0547
315,77.14663
316,77.23364
317,77.301476
318,77.317764
319,77.30124
320,77.266785
321,77.229904
322,77.190544
323,77.19339
324,77.22805
325,77.280304
326,77.31145
327,77.31342
328,77.28477
329,77.25382
330,77.2641
