,0
0,81.47552
1,81.55811
2,81.607254
3,81.623474
4,81.6132
5,81.59524
6,81.58583
7,81.597984
8,81.58806
9,81.53968
10,81.48296
11,81.447975
12,81.44981
13,81.49599
14,81.585625
15,81.64653
16,81.651924
17,81.59867
18,81.519554
19,81.45282
20,81.428024
21,81.45066
22,81.480415
23,81.52971
24,81.56317
25,81.58838
26,81.590965
27,81.59129
28,81.57928
29,81.55503
30,81.50399
31,81.41548
32,81.32644
33,81.277374
34,81.278755
35,81.34437
36,81.425735
37,81.4687
38,81.48619
39,81.50173
40,81.5224
41,81.55165
42,81.55715
43,81.55463
44,81.535706
45,81.51119
46,81.483765
47,81.47499
48,81.48232
49,81.49994
50,81.51474
51,81.52774
52,81.52669
53,81.51871
54,81.51867
55,81.51265
56,81.496735
57,81.46356
58,81.403366
59,81.36334
60,81.36069
61,81.38971
62,81.42848
63,81.42829
64,81.39531
65,81.33961
66,81.31599
67,81.34232
68,81.36711
69,81.389206
70,81.387695
71,81.36237
72,81.30266
73,81.2601
74,81.27049
75,81.303185
76,81.30878
77,81.28778
78,81.25057
79,81.24631
80,81.27821
81,81.31787
82,81.35284
83,81.33919
84,81.28093
85,81.19913
86,81.124405
87,81.03793
88,80.99033
89,80.98136
90,80.959366
91,80.91524
92,80.87872
93,80.87928
94,80.91728
95,80.95956
96,80.97803
97,80.95653
98,80.91095
99,80.89784
100,80.943085
101,81.01897
102,81.06497
103,81.08204
104,81.03105
105,80.931564
106,80.81966
107,80.69179
108,80.564766
109,80.47284
110,80.47492
111,80.569984
112,80.677345
113,80.7627
114,80.85791
115,80.92203
116,80.88866
117,80.81261
118,80.72547
119,80.663345
120,80.64147
121,80.65947
122,80.65117
123,80.61375
124,80.559296
125,80.53308
126,80.549515
127,80.56006
128,80.51408
129,80.43434
130,80.35157
131,80.32004
132,80.30997
133,80.3411
134,80.39402
135,80.40641
136,80.392044
137,80.36271
138,80.33428
139,80.32605
140,80.31749
141,80.31838
142,80.327774
143,80.31023
144,80.30528
145,80.31662
146,80.30567
147,80.26433
148,80.23547
149,80.22493
150,80.2025
151,80.18733
152,80.15837
153,80.12016
154,80.05894
155,80.003746
156,79.967575
157,79.97427
158,80.01839
159,80.09922
160,80.15023
161,80.10147
162,80.03236
163,79.97311
164,79.89808
165,79.845856
166,79.817894
167,79.804504
168,79.78627
169,79.73748
170,79.68803
171,79.67933
172,79.675415
173,79.654465
174,79.64648
175,79.6535
176,79.66631
177,79.6697
178,79.66177
179,79.68857
180,79.674614
181,79.64271
182,79.63696
183,79.64878
184,79.64553
185,79.627716
186,79.57214
187,79.481064
188,79.40331
189,79.39691
190,79.44766
191,79.52672
192,79.58922
193,79.654816
194,79.66783
195,79.61719
196,79.559975
197,79.544914
198,79.54968
199,79.55688
200,79.58592
201,79.59162
202,79.58322
203,79.586006
204,79.61325
205,79.604195
206,79.54365
207,79.48024
208,79.44259
209,79.417076
210,79.41904
211,79.47017
212,79.533905
213,79.57018
214,79.61364
215,79.68733
216,79.79869
217,79.888115
218,79.89577
219,79.81957
220,79.67994
221,79.53187
222,79.42926
223,79.38196
224,79.39641
225,79.451004
226,79.505226
227,79.51069
228,79.4573
229,79.42972
230,79.45776
231,79.51048
232,79.56857
233,79.61758
234,79.63786
235,79.61671
236,79.56319
237,79.481766
238,79.415146
239,79.38318
240,79.36476
241,79.39126
242,79.47252
243,79.59117
244,79.718025
245,79.790085
246,79.77626
247,79.74126
248,79.71019
249,79.70675
250,79.72615
251,79.72814
252,79.69036
253,79.632645
254,79.62319
255,79.75123
256,79.804115
257,79.87141
258,79.92076
259,79.963875
260,80.01204
261,80.02107
262,80.00745
263,80.00624
264,79.96501
265,79.90315
266,79.83508
267,79.76527
268,79.72574
269,79.742935
270,79.81179
271,79.86325
272,79.85203
273,79.78189
274,79.65601
275,79.525764
276,79.48108
277,79.50028
278,79.54865
279,79.61656
280,79.67476
281,79.71452
282,79.70442
283,79.689674
284,79.66722
285,79.61542
286,79.50725
287,79.36585
288,79.233864
289,79.147964
290,79.13125
291,79.1811
292,79.272964
293,79.339424
294,79.36509
295,79.36728
296,79.35969
297,79.35054
298,79.30497
299,79.252
300,79.22021
301,79.215256
302,79.21891
303,79.22564
304,79.23305
305,79.22741
306,79.22076
307,79.2406
308,79.26292
309,79.28958
310,79.279465
311,79.22513
312,79.15811
313,79.119255
314,79.08637
315,79.1057
316,79.16854
317,79.23012
318,79.23752
319,79.176094
320,79.08347
321,78.99764
322,78.983444
323,78.99962
324,79.0195
325,79.02964
326,79.0005
327,78.9834
328,78.96371
329,78.979706
330,79.02655
331,79.06007
332,79.07153
333,79.03685
334,78.99946
335,79.02366
336,79.08792
337,79.158325
338,79.18758
339,79.145035
340,79.04902
341,78.943474
342,78.88143
343,78.82512
344,78.79907
345,78.781235
346,78.757675
347,78.72514
348,78.72563
349,78.769485
350,78.81146
351,78.83751
352,78.804214
353,78.72052
354,78.642456
355,78.62888
356,78.69319
357,78.79161
358,78.84245
359,78.83696
360,78.74099
361,78.64354
362,78.57149
363,78.49053
364,78.41015
365,78.34985
366,78.329
367,78.34422
368,78.37358
369,78.40722
370,78.5011
371,78.59124
372,78.58691
373,78.54142
374,78.47408
375,78.39572
376,78.35883
377,78.39888
378,78.45376
379,78.470215
380,78.44298
381,78.41886
382,78.395584
383,78.383484
384,78.335144
385,78.29335
386,78.26672
387,78.27086
388,78.2713
389,78.318146
390,78.393326
391,78.43466
392,78.43635
393,78.41593
394,78.386795
395,78.34189
396,78.315994
397,78.32005
398,78.35557
399,78.36193
400,78.358444
401,78.364296
402,78.3481
403,78.31987
404,78.32297
405,78.3632
406,78.3957
407,78.40554
408,78.37905
409,78.348076
410,78.30591
411,78.28101
412,78.30254
413,78.31293
414,78.33476
415,78.38173
416,78.40332
417,78.36901
418,78.32872
419,78.30577
420,78.29348
421,78.27597
422,78.27301
423,78.26689
424,78.25774
425,78.202065
426,78.13813
427,78.1289
428,78.15562
429,78.18251
430,78.24197
431,78.27613
432,78.281006
433,78.26941
434,78.25618
435,78.26219
436,78.25499
437,78.236206
438,78.23267
439,78.225464
440,78.19649
441,78.15906
442,78.1224
443,78.081985
444,78.03949
445,78.03866
446,78.08786
447,78.13897
448,78.14925
449,78.148026
450,78.10485
451,78.038666
452,77.98228
453,77.95131
454,77.942245
455,77.952354
456,77.9687
457,77.949
458,77.91513
459,77.87717
460,77.884224
461,77.86017
462,77.791626
463,77.72813
464,77.69372
465,77.67214
466,77.67346
467,77.71737
468,77.746735
469,77.741
470,77.737206
471,77.779915
472,77.835915
473,77.87271
474,77.869194
475,77.82256
476,77.72571
477,77.594635
478,77.49367
479,77.43705
480,77.4345
481,77.46021
482,77.502174
483,77.49213
484,77.42364
485,77.37581
486,77.36102
487,77.369965
488,77.38928
489,77.41106
490,77.414536
491,77.40012
492,77.39139
493,77.34226
494,77.27194
495,77.22001
496,77.18546
497,77.15783
498,77.17169
499,77.22976
500,77.27561
501,77.29424
502,77.28081
503,77.25827
504,77.22765
505,77.223694
506,77.225075
507,77.213295
508,77.18072
509,77.13104
510,77.088745
511,77.1799
512,77.22218
513,77.231964
514,77.216515
515,77.20653
516,77.20952
517,77.22338
518,77.221115
519,77.21013
520,77.15605
521,77.07378
522,77.00688
523,76.97793
524,76.97081
525,76.98892
526,77.01671
527,77.01463
528,76.95833
529,76.87681
530,76.78313
531,76.71357
532,76.689865
533,76.72622
534,76.76818
535,76.821785
536,76.862305
537,76.87694
538,76.850204
539,76.80594
540,76.76114
541,76.721756
542,76.66674
543,76.582634
544,76.47587
545,76.39868
546,76.3937
547,76.44487
548,76.516716
549,76.54298
550,76.532776
551,76.5148
552,76.50423
553,76.48828
554,76.47044
555,76.45488
556,76.45139
557,76.46958
558,76.488144
559,76.49261
560,76.4931
561,76.490616
562,76.47981
563,76.4815
564,76.482544
565,76.49272
566,76.476074
567,76.44668
