,0
0,81.538345
1,81.61717
2,81.65752
3,81.6629
4,81.641396
5,81.61241
6,81.60631
7,81.6185
8,81.61015
9,81.566284
10,81.503494
11,81.46931
12,81.47317
13,81.51963
14,81.5989
15,81.64667
16,81.63313
17,81.55415
18,81.47441
19,81.41251
20,81.40294
21,81.43683
22,81.47388
23,81.53652
24,81.55266
25,81.554146
26,81.572296
27,81.56734
28,81.55323
29,81.52358
30,81.47697
31,81.40193
32,81.31941
33,81.26924
34,81.25671
35,81.29456
36,81.33069
37,81.34952
38,81.372406
39,81.38823
40,81.39762
41,81.407
42,81.402756
43,81.40016
44,81.40715
45,81.38701
46,81.35011
47,81.33782
48,81.336914
49,81.33952
50,81.34375
51,81.34464
52,81.3302
53,81.342094
54,81.37167
55,81.39271
56,81.41659
57,81.41118
58,81.366615
59,81.33434
60,81.33454
61,81.357506
62,81.41746
63,81.47357
64,81.48447
65,81.44206
66,81.40901
67,81.39287
68,81.38818
69,81.421135
70,81.46234
71,81.48833
72,81.4663
73,81.445496
74,81.44528
75,81.44702
76,81.425476
77,81.39371
78,81.374825
79,81.37515
80,81.40074
81,81.44944
82,81.48363
83,81.49249
84,81.45379
85,81.401375
86,81.36421
87,81.30672
88,81.28194
89,81.28594
90,81.273125
91,81.23196
92,81.191315
93,81.183556
94,81.178604
95,81.18478
96,81.19125
97,81.17558
98,81.14264
99,81.12973
100,81.160446
101,81.20469
102,81.21593
103,81.225784
104,81.20018
105,81.15833
106,81.09821
107,80.995445
108,80.86414
109,80.7522
110,80.731544
111,80.81149
112,80.90503
113,80.97991
114,81.06927
115,81.12968
116,81.10696
117,81.04999
118,80.98726
119,80.94519
120,80.92782
121,80.94536
122,80.94285
123,80.91014
124,80.85113
125,80.81959
126,80.83023
127,80.83908
128,80.799484
129,80.71991
130,80.62616
131,80.569016
132,80.52227
133,80.51555
134,80.521576
135,80.49165
136,80.43907
137,80.38904
138,80.34598
139,80.321655
140,80.29156
141,80.265305
142,80.248726
143,80.21384
144,80.19943
145,80.20583
146,80.182945
147,80.130775
148,80.09398
149,80.07637
150,80.052635
151,80.02873
152,79.990776
153,79.94359
154,79.86688
155,79.79044
156,79.73529
157,79.71665
158,79.74001
159,79.79349
160,79.8045
161,79.72552
162,79.63086
163,79.56595
164,79.498344
165,79.44413
166,79.40631
167,79.35871
168,79.30788
169,79.22122
170,79.13903
171,79.111084
172,79.09367
173,79.07304
174,79.07874
175,79.09261
176,79.09718
177,79.0778
178,79.04227
179,79.03029
180,78.99747
181,78.960335
182,78.94777
183,78.9358
184,78.88932
185,78.826675
186,78.753845
187,78.66206
188,78.581436
189,78.56925
190,78.62491
191,78.69303
192,78.72151
193,78.763725
194,78.75976
195,78.712
196,78.66376
197,78.63185
198,78.62237
199,78.60704
200,78.61514
201,78.602325
202,78.56955
203,78.54751
204,78.540306
205,78.5047
206,78.436676
207,78.3688
208,78.32561
209,78.297
210,78.26517
211,78.27944
212,78.30131
213,78.30529
214,78.30715
215,78.338455
216,78.412254
217,78.46156
218,78.437546
219,78.3518
220,78.20304
221,78.07501
222,77.962296
223,77.88979
224,77.878525
225,77.90325
226,77.95346
227,77.96103
228,77.92167
229,77.89336
230,77.911995
231,77.95149
232,77.99188
233,78.03313
234,78.06199
235,78.06528
236,78.05629
237,78.01752
238,77.99382
239,77.97949
240,77.98007
241,77.9832
242,78.05438
243,78.147934
244,78.23057
245,78.28952
246,78.29366
247,78.28215
248,78.26891
249,78.2849
250,78.32207
251,78.34807
252,78.346466
253,78.31702
254,78.3165
