,0
0,81.58691
1,81.52835
2,81.4368
3,81.35383
4,81.3253
5,81.35152
6,81.38581
7,81.38467
8,81.34467
9,81.292816
10,81.25805
11,81.239174
12,81.2622
13,81.32389
14,81.427505
15,81.513306
16,81.56585
17,81.55479
18,81.48139
19,81.41545
20,81.41598
21,81.43602
22,81.42798
23,81.41168
24,81.39952
25,81.37738
26,81.32858
27,81.265686
28,81.19769
29,81.15471
30,81.14246
31,81.14358
32,81.15523
33,81.15938
34,81.203705
35,81.26012
36,81.28937
37,81.299835
38,81.27823
39,81.22928
40,81.18681
41,81.16617
42,81.173874
43,81.19975
44,81.20613
45,81.22845
46,81.20141
47,81.13672
48,81.06899
49,81.016884
50,81.014114
51,81.05087
52,81.10421
53,81.138954
54,81.154236
55,81.15936
56,81.12845
57,81.099236
58,81.09436
59,81.116295
60,81.18203
61,81.22489
62,81.20865
63,81.16645
64,81.12314
65,81.0343
66,80.922104
67,80.89929
68,80.92228
69,80.93457
70,80.933426
71,80.935104
72,80.932785
73,80.89383
74,80.86253
75,80.86106
76,80.88583
77,80.91919
78,80.95115
79,80.997
80,81.044075
81,81.03268
82,80.952835
83,80.80909
84,80.695526
85,80.64136
86,80.661865
87,80.71934
88,80.758194
89,80.760635
90,80.73053
91,80.70097
92,80.68976
93,80.693985
94,80.6881
95,80.6438
96,80.55252
97,80.453094
98,80.40608
99,80.392166
100,80.426926
101,80.52262
102,80.59807
103,80.59862
104,80.569824
105,80.48794
106,80.39224
107,80.37673
108,80.44514
109,80.53653
110,80.625015
111,80.672264
112,80.6709
113,80.624855
114,80.55768
115,80.509766
116,80.50009
117,80.50845
118,80.520515
119,80.530304
120,80.536736
121,80.50983
122,80.49984
123,80.499084
124,80.53024
125,80.55245
126,80.55286
127,80.522736
128,80.46757
129,80.39639
130,80.34203
131,80.29465
132,80.230194
133,80.16118
134,80.12424
135,80.14805
136,80.20377
137,80.26475
138,80.29695
139,80.33555
140,80.34041
141,80.29866
142,80.246216
143,80.18383
144,80.126724
145,80.080376
146,80.08137
147,80.115326
