,0
0,81.01273
1,81.004486
2,80.99092
3,80.95912
4,80.920166
5,80.87747
6,80.859566
7,80.90157
8,80.92927
9,80.93408
10,80.93376
11,80.918015
12,80.84752
13,80.765305
14,80.742004
15,80.768845
16,80.80594
17,80.80202
18,80.78781
19,80.779785
20,80.77974
21,80.8191
22,80.85962
23,80.8661
24,80.83649
25,80.79991
26,80.7553
27,80.71811
28,80.71494
29,80.72148
30,80.73128
31,80.76428
32,80.796364
33,80.81253
34,80.79929
35,80.76445
36,80.71973
37,80.675316
38,80.62256
39,80.588066
40,80.58048
41,80.59055
42,80.59464
43,80.57598
44,80.55648
45,80.56886
46,80.61408
47,80.681496
48,80.7281
49,80.72432
50,80.671455
51,80.62564
52,80.587654
53,80.57069
54,80.601814
55,80.64543
56,80.64119
57,80.6073
58,80.56888
59,80.58339
60,80.61716
61,80.629684
62,80.62668
63,80.61889
64,80.58941
65,80.54976
66,80.577484
67,80.64369
68,80.68028
69,80.67925
70,80.68584
71,80.71251
72,80.74837
73,80.794975
74,80.82106
75,80.80139
76,80.75607
77,80.72789
78,80.7376
79,80.73624
80,80.724
81,80.735535
82,80.75337
83,80.771866
84,80.7969
85,80.80977
86,80.782166
87,80.727295
88,80.64422
89,80.581604
90,80.55066
91,80.57519
92,80.65338
93,80.73106
94,80.74234
95,80.65766
96,80.5577
97,80.51485
98,80.507034
99,80.538345
100,80.57435
101,80.59432
102,80.61096
103,80.60764
104,80.61076
105,80.61575
106,80.6033
107,80.591064
108,80.57895
109,80.57911
110,80.5991
111,80.62173
112,80.62221
113,80.60399
114,80.56332
115,80.52521
116,80.50544
117,80.50373
118,80.5005
119,80.481766
120,80.44739
121,80.36979
122,80.313416
123,80.30777
124,80.33388
125,80.35228
126,80.32241
127,80.27714
128,80.23197
129,80.20297
130,80.15705
131,80.115524
132,80.04881
133,79.96212
134,79.87814
135,79.84391
136,79.85648
137,79.866035
138,79.80338
139,79.68252
140,79.52742
141,79.39134
142,79.35698
143,79.38805
144,79.44083
145,79.459946
146,79.39585
147,79.322464
148,79.258125
149,79.27085
150,79.34598
151,79.4199
152,79.40681
153,79.28699
154,79.1317
155,78.99379
156,78.96111
157,79.01545
158,79.04451
159,78.98551
