,0
0,81.79979
1,81.53757
2,81.446686
3,81.45381
4,81.47279
5,81.47205
6,81.48797
7,81.5327
8,81.58642
9,81.59318
10,81.57151
11,81.58146
12,81.58205
13,81.61384
14,81.63454
15,81.636765
16,81.59056
17,81.526825
18,81.46385
19,81.41572
20,81.392334
21,81.3755
22,81.3595
23,81.37877
24,81.44205
25,81.48071
26,81.459435
27,81.43111
28,81.433044
29,81.413956
30,81.37292
31,81.326324
32,81.34606
33,81.39301
34,81.398476
35,81.37024
36,81.330215
37,81.29416
38,81.297386
39,81.29663
40,81.31539
41,81.37033
42,81.393585
43,81.37821
44,81.33806
45,81.30372
46,81.27495
47,81.21132
48,81.144
49,81.12107
50,81.12275
51,81.12881
52,81.14663
53,81.16387
54,81.20319
55,81.23954
56,81.23024
57,81.24078
58,81.26547
59,81.30417
60,81.317764
61,81.28706
62,81.27942
63,81.315216
64,81.320076
65,81.30317
66,81.296844
67,81.30784
68,81.24484
69,81.171814
70,81.14082
71,81.13745
72,81.14914
73,81.170654
74,81.24795
75,81.31339
76,81.31854
77,81.27202
78,81.25249
79,81.2809
80,81.33998
81,81.38162
82,81.392334
83,81.36943
84,81.33294
85,81.27343
86,81.216
87,81.19378
88,81.190765
89,81.17401
90,81.15019
91,81.15335
92,81.21995
93,81.28023
94,81.28951
95,81.28102
96,81.254684
97,81.20998
98,81.12024
99,81.01028
100,80.948944
101,80.92131
102,80.93983
103,80.99542
104,81.02472
105,81.02158
106,80.99902
107,80.9447
108,80.862854
109,80.79765
110,80.7936
111,80.82872
112,80.83856
113,80.77081
114,80.688675
115,80.66514
116,80.67557
117,80.68437
118,80.72194
119,80.75664
120,80.772766
121,80.70705
122,80.60602
123,80.576706
124,80.58052
125,80.56388
126,80.56633
127,80.56738
128,80.51583
129,80.448166
130,80.43739
131,80.45307
132,80.45738
133,80.43352
134,80.41889
135,80.37705
136,80.32749
137,80.29042
138,80.23757
139,80.12923
140,80.03789
141,79.95034
142,79.86017
143,79.845894
144,79.895386
145,79.9091
146,79.85483
147,79.79919
148,79.72815
149,79.64934
150,79.64311
151,79.73378
152,79.82431
153,79.83446
154,79.74465
155,79.626205
156,79.51117
157,79.38362
158,79.290306
159,79.25239
160,79.243774
161,79.23019
162,79.21874
163,79.22487
164,79.22939
165,79.20206
166,79.159256
167,79.09419
168,79.00131
169,78.94596
170,78.91044
171,78.867836
172,78.772545
173,78.662415
174,78.59214
175,78.575714
176,78.6132
177,78.698654
178,78.734665
179,78.67308
180,78.59886
181,78.54562
182,78.541824
183,78.59894
184,78.659294
185,78.6479
186,78.58943
187,78.549126
188,78.570465
189,78.60936
190,78.653404
191,78.65744
192,78.61417
193,78.531075
194,78.4425
195,78.360374
196,78.33045
197,78.34297
198,78.35535
199,78.35164
200,78.31398
201,78.29347
202,78.3069
203,78.347305
204,78.3521
205,78.29692
206,78.199646
207,78.07614
208,77.99223
209,77.96573
210,77.95849
211,77.935
212,77.89169
213,77.84829
214,77.80173
215,77.790665
216,77.79575
217,77.79969
218,77.79603
219,77.74726
220,77.71034
221,77.71737
222,77.74066
223,77.7554
224,77.72759
225,77.694046
226,77.65686
227,77.63386
228,77.64373
229,77.66948
230,77.691666
231,77.67313
232,77.63377
233,77.5972
234,77.54624
235,77.53943
236,77.53022
237,77.54211
238,77.56639
239,77.58978
240,77.61908
241,77.67413
242,77.75188
243,77.81269
244,77.84563
245,77.84839
246,77.85611
247,77.860405
248,77.83554
249,77.778435
250,77.70493
251,77.68857
252,77.721375
253,77.741005
254,77.77455
255,77.919075
256,78.11481
257,77.8779
258,77.82211
259,77.82784
260,77.8199
261,77.82634
262,77.88759
263,78.00366
264,78.11957
265,78.16014
266,78.13574
267,78.10195
268,78.082306
269,78.1259
270,78.20405
271,78.23044
272,78.19092
273,78.12931
274,78.09737
275,78.08725
276,78.0887
277,78.06546
278,78.03279
279,78.02009
280,78.0185
281,78.00896
282,77.98611
283,77.98145
284,77.98747
285,77.96317
286,77.89894
287,77.84087
288,77.84313
289,77.86927
290,77.83597
291,77.7761
292,77.69208
293,77.61374
294,77.58529
295,77.57376
296,77.5589
297,77.54986
298,77.51849
299,77.48825
300,77.45422
301,77.45477
302,77.46444
303,77.46153
304,77.425964
305,77.379776
306,77.341576
307,77.28619
308,77.236946
309,77.20328
310,77.19723
311,77.22281
312,77.247284
313,77.275024
314,77.29999
315,77.30514
316,77.2702
317,77.208374
318,77.20458
319,77.268036
320,77.2912
321,77.30148
322,77.28446
323,77.260284
324,77.20308
325,77.13775
326,77.13701
327,77.19321
328,77.269104
329,77.36261
330,77.43785
331,77.47652
332,77.458084
333,77.41002
334,77.3654
335,77.33763
336,77.30679
337,77.2668
338,77.239136
339,77.215965
340,77.1875
341,77.16347
342,77.12288
343,77.07459
344,77.011536
345,76.92619
346,76.83693
347,76.79768
348,76.84288
349,76.93904
350,76.97174
351,76.96336
352,76.91349
353,76.87905
354,76.819496
355,76.77757
356,76.72786
357,76.696106
358,76.70907
359,76.744606
360,76.79195
361,76.84518
362,76.91071
363,76.921326
364,76.87199
365,76.76162
366,76.699
367,76.716415
