Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c-dc,,soc
1,60.00000078,12-17-2015 16:47:27,60.00000136,1,1,0,2.971823215,0,0,0,0,3.24249E-05,0,0,0,0,,,,
2,70.0159554,12-17-2015 16:47:37,10.01552118,2,1,0.999364197,3.105685234,0.002780499,0,0.008575722,0,0.003500509,0,0,0,0,,,,
3,80.03150345,12-17-2015 16:47:47,20.03106916,2,1,0.999544024,3.139555931,0.005561032,0,0.017259793,0,0.002755022,0,0,0,0,,,,
4,90.04695918,12-17-2015 16:47:57,30.046525,2,1,0.999544024,3.168564796,0.008341537,0,0.02603042,0,0.002463341,0,0,0,0,,,,
5,100.0469857,12-17-2015 16:48:07,40.04655141,2,1,0.999364197,3.193521976,0.011117756,0,0.034862165,0,0.002139187,0,0,0,0,,,,
6,110.0625462,12-17-2015 16:48:17,50.06211201,2,1,0.999364197,3.216210365,0.013898304,0,0.043774059,0,0.00197711,0,0,0,0,,,,
7,120.0780924,12-17-2015 16:48:27,60.07765807,2,1,0.999544024,3.236630201,0.016678879,0,0.052746088,0,0.001782703,0,0,0,0,,,,
8,130.0936405,12-17-2015 16:48:37,70.09320616,2,1,0.999544024,3.255915403,0.019459418,0,0.061772777,0,0.001750279,0,0,0,0,,,,
9,140.1091962,12-17-2015 16:48:47,80.10876191,2,1,0.999364197,3.27341795,0.022239989,0,0.07085031,0,0.001555824,0,0,0,0,,,,
10,150.1247682,12-17-2015 16:48:57,90.12433397,2,1,0.999364197,3.289623976,0.025020564,0,0.079975058,0,0.00145855,0,0,0,0,,,,
11,160.1403318,12-17-2015 16:49:07,100.1398975,2,1,0.999364197,3.305019617,0.027801155,0,0.089144037,0,0.001328897,0,0,0,0,,,,
12,170.1559074,12-17-2015 16:49:17,110.1554731,2,1,0.999364197,3.319767237,0.030581755,0,0.098354526,0,0.00129652,0,0,0,0,,,,
13,180.1713177,12-17-2015 16:49:27,120.1708834,2,1,0.999364197,3.333218098,0.033362276,0,0.107604055,0,0.001166821,0,0,0,0,,,,
14,190.1713487,12-17-2015 16:49:37,130.1709143,2,1,0.999364197,3.346183062,0.03613853,0,0.116876295,0,0.001134443,0,0,0,0,,,,
15,200.1869533,12-17-2015 16:49:47,140.1865191,2,1,0.999544024,3.358661652,0.038919101,0,0.126198075,0,0.001102018,0,0,0,0,,,,
16,210.2021614,12-17-2015 16:49:57,150.2017271,2,1,0.999364197,3.370167971,0.041695332,0,0.135538676,0,0.001037169,0,0,0,0,,,,
17,220.2021772,12-17-2015 16:50:07,160.2017429,2,1,0.999544024,3.381512165,0.044471562,0,0.144911039,0,0.001004791,0,0,0,0,,,,
18,230.2180256,12-17-2015 16:50:17,170.2175915,2,1,0.999364197,3.392046213,0.047256439,0,0.154343039,0,0.001004791,0,0,0,0,,,,
19,240.2334204,12-17-2015 16:50:27,180.2329862,2,1,0.999544024,3.402417898,0.050036981,0,0.163789456,0,0.000875092,0,0,0,0,,,,
20,250.2490593,12-17-2015 16:50:37,190.2486251,2,1,0.999544024,3.412141562,0.052817549,0,0.173263691,0,0.000875092,0,0,0,0,,,,
21,260.264635,12-17-2015 16:50:47,200.2642008,2,1,0.999544024,3.4217031,0.055598104,0,0.18276463,0,0.000810289,0,0,0,0,,,,
22,270.2802093,12-17-2015 16:50:57,210.279775,2,1,0.999544024,3.430940628,0.058378694,0,0.192291391,0,0.000875139,0,0,0,0,,,,
23,280.295726,12-17-2015 16:51:07,220.2952917,2,1,0.999544024,3.439367771,0.061159214,0,0.201842643,0,0.000745487,0,0,0,0,,,,
