Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c-dc,,soc
1,60.01512312,12-16-2015 17:17:53,60.01512369,1,1,0,2.858542919,0,0,0,0,0.000194454,0,0,0,0,,,,
2,70.03087575,12-16-2015 17:18:04,10.01531998,2,1,0.999364197,3.02741003,0.002776353,0,0.008309746,0,0.005931425,0,0,0,0,,,,
3,80.04663856,12-16-2015 17:18:14,20.0310828,2,1,0.999544024,3.072624922,0.005561401,0,0.016807434,0,0.00385704,0,0,0,0,,,,
4,90.06222027,12-16-2015 17:18:24,30.04666451,2,1,0.999544024,3.108926535,0.008342117,0,0.025403735,0,0.00327363,0,0,0,0,,,,
5,100.0777479,12-16-2015 17:18:34,40.06219208,2,1,0.999544024,3.140204191,0.011122824,0,0.034093146,0,0.002981949,0,0,0,0,,,,
6,110.0933042,12-16-2015 17:18:44,50.07774854,2,1,0.999544024,3.167592287,0.013903546,0,0.042863806,0,0.002528143,0,0,0,0,,,,
7,120.1088794,12-16-2015 17:18:54,60.09332364,2,1,0.999544024,3.19206357,0.016684292,0,0.051706781,0,0.002236462,0,0,0,0,,,,
8,130.1244097,12-16-2015 17:19:04,70.10885405,2,1,0.999544024,3.21442771,0.019465008,0,0.060614714,0,0.002009535,0,0,0,0,,,,
9,140.1399636,12-16-2015 17:19:14,80.12440783,2,1,0.999723852,3.234847546,0.02224575,0,0.069582014,0,0.00187993,0,0,0,0,,,,
10,150.1555561,12-16-2015 17:19:24,90.14000042,2,1,0.999364197,3.253484488,0.025026513,0,0.078603739,0,0.001685429,0,0,0,0,,,,
11,160.1710125,12-16-2015 17:19:34,100.1554569,2,1,0.999364197,3.27114892,0.027802878,0,0.087661587,0,0.001685429,0,0,0,0,,,,
12,170.1866622,12-16-2015 17:19:44,110.1711065,2,1,0.999723852,3.287679195,0.030588011,0,0.096795218,0,0.001588201,0,0,0,0,,,,
13,180.2022721,12-16-2015 17:19:54,120.1867165,2,1,0.999544024,3.302912951,0.033368788,0,0.105958716,0,0.00145855,0,0,0,0,,,,
14,190.2177825,12-16-2015 17:20:04,130.2022267,2,1,0.999544024,3.317336321,0.036149551,0,0.115163679,0,0.001393747,0,0,0,0,,,,
15,200.2332955,12-16-2015 17:20:14,140.2177397,2,1,0.999544024,3.331273556,0.038930258,0,0.124407748,0,0.00129652,0,0,0,0,,,,
16,210.248852,12-16-2015 17:20:24,150.2332963,2,1,0.999544024,3.344238281,0.041711016,0,0.133689131,0,0.001199245,0,0,0,0,,,,
17,220.2644023,12-16-2015 17:20:34,160.2488465,2,1,0.999544024,3.356554985,0.044491768,0,0.143005728,0,0.001166868,0,0,0,0,,,,
18,230.2800452,12-16-2015 17:20:44,170.2644895,2,1,0.999544024,3.368385315,0.047272513,0,0.152355807,0,0.001134443,0,0,0,0,,,,
19,240.2955126,12-16-2015 17:20:54,180.2799568,2,1,0.999364197,3.379405499,0.050053227,0,0.16173774,0,0.001037216,0,0,0,0,,,,
20,250.310901,12-16-2015 17:21:04,190.2953452,2,1,0.999544024,3.390101433,0.052833927,0,0.171150125,0,0.000972366,0,0,0,0,,,,
21,260.3110518,12-16-2015 17:21:14,200.295496,2,1,0.999364197,3.400473356,0.055610376,0,0.18057725,0,0.000939989,0,0,0,0,,,,
22,270.3265757,12-16-2015 17:21:24,210.31102,2,1,0.999544024,3.410358906,0.058391118,0,0.190046759,0,0.000972366,0,0,0,0,,,,
23,280.341891,12-16-2015 17:21:34,220.3263353,2,1,0.999544024,3.419758558,0.061167543,0,0.199528356,0,0.000907564,0,0,0,0,,,,
24,290.357679,12-16-2015 17:21:44,230.3421233,2,1,0.999544024,3.428833961,0.063952647,0,0.209065396,0,0.000842714,0,0,0,0,,,,
25,300.3732056,12-16-2015 17:21:54,240.3576498,2,1,0.999544024,3.437422991,0.066733389,0,0.218612373,0,0.000777864,0,0,0,0,,,,
26,310.3887651,12-16-2015 17:22:04,250.3732093,2,1,0.999364197,3.445850134,0.069514131,0,0.228183244,0,0.00074544,0,0,0,0,,,,
27,320.4042775,12-16-2015 17:22:14,260.3887218,2,1,0.999364197,3.454115391,0.072294868,0,0.237777136,0,0.000745487,0,0,0,0,,,,
28,330.4196789,12-16-2015 17:22:24,270.4041232,2,1,0.999544024,3.461894274,0.075071281,0,0.247378217,0,0.000713062,0,0,0,0,,,,
29,340.4198535,12-16-2015 17:22:34,280.4042978,2,1,0.999544024,3.469673157,0.077852078,0,0.257015851,0,0.000745487,0,0,0,0,,,,
30,350.4354523,12-16-2015 17:22:44,290.4198966,2,1,0.999544024,3.476965904,0.080632844,0,0.266673992,0,0.000680685,0,0,0,0,,,,
31,360.450943,12-16-2015 17:22:54,300.4353873,2,1,0.999544024,3.483934402,0.083413607,0,0.276352048,0,0.000680637,0,0,0,0,,,,
