,0
0,80.636375
1,80.60129
2,80.60355
3,80.59256
4,80.58892
5,80.55428
6,80.52117
7,80.49709
8,80.487305
9,80.51213
10,80.50183
11,80.45249
12,80.382774
13,80.35224
14,80.29172
15,80.29762
16,80.32738
17,80.30303
18,80.38832
19,80.45411
20,80.44368
21,80.444374
22,80.477715
23,80.53668
24,80.60745
25,80.60217
26,80.55103
27,80.52647
28,80.523865
29,80.4872
30,80.46913
31,80.44902
32,80.37918
33,80.26997
34,80.20726
35,80.20105
36,80.21455
37,80.26755
38,80.30034
39,80.28116
40,80.2858
41,80.251076
42,80.25757
43,80.29526
44,80.317795
45,80.320206
46,80.312874
47,80.30913
48,80.308876
49,80.269356
50,80.26811
51,80.33823
52,80.3734
53,80.368744
54,80.325516
55,80.28619
56,80.29654
57,80.32811
58,80.31381
59,80.249374
60,80.25983
61,80.23681
62,80.18472
63,80.17949
64,80.1985
65,80.190125
66,80.18881
67,80.18521
68,80.163284
69,80.184616
70,80.23513
71,80.16389
72,80.09441
73,80.064835
74,80.042656
75,80.029305
76,80.02136
77,80.05762
78,80.04928
79,79.999466
80,79.99658
81,79.999725
82,79.99072
83,80.02516
84,80.073364
85,80.085464
86,80.05446
87,80.041336
88,80.022
89,80.02405
90,79.98477
91,79.98508
92,80.04736
93,80.08151
94,80.07555
95,80.08659
96,80.09731
97,80.09711
98,80.080605
99,80.026695
100,79.9542
101,79.93033
102,79.95028
103,79.96952
104,79.97258
105,79.95384
106,79.935165
107,79.969574
108,79.94239
109,79.90719
110,79.96202
111,79.962074
112,79.97633
113,79.960815
114,79.92856
115,79.91515
116,79.8942
117,79.88112
118,79.84902
119,79.80528
120,79.79829
121,79.761444
122,79.7212
123,79.70376
124,79.66026
125,79.624054
126,79.67051
127,79.71854
128,79.76235
129,79.81955
130,79.81855
131,79.80997
132,79.81927
133,79.823006
134,79.78296
135,79.781906
136,79.745224
137,79.67427
138,79.62985
139,79.63483
140,79.577194
141,79.607
142,79.66325
143,79.657
144,79.58813
145,79.56742
146,79.51793
147,79.51598
148,79.55247
149,79.54227
150,79.46433
151,79.42641
152,79.428795
153,79.409836
154,79.41054
