,0
0,80.975266
1,80.92209
2,80.98796
3,81.04205
4,81.0535
5,81.02678
6,81.024124
7,81.067085
8,81.08917
9,81.06508
10,81.0349
11,80.934715
12,80.8851
13,80.89264
14,80.89825
15,80.93933
16,80.9948
17,81.01607
18,80.96119
19,80.94547
20,80.95854
21,80.96195
22,80.897995
23,80.8667
24,80.90302
25,80.8765
26,80.88272
27,80.87721
28,80.87014
29,80.8725
30,80.87773
31,80.85364
32,80.773094
33,80.72658
34,80.74306
35,80.789154
36,80.87058
37,80.86755
38,80.84038
39,80.7231
40,80.697205
41,80.68996
42,80.70325
43,80.751884
44,80.73822
45,80.6732
46,80.658936
47,80.65904
48,80.65645
49,80.68877
50,80.7327
51,80.72097
52,80.78057
53,80.797646
54,80.75374
55,80.65791
56,80.567764
57,80.539
58,80.58902
59,80.63938
60,80.66852
61,80.657875
62,80.621346
63,80.57903
64,80.58415
65,80.59861
66,80.62921
67,80.646774
68,80.62633
69,80.60197
70,80.66696
71,80.68701
72,80.64667
73,80.635086
74,80.64055
75,80.62183
76,80.607445
77,80.583145
78,80.583694
79,80.564896
80,80.560974
81,80.60039
82,80.64256
83,80.70866
84,80.73248
85,80.729294
86,80.67171
87,80.642624
88,80.59712
89,80.546036
90,80.497604
91,80.50788
92,80.51227
93,80.521805
94,80.57825
95,80.60599
96,80.613945
97,80.6801
98,80.78557
99,80.77078
100,80.759346
101,80.73448
102,80.702934
103,80.58298
104,80.50366
105,80.46437
106,80.50766
107,80.57845
108,80.58891
109,80.49745
110,80.43835
111,80.4049
112,80.34744
113,80.346664
114,80.4016
115,80.43002
116,80.38956
117,80.326935
118,80.2394
119,80.21054
120,80.20361
121,80.267876
122,80.28756
123,80.3221
124,80.24672
125,80.15374
126,80.15438
127,80.16571
128,80.14842
129,80.03981
130,79.95794
131,79.891464
132,79.84748
133,79.77943
134,79.748215
135,79.77161
136,79.74743
137,79.73107
138,79.784004
139,79.84936
140,79.763504
141,79.624985
142,79.56004
143,79.49479
144,79.479454
145,79.44334
146,79.42761
147,79.448296
148,79.412766
149,79.421776
150,79.39042
151,79.34372
152,79.36509
153,79.3384
154,79.32637
155,79.29881
156,79.21695
157,79.20966
158,79.19481
159,79.146126
160,79.0607
161,78.936646
162,78.87042
163,78.857544
164,78.8571
165,78.84044
166,78.75724
167,78.6903
168,78.66172
169,78.621895
170,78.602936
171,78.60911
172,78.58651
173,78.56828
174,78.59845
175,78.51122
176,78.37854
177,78.328835
178,78.29177
179,78.255486
180,78.220856
181,78.20169
182,78.15057
183,78.184875
184,78.257034
185,78.332634
186,78.39347
187,78.36984
188,78.2592
189,78.17397
190,78.156006
191,78.164505
192,78.186714
193,78.160225
194,78.19129
195,78.213936
196,78.14225
197,78.075066
198,78.09985
199,78.13733
200,78.09732
201,78.010956
202,78.00115
203,77.97922
204,77.915405
205,77.8778
206,77.863846
207,77.846306
208,77.82676
209,77.807396
210,77.83337
211,77.817696
212,77.776764
213,77.7925
214,77.7959
215,77.74431
216,77.71249
217,77.75063
218,77.70472
219,77.65287
220,77.61026
221,77.59684
222,77.60118
223,77.58058
224,77.57806
225,77.59101
226,77.58737
227,77.55191
228,77.51321
229,77.49435
230,77.521095
231,77.5468
232,77.53079
233,77.52829
234,77.52584
235,77.479034
236,77.422935
237,77.35763
238,77.376144
239,77.48174
240,77.50398
241,77.443756
242,77.3521
243,77.311844
244,77.30822
245,77.26648
246,77.29701
247,77.37284
248,77.44716
249,77.45551
250,77.44467
251,77.41779
252,77.411415
253,77.47073
254,77.549164
255,77.57455
256,77.449394
257,77.391754
258,77.48023
259,77.54177
260,77.56806
261,77.585556
262,77.63057
263,77.6895
264,77.722305
265,77.7208
266,77.705864
267,77.62526
268,77.61165
269,77.61986
270,77.64686
271,77.70178
272,77.751625
273,77.764824
274,77.74812
275,77.72668
276,77.75356
277,77.76459
278,77.68874
279,77.65103
280,77.67084
281,77.6339
282,77.60228
283,77.56177
284,77.5508
285,77.54491
286,77.56873
287,77.535774
288,77.42018
289,77.34181
290,77.32095
291,77.3386
292,77.38935
293,77.36903
294,77.30855
295,77.19472
296,77.12627
297,77.09674
298,77.088776
299,77.11381
300,77.10215
301,77.053246
302,77.01419
303,76.99905
304,76.980835
305,76.99761
306,77.003
307,77.01219
308,77.06438
309,77.06221
310,76.99571
311,76.87453
312,76.7521
313,76.724655
314,76.78618
315,76.82075
316,76.80464
317,76.76884
318,76.71491
319,76.65381
320,76.6899
321,76.711716
322,76.72757
323,76.793816
324,76.77948
325,76.77657
326,76.85839
327,76.89104
328,76.84856
329,76.83138
330,76.83461
331,76.809296
332,76.77383
333,76.7434
334,76.758766
335,76.76404
336,76.748474
337,76.74478
338,76.76025
339,76.79994
340,76.79359
341,76.78375
342,76.71568
343,76.67005
344,76.57636
345,76.50071
346,76.41323
347,76.401344
348,76.4096
349,76.428276
350,76.48498
351,76.49918
352,76.500175
353,76.54699
354,76.647
355,76.65958
356,76.659325
357,76.657135
358,76.62218
359,76.53236
360,76.46118
361,76.4363
362,76.49619
363,76.59423
364,76.670265
365,76.59703
366,76.57245
367,76.58457
368,76.53207
369,76.520424
370,76.58216
371,76.65349
372,76.6242
373,76.55435
374,76.49363
375,76.45062
376,76.4533
377,76.50054
378,76.520645
379,76.52031
380,76.46762
381,76.41626
382,76.446846
383,76.48287
384,76.47667
385,76.37999
386,76.30989
387,76.24787
388,76.179855
389,76.11399
390,76.07009
391,76.06511
392,76.05445
393,76.048256
394,76.10867
395,76.19065
396,76.11334
397,75.96039
398,75.88379
399,75.82398
400,75.8326
401,75.820984
402,75.8381
403,75.89418
404,75.86412
405,75.88902
406,75.90094
407,75.9061
408,75.95032
409,75.92218
410,75.9115
411,75.92263
412,75.8732
413,75.85839
414,75.86514
415,75.87114
416,75.84702
417,75.76092
418,75.739235
419,75.75165
420,75.79558
421,75.814606
422,75.781235
423,75.741165
424,75.743355
425,75.75184
426,75.77294
427,75.80996
428,75.82672
429,75.83527
430,75.88339
431,75.83143
432,75.74909
433,75.75392
434,75.76475
435,75.7863
436,75.772064
437,75.75578
438,75.71719
439,75.757996
440,75.8451
441,75.95243
442,76.029495
443,76.0408
444,75.94217
445,75.85884
446,75.850174
447,75.858246
448,75.86311
449,75.84705
450,75.86783
451,75.89263
452,75.8149
453,75.74039
454,75.783485
455,75.8389
456,75.79947
457,75.72065
458,75.70232
459,75.681656
460,75.60708
461,75.589134
462,75.579155
463,75.57382
464,75.57662
465,75.58863
466,75.63724
467,75.63086
468,75.60439
469,75.63595
470,75.66611
471,75.6548
472,75.648834
473,75.69555
474,75.660576
475,75.63452
476,75.60512
477,75.606445
478,75.621605
479,75.6308
480,75.65044
481,75.69088
482,75.69244
483,75.655
484,75.63109
485,75.63704
486,75.68168
487,75.7269
488,75.70665
489,75.707886
490,75.709015
491,75.642784
492,75.57983
493,75.5157
494,75.53666
495,75.613594
496,75.603455
497,75.52494
498,75.41689
499,75.36956
500,75.35669
501,75.315895
502,75.34395
503,75.40828
504,75.45895
505,75.440575
506,75.3972
507,75.3412
508,75.2872
509,75.33944
510,75.370514
511,75.36093
512,75.209
513,75.11802
514,75.1656
515,75.21402
516,75.22244
517,75.25189
518,75.31072
519,75.36063
520,75.39515
521,75.38438
522,75.352165
523,75.26565
524,75.234055
525,75.210464
526,75.23008
527,75.26847
528,75.29654
529,75.298935
530,75.308624
531,75.28405
532,75.30232
533,75.2865
534,75.19734
535,75.154884
536,75.18266
537,75.16396
538,75.13984
539,75.108894
540,75.1336
541,75.14675
542,75.19229
543,75.18056
544,75.08034
545,75.04941
546,75.06037
547,75.08091
548,75.12776
549,75.116806
550,75.08884
551,75.03514
552,75.01204
553,75.04733
554,75.0773
555,75.11899
556,75.13387
557,75.103714
558,75.086716
559,75.09358
560,75.11169
561,75.1674
562,75.191414
563,75.21924
564,75.26721
565,75.26674
566,75.20871
567,75.09517
568,74.98188
569,74.95747
570,75.02549
571,75.05097
572,75.01777
573,74.96924
574,74.8935
575,74.82979
576,74.875114
577,74.87613
578,74.880806
579,74.927
580,74.88689
581,74.83776
582,74.87294
583,74.86181
584,74.79511
585,74.759766
586,74.73517
587,74.67476
588,74.600586
589,74.56944
590,74.58055
591,74.598434
592,74.60133
593,74.61076
594,74.646805
595,74.68751
596,74.69762
597,74.71729
598,74.69247
599,74.67918
600,74.60357
601,74.53842
602,74.47667
603,74.47959
604,74.49306
605,74.514275
606,74.57201
607,74.585556
608,74.60573
609,74.655075
610,74.75948
611,74.78712
612,74.78982
613,74.78357
614,74.729485
615,74.65334
616,74.586235
617,74.55476
618,74.60298
619,74.6894
620,74.76974
621,74.6925
622,74.63414
623,74.641525
624,74.598114
625,74.599785
626,74.68827
627,74.76037
628,74.72526
629,74.65839
630,74.569145
631,74.5078
632,74.502594
633,74.49689
634,74.48917
635,74.47547
636,74.46675
637,74.45349
638,74.485535
639,74.53851
640,74.53027
641,74.45331
642,74.38851
643,74.341995
