,0
0,81.02749
1,81.00181
2,81.01451
3,81.00807
4,81.01027
5,81.01466
6,81.003525
7,80.96493
8,80.90271
9,80.84868
10,80.831764
11,80.854866
12,80.8721
13,80.84326
14,80.77513
15,80.70134
16,80.678345
17,80.70111
18,80.75903
19,80.83383
20,80.895706
21,80.90555
22,80.87396
23,80.83122
24,80.81961
25,80.80946
26,80.77145
27,80.69481
28,80.62251
29,80.58743
30,80.60805
31,80.676636
32,80.74859
33,80.78278
34,80.781944
35,80.75641
36,80.75096
37,80.7637
38,80.7749
39,80.7695
40,80.73699
41,80.69162
42,80.64873
43,80.6303
44,80.62405
45,80.62604
46,80.642975
47,80.66637
48,80.69901
49,80.72499
50,80.737236
51,80.71461
52,80.67331
53,80.63156
54,80.61921
55,80.6334
56,80.666794
57,80.69511
58,80.68371
59,80.636894
60,80.58092
61,80.53609
62,80.53718
63,80.57248
64,80.59299
65,80.5856
66,80.53954
67,80.492386
68,80.47139
69,80.48772
70,80.52504
71,80.5799
72,80.61102
73,80.597084
74,80.57099
75,80.56529
76,80.59476
77,80.60174
78,80.5465
79,80.51789
80,80.53727
81,80.57062
82,80.57623
83,80.57481
84,80.55088
85,80.48509
86,80.452415
87,80.4617
88,80.496376
89,80.50956
90,80.49104
91,80.45322
92,80.41914
93,80.406
94,80.43418
95,80.47499
96,80.49808
97,80.49982
98,80.47067
99,80.42763
100,80.40798
101,80.43373
102,80.47102
103,80.48503
104,80.48489
105,80.47901
106,80.47283
107,80.45039
108,80.43863
109,80.42609
110,80.43303
111,80.44274
112,80.417366
113,80.37581
114,80.37971
115,80.44395
116,80.4803
117,80.449524
118,80.399315
119,80.40038
120,80.42007
121,80.40084
122,80.352905
123,80.28487
124,80.19738
125,80.09953
126,80.028885
127,80.015915
128,80.03548
129,80.05611
130,80.06687
131,80.0552
132,80.05725
133,80.08792
134,80.106316
135,80.099525
136,80.08334
137,80.08015
138,80.03825
139,79.97724
140,79.93848
141,79.94247
142,79.97001
143,79.997894
144,79.99765
145,79.98724
146,79.96645
147,79.936264
148,79.887535
149,79.84261
150,79.8134
151,79.777466
152,79.767395
153,79.8027
154,79.88322
155,79.946724
156,79.950134
157,79.90285
158,79.82595
159,79.755875
160,79.71929
161,79.69442
162,79.6741
163,79.67363
164,79.693954
165,79.743126
166,79.78175
167,79.808586
168,79.81647
169,79.78362
170,79.72947
171,79.714935
172,79.70999
173,79.691284
174,79.65356
175,79.63214
176,79.58522
177,79.52004
178,79.46193
179,79.45344
180,79.48549
181,79.483765
182,79.43698
183,79.32765
184,79.22513
185,79.1699
186,79.18482
187,79.231
188,79.261116
189,79.24107
190,79.21683
191,79.191505
192,79.19523
193,79.24452
194,79.320435
195,79.363716
196,79.35226
197,79.28831
198,79.215
199,79.18665
200,79.21622
201,79.2681
202,79.305145
203,79.33588
204,79.35918
205,79.36224
206,79.33782
207,79.321754
208,79.27905
209,79.23652
210,79.22154
211,79.23389
212,79.26851
213,79.31911
214,79.3648
215,79.370605
216,79.3327
217,79.26414
218,79.18917
219,79.13371
220,79.10494
221,79.17562
222,79.275345
223,79.33402
224,79.34626
225,79.33118
226,79.31937
227,79.30194
228,79.27127
229,79.183136
230,79.080475
231,79.02362
232,78.976845
233,78.96319
234,78.98845
235,79.03636
236,79.10475
237,79.20066
238,79.28373
239,79.33734
240,79.36829
241,79.353035
242,79.33522
243,79.32221
244,79.28431
245,79.263054
246,79.26743
247,79.2641
248,79.20317
249,79.10907
250,79.0539
251,79.07207
252,79.168495
253,79.26971
254,79.243416
255,79.07138
256,79.44628
257,79.33292
258,79.37013
259,79.42437
260,79.491684
261,79.52346
262,79.48895
263,79.40813
264,79.30345
265,79.232506
266,79.22308
267,79.26787
268,79.296616
269,79.2549
270,79.16476
271,79.068886
272,79.01018
273,78.98897
274,78.98466
275,79.022705
276,79.10384
277,79.176384
278,79.21023
279,79.21492
280,79.221855
281,79.21522
282,79.15761
283,79.00937
284,78.84788
285,78.746635
286,78.70908
287,78.75562
288,78.84969
289,78.92869
290,78.96445
291,78.92964
292,78.881424
293,78.82936
294,78.76433
295,78.704315
296,78.67972
297,78.65527
298,78.61503
299,78.573555
300,78.548325
301,78.53515
302,78.53274
303,78.54452
304,78.542015
305,78.54798
306,78.53628
307,78.4896
308,78.43164
309,78.36993
310,78.3507
311,78.36692
312,78.392975
313,78.4261
314,78.425995
315,78.39467
316,78.32177
317,78.22639
318,78.17494
319,78.183754
320,78.22272
321,78.264366
322,78.282745
323,78.2891
324,78.28215
325,78.2869
326,78.31862
327,78.354576
328,78.383286
329,78.398415
330,78.42745
331,78.47704
332,78.57593
333,78.63142
334,78.58622
335,78.52693
336,78.50908
337,78.51068
338,78.48562
339,78.48455
340,78.48414
341,78.429924
342,78.368706
343,78.3302
344,78.31205
345,78.27615
346,78.24583
347,78.23793
348,78.26114
349,78.27125
350,78.26293
351,78.24775
352,78.22629
353,78.18854
354,78.144
355,78.107216
356,78.13203
357,78.21058
358,78.27367
359,78.30301
360,78.31574
361,78.31241
362,78.28206
363,78.23173
364,78.199036
365,78.16669
366,78.16862
367,78.22184
368,78.27373
369,78.286865
370,78.32956
371,78.37015
372,78.33018
373,78.1925
374,78.09142
375,78.11531
376,78.191864
377,78.216446
378,78.18612
379,78.0776
380,77.92567
381,77.78976
382,77.7356
383,77.76281
384,77.8239
385,77.828545
386,77.763016
387,77.69503
388,77.67868
389,77.74793
390,77.85713
391,77.93605
392,77.94862
393,77.9074
394,77.8123
395,77.71593
396,77.6803
397,77.70415
398,77.763664
399,77.82868
400,77.86231
401,77.88789
402,77.912834
403,77.92297
404,77.8819
405,77.81612
406,77.750175
407,77.70365
408,77.711624
409,77.76022
410,77.84502
411,77.88523
412,77.86002
413,77.80622
414,77.76206
415,77.74766
416,77.79283
417,77.8351
418,77.84247
419,77.83125
420,77.836815
421,77.86796
422,77.91691
423,77.96647
424,77.990944
425,77.97612
426,77.95037
427,77.968285
428,77.99035
429,77.97896
430,77.93118
431,77.89069
432,77.84773
433,77.81636
434,77.80772
435,77.837654
436,77.869064
437,77.84589
438,77.76852
439,77.65678
440,77.56705
441,77.53463
442,77.555916
443,77.58025
