,0
0,81.10427
1,81.080315
2,81.09063
3,81.082825
4,81.07999
5,81.08267
6,81.06986
7,81.03356
8,80.97275
9,80.920135
10,80.9019
11,80.92312
12,80.93976
13,80.90976
14,80.84152
15,80.76729
16,80.74165
17,80.76219
18,80.81758
19,80.88879
20,80.94507
21,80.948944
22,80.91202
23,80.86374
24,80.848236
25,80.83504
26,80.79451
27,80.71564
28,80.6404
29,80.601715
30,80.61799
31,80.68184
32,80.74916
33,80.77935
34,80.775055
35,80.74605
36,80.73709
37,80.74629
38,80.7529
39,80.74149
40,80.70439
41,80.654305
42,80.60669
43,80.583755
44,80.57437
45,80.572754
46,80.5883
47,80.61222
48,80.64612
49,80.674805
50,80.69095
51,80.67127
52,80.633484
53,80.59518
54,80.587494
55,80.60719
56,80.64732
57,80.68353
58,80.68073
59,80.64281
60,80.597
61,80.56397
62,80.577385
63,80.623535
64,80.65425
65,80.65487
66,80.6157
67,80.575096
68,80.56073
69,80.58227
70,80.62811
71,80.69063
72,80.731415
73,80.724976
74,80.7023
75,80.69798
76,80.72644
77,80.73704
78,80.69003
79,80.66902
80,80.695724
81,80.73597
82,80.75075
83,80.753876
84,80.73212
85,80.66985
86,80.644615
87,80.660545
88,80.70271
89,80.72433
90,80.71095
91,80.671036
92,80.62913
93,80.606964
94,80.6363
95,80.6817
96,80.703896
97,80.70557
98,80.67322
99,80.62158
100,80.58976
101,80.60154
102,80.62775
103,80.63051
104,80.62333
105,80.611534
106,80.60775
107,80.58445
108,80.56901
109,80.55429
110,80.552505
111,80.554695
112,80.525276
113,80.48537
114,80.49178
115,80.56075
116,80.6071
117,80.59055
118,80.55436
119,80.56348
120,80.58714
121,80.56672
122,80.519905
123,80.45554
124,80.371704
125,80.27976
126,80.20737
127,80.18729
128,80.19584
129,80.20416
130,80.202194
131,80.17111
132,80.14893
133,80.15205
134,80.144
135,80.113
136,80.07371
137,80.0475
138,79.980804
139,79.89489
140,79.833305
141,79.81818
142,79.82996
143,79.849915
144,79.84078
145,79.81862
146,79.78696
147,79.742935
148,79.67809
149,79.61528
150,79.56723
151,79.5178
152,79.49075
153,79.508026
154,79.56904
155,79.607574
156,79.57776
157,79.499214
158,79.40453
159,79.32755
160,79.28662
161,79.24522
162,79.19677
163,79.165085
164,79.16208
165,79.186386
166,79.21363
167,79.22545
168,79.20863
169,79.13857
170,79.062416
171,79.043
172,79.030205
173,78.98595
174,78.91311
175,78.84984
176,78.7734
177,78.697426
178,78.63986
179,78.6355
180,78.65735
181,78.6289
182,78.54306
183,78.40198
184,78.28112
185,78.2208
186,78.22629
187,78.25164
188,78.26419
189,78.22076
190,78.17987
191,78.15501
192,78.14408
193,78.17389
194,78.23914
195,78.27569
196,78.25673
197,78.192024
198,78.11617
199,78.06045
200,78.05952
201,78.074326
202,78.07664
203,78.08124
204,78.079384
205,78.06088
206,78.009026
207,77.95473
208,77.87992
209,77.818504
210,77.79707
211,77.78406
212,77.77262
213,77.76304
214,77.744576
215,77.714935
216,77.675835
217,77.63304
218,77.59729
219,77.5477
220,77.49299
221,77.50572
222,77.547745
223,77.57156
224,77.57024
225,77.552086
226,77.54341
227,77.54299
228,77.53477
229,77.49153
230,77.42857
231,77.37311
232,77.31241
233,77.27148
234,77.26447
235,77.280266
236,77.338524
237,77.41011
238,77.477905
239,77.50995
240,77.528435
241,77.53409
242,77.54607
243,77.56464
244,77.57259
245,77.59788
246,77.6308
247,77.63818
248,77.600525
249,77.534515
250,77.496315
251,77.51703
252,77.6036
253,77.703354
254,77.71892
255,77.62169
256,77.92232
257,77.832695
258,77.876495
259,77.929695
260,77.99252
261,78.01871
262,77.98201
263,77.92266
264,77.865326
265,77.841446
266,77.87456
267,77.93186
268,77.955864
269,77.92145
270,77.85838
271,77.79719
272,77.754585
273,77.721695
274,77.69992
275,77.71791
276,77.78151
277,77.85756
278,77.91629
279,77.932365
280,77.93416
281,77.9019
282,77.83455
283,77.71739
284,77.61168
285,77.53837
286,77.49893
287,77.503845
288,77.55495
289,77.603195
290,77.61597
291,77.5786
292,77.53392
293,77.462456
294,77.377304
295,77.30072
296,77.26549
297,77.23239
298,77.19262
299,77.14887
300,77.115326
301,77.09731
302,77.09281
303,77.095314
304,77.09329
305,77.10215
306,77.093475
307,77.04968
308,76.990135
309,76.944145
310,76.933624
311,76.96048
312,76.98477
313,77.00519
314,76.98935
315,76.95448
316,76.90412
317,76.84041
318,76.80544
319,76.82993
320,76.89203
321,76.94701
322,76.98496
323,77.02161
324,77.05806
325,77.08543
326,77.11382
327,77.13241
328,77.15479
329,77.17168
330,77.20156
331,77.24135
332,77.30468
333,77.320114
334,77.26617
335,77.213905
336,77.19773
337,77.19489
338,77.16531
339,77.13779
340,77.12518
341,77.06189
342,76.96981
343,76.896164
344,76.84922
345,76.805664
346,76.772354
347,76.75935
348,76.76795
349,76.76236
350,76.73068
351,76.69382
352,76.662056
353,76.62406
354,76.5918
355,76.57213
356,76.611855
357,76.68536
358,76.7466
359,76.775375
360,76.798004
361,76.830734
362,76.83318
363,76.80288
364,76.786606
365,76.77573
366,76.79027
367,76.83908
368,76.88512
369,76.913734
370,76.97177
371,77.005066
372,76.96542
373,76.86245
374,76.798584
375,76.84603
376,76.929245
377,76.948326
378,76.90875
379,76.79749
380,76.65827
381,76.550095
382,76.519485
383,76.546
384,76.59232
385,76.57854
386,76.49356
387,76.40819
388,76.36985
389,76.38439
390,76.443115
391,76.49506
392,76.4834
393,76.400505
394,76.28474
395,76.17251
396,76.108116
397,76.105675
398,76.13493
399,76.1635
400,76.18347
401,76.19291
402,76.213806
403,76.2255
404,76.1836
405,76.11304
406,76.040054
407,76.00345
408,76.014725
409,76.04522
410,76.09387
411,76.110214
412,76.08989
413,76.04321
414,75.99105
415,75.96612
416,75.997055
417,76.0264
418,76.02526
419,76.013885
420,76.009415
421,76.029366
422,76.0793
423,76.129486
424,76.161804
425,76.16956
426,76.16792
427,76.187935
428,76.2071
429,76.1966
430,76.17004
431,76.13934
432,76.11672
433,76.12273
434,76.16182
435,76.21049
436,76.24311
437,76.210464
438,76.13279
439,76.04129
440,75.99801
441,75.975334
442,75.98501
443,76.002884
444,76.00527
445,75.97741
446,75.95105
447,75.92872
448,75.91956
449,75.93538
450,75.97417
451,75.9826
452,75.97841
453,75.959305
454,75.91257
455,75.86602
456,75.87651
457,75.90166
458,75.92458
459,75.95122
460,75.94931
461,75.91737
462,75.86203
463,75.80896
464,75.774796
465,75.75055
466,75.75706
467,75.76474
468,75.76198
469,75.75894
470,75.77533
471,75.7941
472,75.78424
473,75.77764
474,75.76796
475,75.75148
476,75.72303
477,75.72513
478,75.75177
479,75.77387
480,75.77684
481,75.76737
482,75.775955
483,75.797455
484,75.81299
485,75.79324
486,75.7454
487,75.69269
488,75.644394
489,75.62077
490,75.61544
491,75.62615
492,75.66981
493,75.72429
494,75.76032
495,75.77231
496,75.78616
497,75.78335
498,75.77951
499,75.79192
500,75.80141
501,75.80999
502,75.824165
503,75.806046
504,75.74372
505,75.66263
506,75.602196
507,75.59972
508,75.649704
509,75.70271
510,75.70172
511,75.60054
512,75.820564
513,75.74052
514,75.77323
515,75.809364
516,75.8361
517,75.83449
518,75.79362
519,75.73442
520,75.66529
521,75.63492
522,75.65046
523,75.671425
524,75.66617
525,75.63874
526,75.59927
527,75.567696
528,75.51756
529,75.48831
530,75.47744
531,75.49034
532,75.52402
533,75.54833
534,75.578255
535,75.59069
536,75.59998
537,75.587845
538,75.57128
539,75.51284
540,75.443695
541,75.38277
542,75.34289
543,75.34755
544,75.40944
545,75.48322
546,75.534454
547,75.549095
548,75.52437
549,75.46741
550,75.41746
551,75.396416
552,75.38633
553,75.36341
554,75.33357
555,75.3142
556,75.32045
557,75.33559
558,75.35541
559,75.37241
560,75.385506
561,75.39534
562,75.39115
563,75.37401
564,75.34213
565,75.32147
566,75.33324
567,75.376015
568,75.40585
569,75.4248
570,75.38742
571,75.32899
572,75.2694
573,75.21239
574,75.19318
575,75.21969
576,75.2752
577,75.31805
578,75.32854
579,75.31722
580,75.31438
581,75.31699
582,75.33264
583,75.32408
584,75.30481
585,75.28374
586,75.25436
587,75.251015
588,75.287834
589,75.28415
590,75.23902
591,75.19607
592,75.18708
593,75.18559
594,75.15725
595,75.136505
596,75.12077
597,75.09551
598,75.04109
599,74.971375
600,74.93272
601,74.93218
602,74.96162
603,74.9961
604,75.03423
605,75.04819
606,75.03607
607,75.00371
608,74.97446
609,74.93858
610,74.92845
611,74.92924
612,74.96793
613,75.04175
614,75.11398
615,75.14201
616,75.15336
617,75.162445
618,75.14653
619,75.09993
620,75.05799
621,75.04824
622,75.071075
623,75.116394
624,75.14573
625,75.16814
626,75.20995
627,75.229546
628,75.17707
629,75.08876
630,75.02781
631,75.038734
632,75.07892
633,75.0978
634,75.047424
635,74.96706
636,74.87775
637,74.79033
638,74.738754
639,74.75447
640,74.81395
641,74.84353
642,74.81133
643,74.774315
644,74.749664
645,74.7561
646,74.8098
647,74.874054
648,74.88551
649,74.84729
650,74.786865
651,74.72502
652,74.69012
653,74.700714
654,74.73702
655,74.77648
656,74.81019
657,74.83067
658,74.841034
659,74.85065
660,74.81386
661,74.754265
662,74.69823
663,74.68255
664,74.693924
665,74.69517
666,74.70693
667,74.69788
668,74.67216
669,74.63391
670,74.58235
671,74.54339
672,74.53328
673,74.52499
674,74.49803
675,74.47637
676,74.473755
677,74.49242
678,74.53479
679,74.57492
680,74.60504
681,74.61728
682,74.605675
683,74.605385
684,74.58947
685,74.5638
686,74.533195
687,74.51386
688,74.49834
689,74.507385
690,74.54265
691,74.58483
692,74.601166
693,74.56229
694,74.49673
695,74.432
696,74.38561
697,74.34304
698,74.33977
699,74.32774
700,74.30876
701,74.28189
702,74.24917
703,74.21233
704,74.19129
705,74.20394
706,74.22492
707,74.20621
708,74.188835
709,74.17116
710,74.141464
711,74.123245
712,74.15013
713,74.206665
714,74.25065
715,74.281715
716,74.264336
717,74.2171
718,74.15603
719,74.093185
720,74.051765
721,74.03349
722,74.04312
723,74.05579
724,74.06381
725,74.086945
726,74.115234
727,74.1363
728,74.1108
729,74.08551
730,74.070305
731,74.03522
732,73.99939
733,73.96426
734,73.95176
735,73.941185
736,73.914444
737,73.88682
738,73.87197
739,73.88254
740,73.889755
