,0
0,80.79403
1,80.77058
2,80.73772
3,80.69218
4,80.72989
5,80.81727
6,80.91443
7,80.97306
8,80.95353
9,80.875946
10,80.77953
11,80.712006
12,80.694244
13,80.743225
14,80.79941
15,80.796776
16,80.76897
17,80.77617
18,80.803825
19,80.80621
20,80.767075
21,80.72012
22,80.66971
23,80.60396
24,80.53995
25,80.53748
26,80.569855
27,80.5954
28,80.57764
29,80.54169
30,80.52551
31,80.51222
32,80.484406
33,80.43785
34,80.41557
35,80.41736
36,80.42496
37,80.440636
38,80.46455
39,80.4693
40,80.42319
41,80.3778
42,80.36003
43,80.37964
44,80.432594
45,80.51189
46,80.55887
47,80.56026
48,80.530685
49,80.499794
50,80.51347
51,80.54221
52,80.53006
53,80.50865
54,80.49704
55,80.51091
56,80.53832
57,80.55272
58,80.551315
59,80.58766
60,80.64648
61,80.702934
62,80.72182
63,80.72783
64,80.7452
65,80.72025
66,80.64919
67,80.57591
68,80.51831
69,80.47042
70,80.5051
71,80.5907
72,80.647194
73,80.62001
74,80.58159
75,80.5634
76,80.5487
77,80.50281
78,80.4927
79,80.50264
80,80.52311
81,80.49936
82,80.53651
83,80.63696
84,80.694565
85,80.679085
86,80.672035
87,80.70698
88,80.72221
89,80.74792
90,80.77857
91,80.74547
92,80.66662
93,80.60484
94,80.572136
95,80.55157
96,80.53261
97,80.485214
98,80.4489
99,80.38365
100,80.31598
101,80.28203
102,80.30466
103,80.35507
104,80.41284
105,80.44609
106,80.42431
107,80.36279
108,80.337875
109,80.32774
110,80.29924
111,80.23487
112,80.17511
113,80.15665
114,80.18324
115,80.197975
116,80.18508
117,80.18097
118,80.16689
119,80.14672
120,80.13531
121,80.11427
122,80.1453
123,80.20402
124,80.2473
125,80.21481
126,80.10664
127,79.97901
128,79.90045
129,79.8847
130,79.884026
131,79.879425
132,79.84161
133,79.76641
134,79.688965
135,79.65131
136,79.609634
137,79.54412
138,79.512955
139,79.53195
140,79.562546
141,79.57126
142,79.6084
143,79.61333
144,79.574135
145,79.51098
146,79.421104
147,79.29579
148,79.16159
149,79.08
150,79.0585
151,79.080154
152,79.116264
153,79.10695
154,79.03529
155,78.953094
156,78.89316
157,78.858475
158,78.89628
159,78.92435
160,78.9048
161,78.835976
162,78.72214
163,78.58875
164,78.489586
165,78.455
166,78.469
167,78.4864
168,78.467514
169,78.4221
170,78.374664
171,78.29019
172,78.21669
173,78.192184
174,78.18109
175,78.16076
176,78.14528
177,78.11355
178,78.0531
179,77.977715
180,77.94097
181,77.95632
182,77.9869
183,78.03573
184,78.075485
185,78.05571
186,77.97454
187,77.86748
188,77.805336
189,77.84473
190,77.91703
191,77.95392
192,77.97804
193,77.981995
194,77.92562
195,77.85941
196,77.79728
197,77.75002
198,77.69766
199,77.63416
200,77.60915
201,77.6071
202,77.6349
203,77.674995
204,77.67507
205,77.629074
206,77.57187
207,77.527596
208,77.509476
209,77.51413
210,77.48487
211,77.42066
212,77.36536
213,77.33613
214,77.33559
215,77.33366
216,77.32049
217,77.30853
218,77.27208
219,77.23804
220,77.22952
221,77.23529
222,77.22749
223,77.17781
224,77.125114
225,77.08704
226,77.07595
227,77.07883
228,77.104965
229,77.11083
230,77.08787
231,77.057556
232,77.01249
233,76.99559
234,77.04077
235,77.09674
236,77.10169
237,77.0611
238,77.02216
239,76.98311
240,76.98231
241,77.01408
242,77.021164
243,77.02433
244,77.01114
245,77.03002
246,77.08173
247,77.15333
248,77.23192
249,77.29146
250,77.296814
251,77.25003
252,77.20705
253,77.217026
254,77.23016
255,77.26422
256,77.08055
257,77.08594
258,77.068695
259,77.07473
260,77.11147
261,77.20057
262,77.28491
263,77.34767
264,77.3925
265,77.406746
266,77.38587
267,77.33385
268,77.298225
269,77.31431
270,77.36264
271,77.37069
272,77.336945
273,77.33188
274,77.32611
275,77.27681
276,77.210014
277,77.16378
278,77.12039
279,77.06812
280,77.01248
281,76.98423
282,76.9936
283,76.997154
284,76.971924
285,76.94272
286,76.9396
287,76.93294
288,76.90039
289,76.84584
290,76.793465
291,76.7319
292,76.6764
293,76.63856
294,76.62657
295,76.650505
296,76.6701
297,76.6629
298,76.632774
299,76.58669
300,76.5647
301,76.55534
302,76.540306
303,76.50727
304,76.471954
305,76.45326
306,76.49873
307,76.57086
308,76.63367
309,76.67443
310,76.69616
311,76.68713
312,76.66158
313,76.60658
314,76.57172
315,76.57905
316,76.60431
317,76.634995
318,76.64718
319,76.62358
320,76.591576
321,76.544586
322,76.50104
323,76.487206
324,76.50862
325,76.514366
326,76.55862
327,76.57933
328,76.55513
329,76.4882
330,76.466125
331,76.491066
332,76.535194
333,76.54223
334,76.53428
335,76.477844
336,76.39104
337,76.31082
338,76.30676
339,76.39436
340,76.477806
341,76.489044
342,76.43438
343,76.367485
344,76.30011
345,76.294716
346,76.356186
347,76.40997
348,76.402824
349,76.330795
350,76.23626
351,76.12427
352,76.038536
353,76.02314
354,76.05008
355,76.05933
356,76.0178
357,75.981995
358,75.9999
359,76.04661
360,76.101524
361,76.136
362,76.149445
363,76.14196
364,76.154236
365,76.15703
366,76.15834
367,76.1568
368,76.16536
369,76.146545
370,76.13094
371,76.14696
372,76.17476
373,76.20678
374,76.218506
375,76.21574
376,76.22939
377,76.196
378,76.18228
379,76.19993
