,0
0,81.35293
1,81.36491
2,81.39981
3,81.43909
4,81.4248
5,81.396225
6,81.38536
7,81.390686
8,81.431854
9,81.4658
10,81.45184
11,81.37951
12,81.31793
13,81.290504
14,81.28664
15,81.3095
16,81.39067
17,81.45462
18,81.45542
19,81.40068
20,81.31755
21,81.269424
22,81.2834
23,81.329315
24,81.37247
25,81.37505
26,81.35735
27,81.35097
28,81.37288
29,81.41479
30,81.40698
31,81.379364
32,81.35869
33,81.35758
34,81.35579
35,81.38583
36,81.41084
37,81.40224
38,81.35296
39,81.30107
40,81.27005
41,81.259224
42,81.246254
43,81.24729
44,81.23328
45,81.21978
46,81.23612
47,81.266205
48,81.31153
49,81.33393
50,81.352196
51,81.35192
52,81.29315
53,81.24399
54,81.22341
55,81.21861
56,81.200066
57,81.169975
58,81.14236
59,81.10646
60,81.09012
61,81.11381
62,81.153076
63,81.193535
64,81.223595
65,81.26224
66,81.27631
67,81.26275
68,81.24791
69,81.23454
70,81.203964
71,81.192696
72,81.21706
73,81.26186
74,81.27326
75,81.23782
76,81.19835
77,81.17165
78,81.16364
79,81.17576
80,81.19362
81,81.20883
82,81.21425
83,81.21505
84,81.18378
85,81.141754
86,81.07951
87,81.03131
88,81.014854
89,81.03024
90,81.03299
91,81.010376
92,80.98807
93,80.97604
94,80.98991
95,81.03041
96,81.064835
97,81.062386
98,81.03148
99,81.02344
100,81.075294
101,81.08338
102,81.04642
103,81.01784
104,81.03584
105,81.0605
106,81.08711
107,81.11924
108,81.10615
109,81.05195
110,81.008606
111,81.0046
112,81.00219
113,81.004265
114,80.999
115,80.964096
116,80.9219
117,80.90214
118,80.89755
119,80.92198
120,80.98034
121,80.99957
122,80.92307
123,80.8259
124,80.73745
125,80.711754
126,80.75325
127,80.82222
128,80.84796
129,80.843475
130,80.78361
131,80.67609
132,80.59959
133,80.59109
134,80.61688
135,80.619415
136,80.59617
137,80.54879
138,80.51167
139,80.53592
140,80.63536
141,80.737526
142,80.755844
143,80.679504
144,80.59685
145,80.530556
146,80.4691
147,80.43378
148,80.441444
149,80.47016
150,80.47619
151,80.471756
152,80.46867
153,80.431206
154,80.3608
155,80.25232
156,80.16431
157,80.14113
158,80.15762
159,80.16224
160,80.151794
161,80.14224
162,80.13477
163,80.14775
164,80.14073
165,80.08569
166,80.0173
167,79.945496
168,79.888145
169,79.84979
170,79.82431
171,79.81653
172,79.84894
173,79.903015
174,79.95357
175,79.98149
176,80.00258
177,79.98946
178,79.94127
179,79.856575
180,79.81956
181,79.78919
182,79.77919
183,79.79993
184,79.885086
185,79.91071
186,79.858955
187,79.74904
188,79.70137
189,79.69702
190,79.7127
191,79.70871
192,79.675026
193,79.6499
194,79.65167
195,79.66254
196,79.65689
197,79.608215
198,79.549255
199,79.532036
200,79.52697
201,79.53002
202,79.578415
203,79.7012
204,79.85643
205,79.974434
206,79.99976
207,79.95273
208,79.878586
209,79.771736
210,79.69217
211,79.61784
212,79.56918
213,79.54648
214,79.54337
215,79.558495
216,79.589455
217,79.64389
218,79.71944
219,79.79629
220,79.852684
221,79.863045
222,79.83691
223,79.79398
224,79.695
225,79.607605
226,79.5538
227,79.54391
228,79.5655
229,79.61152
230,79.64162
231,79.675224
232,79.72464
233,79.78175
234,79.83234
235,79.80764
236,79.706245
237,79.56645
238,79.495636
239,79.51886
240,79.58037
241,79.61017
242,79.62596
243,79.63437
244,79.60676
245,79.552704
246,79.50751
247,79.481285
248,79.47028
249,79.49123
250,79.55625
251,79.59823
252,79.60923
253,79.59098
254,79.63906
255,79.7833
256,79.83546
257,79.82261
258,79.84572
259,79.86714
260,79.823395
261,79.78299
262,79.79113
263,79.82414
264,79.84701
265,79.78949
266,79.66051
267,79.50807
268,79.42314
269,79.42557
270,79.49172
271,79.559265
272,79.66144
273,79.721924
274,79.7216
275,79.68261
276,79.61711
277,79.58506
278,79.61468
279,79.65891
280,79.67501
281,79.62657
282,79.53617
283,79.474396
284,79.46281
285,79.47311
286,79.45472
287,79.42195
288,79.40107
289,79.38594
290,79.358284
291,79.385506
292,79.42972
293,79.46635
294,79.46018
295,79.38796
296,79.27572
297,79.18206
298,79.10312
299,79.08082
300,79.069466
301,79.06959
302,79.06901
303,79.05015
304,79.03375
305,79.01514
306,79.03224
307,79.08723
308,79.07516
309,79.01369
310,78.905525
311,78.79457
312,78.69041
313,78.61548
314,78.59176
315,78.59073
316,78.62933
317,78.70428
318,78.780304
319,78.83376
320,78.85879
321,78.86783
322,78.85138
323,78.82257
324,78.81665
325,78.827805
326,78.812065
327,78.80927
328,78.82785
329,78.85959
330,78.85828
331,78.82616
332,78.7989
333,78.79717
334,78.81685
335,78.85469
336,78.888596
337,78.92152
338,78.94406
339,78.965576
340,78.95343
341,78.9113
342,78.84775
343,78.78871
344,78.75081
345,78.75594
346,78.74297
347,78.72413
348,78.72033
349,78.729675
350,78.7605
351,78.78129
352,78.75888
353,78.71979
354,78.690315
355,78.69216
356,78.80118
357,78.89908
358,78.89188
359,78.80599
360,78.735016
361,78.70726
362,78.7482
363,78.838615
364,78.91382
365,78.894264
366,78.82234
367,78.76801
368,78.728294
369,78.752075
370,78.80447
371,78.8136
372,78.76112
373,78.67911
374,78.61676
375,78.60853
376,78.66466
377,78.701584
378,78.6411
379,78.51734
380,78.3824
381,78.32025
382,78.365295
383,78.470825
384,78.56124
385,78.57132
386,78.48619
387,78.36822
388,78.29779
389,78.30928
390,78.36043
391,78.37176
392,78.32719
393,78.262184
394,78.24491
395,78.270515
396,78.36249
397,78.47797
398,78.54858
399,78.53976
400,78.50355
401,78.424934
402,78.32918
403,78.2672
404,78.266464
405,78.29898
406,78.33361
407,78.36886
408,78.42002
409,78.43012
410,78.38115
411,78.27951
412,78.19345
413,78.18097
414,78.22475
415,78.28088
416,78.31735
417,78.32879
418,78.31757
419,78.309906
420,78.29568
421,78.2628
422,78.2258
423,78.18288
424,78.13529
425,78.10505
426,78.09515
427,78.11036
428,78.14726
429,78.195724
430,78.23341
431,78.259735
432,78.28094
433,78.30508
434,78.31294
435,78.27221
436,78.22846
437,78.17094
438,78.12888
439,78.13475
440,78.2162
441,78.25953
442,78.223785
443,78.14294
444,78.09385
445,78.08142
446,78.10532
447,78.14029
448,78.144196
449,78.1286
450,78.1093
451,78.06224
452,78.00089
453,77.932274
454,77.87681
455,77.85493
456,77.838425
457,77.84558
458,77.87609
459,77.94755
460,78.021805
461,78.08519
462,78.07952
463,78.01684
464,77.930214
465,77.8299
466,77.75334
467,77.69509
468,77.6399
469,77.61069
470,77.60209
471,77.602394
472,77.59446
473,77.594
474,77.61462
475,77.646034
476,77.67754
477,77.69752
478,77.68916
479,77.65717
480,77.562584
481,77.48362
482,77.47323
483,77.48045
484,77.47515
485,77.44926
486,77.445786
487,77.45456
488,77.47737
489,77.507355
490,77.54529
491,77.52292
492,77.41978
493,77.29178
494,77.19311
495,77.16979
496,77.18103
497,77.167465
498,77.1461
499,77.113625
500,77.05192
501,76.98874
502,76.96066
503,76.95039
504,76.940346
505,76.92218
506,76.93955
507,76.94872
508,76.92969
509,76.89235
510,76.88981
511,76.972015
512,76.98106
513,76.9541
514,76.9776
515,77.002205
516,76.975845
517,76.93956
518,76.87812
519,76.833374
520,76.81525
521,76.80329
522,76.73031
523,76.62532
524,76.5628
525,76.55405
526,76.57668
527,76.62462
528,76.70261
529,76.74894
530,76.73917
531,76.698586
532,76.63099
533,76.589066
534,76.58807
535,76.59033
536,76.5777
537,76.51456
538,76.44537
539,76.384094
540,76.337135
541,76.32249
542,76.30947
543,76.299545
544,76.33855
545,76.35892
546,76.33615
547,76.31316
548,76.29036
549,76.26919
550,76.250984
551,76.22061
552,76.1859
553,76.132576
554,76.08246
555,76.04751
556,76.02338
557,76.032616
558,76.07144
559,76.10863
560,76.096245
561,76.066246
562,76.06242
563,76.08151
564,76.066696
565,76.03651
566,75.990135
567,75.914505
568,75.83225
569,75.753525
570,75.724495
571,75.74418
572,75.79375
573,75.839195
574,75.86112
575,75.91861
576,75.96793
577,75.97998
578,75.951035
579,75.92195
580,75.90721
581,75.91247
582,75.924194
583,75.94734
584,75.970634
585,75.97769
586,75.988716
587,76.00062
588,75.97719
589,75.965096
590,75.982254
591,75.9966
592,75.99067
593,76.00844
594,76.05497
595,76.10291
596,76.097176
597,76.068214
598,76.00724
599,75.94878
600,75.91603
601,75.92765
602,75.943436
603,75.94189
604,75.94046
605,75.93276
606,75.925064
607,75.9216
608,75.89338
609,75.86444
610,75.86079
611,75.88143
612,75.9406
613,76.01449
614,76.045044
615,76.02844
616,75.977264
617,75.94344
618,75.98227
619,76.09417
620,76.16698
621,76.14006
622,76.06045
623,75.98922
624,75.93889
625,75.95012
626,75.9957
627,76.02079
628,75.98214
629,75.932175
630,75.91371
631,75.94006
632,75.99707
633,76.02188
634,75.96683
635,75.85778
636,75.738045
637,75.6952
638,75.75946
639,75.881004
640,75.980774
641,75.99321
642,75.91211
643,75.76536
644,75.724625
645,75.75643
646,75.81649
647,75.82839
648,75.77513
649,75.68908
650,75.62966
651,75.64324
652,75.715
653,75.82431
654,75.8795
655,75.851944
656,75.81761
657,75.75375
658,75.65932
659,75.60371
660,75.593376
661,75.60805
662,75.63178
663,75.665695
664,75.70414
665,75.721756
666,75.66092
667,75.558174
668,75.47682
669,75.47623
670,75.50725
671,75.540306
672,75.577576
673,75.58585
674,75.56019
675,75.52375
676,75.50008
677,75.497345
678,75.46607
679,75.39218
680,75.29044
681,75.24346
682,75.249916
683,75.29969
684,75.335304
685,75.35236
686,75.359436
687,75.349144
688,75.320786
689,75.31418
690,75.32694
691,75.28467
692,75.216644
693,75.17021
694,75.16677
695,75.167984
696,75.2086
697,75.24262
698,75.22416
699,75.15186
700,75.1003
701,75.06941
702,75.0844
703,75.16277
704,75.220406
705,75.228745
706,75.19479
707,75.15876
708,75.13467
709,75.11325
710,75.08796
711,75.0688
712,75.06028
713,75.08048
714,75.12378
715,75.191345
716,75.27453
717,75.36714
718,75.39917
719,75.36627
720,75.29219
721,75.20773
722,75.13924
723,75.098076
724,75.05797
725,75.05856
726,75.08241
727,75.09919
728,75.113304
729,75.114075
730,75.12504
731,75.148766
732,75.18637
733,75.20797
734,75.196205
735,75.17219
736,75.115074
737,75.071465
738,75.05197
739,75.06253
740,75.07596
741,75.071815
742,75.041626
743,75.055244
744,75.115616
745,75.1974
746,75.25189
747,75.22714
748,75.12315
749,75.00985
750,74.92348
751,74.91248
752,74.944756
753,74.98443
754,75.01535
755,75.00123
756,74.988434
757,74.95216
758,74.93628
759,74.939285
760,74.96682
761,74.976
762,74.97851
763,74.986374
764,74.975044
765,74.96614
766,74.96312
767,75.04268
768,75.07073
769,75.05422
770,75.10942
771,75.157364
772,75.165665
773,75.15347
774,75.11614
775,75.083496
776,75.07383
777,75.09461
778,75.05654
779,74.98633
780,74.94964
781,74.96057
782,74.99159
783,75.04254
784,75.07803
785,75.09598
786,75.082
787,75.09847
788,75.093895
789,75.083916
790,75.09588
791,75.11279
792,75.14382
793,75.13022
794,75.07819
795,75.01913
796,75.00046
797,75.01012
798,75.03747
799,75.07152
800,75.11618
801,75.12941
802,75.11676
803,75.09778
804,75.072876
805,75.09001
806,75.11193
807,75.09053
808,75.06115
809,75.01138
810,74.95663
811,74.909195
812,74.89304
813,74.90064
814,74.92927
815,74.950806
816,74.94751
817,74.939156
818,74.96592
819,74.99824
820,74.996864
821,74.96866
822,74.9305
823,74.84746
824,74.76428
825,74.69037
826,74.66566
827,74.681496
828,74.72352
829,74.76769
830,74.80561
831,74.87623
832,74.94354
833,74.95166
834,74.929924
835,74.91335
836,74.91174
837,74.91529
838,74.92334
839,74.92711
840,74.93034
841,74.93101
842,74.96088
843,74.971405
844,74.96316
845,74.94213
846,74.913475
847,74.903625
848,74.88428
849,74.89758
850,74.92272
851,74.954025
852,74.92534
853,74.8712
854,74.81625
855,74.77475
856,74.76109
857,74.771126
858,74.75932
859,74.72658
860,74.714035
861,74.7201
862,74.731995
863,74.71956
864,74.68516
865,74.65406
866,74.63192
867,74.65071
868,74.69295
869,74.72673
