,0
0,82.668915
1,82.70721
2,82.706566
3,82.691574
4,82.71533
5,82.73616
6,82.73792
7,82.71194
8,82.68184
9,82.64617
10,82.62376
11,82.68283
12,82.78435
13,82.8304
14,82.785736
15,82.68677
16,82.616394
17,82.56441
18,82.572205
19,82.577065
20,82.5568
21,82.527725
22,82.53566
23,82.594406
24,82.683044
25,82.76704
26,82.81802
27,82.76264
28,82.654686
29,82.58991
30,82.59294
31,82.61481
32,82.62928
33,82.59647
34,82.500885
35,82.42029
36,82.38019
37,82.41289
38,82.49492
39,82.54372
40,82.533936
41,82.47508
42,82.43783
43,82.47662
44,82.56484
45,82.6134
46,82.615036
47,82.60326
48,82.58606
49,82.581116
50,82.610275
51,82.6379
52,82.64598
53,82.60364
54,82.56211
55,82.53514
56,82.52094
57,82.51914
58,82.50392
59,82.490234
60,82.4329
61,82.387695
62,82.409
63,82.428314
64,82.4397
65,82.44652
66,82.45349
67,82.45621
68,82.467285
69,82.513794
70,82.52615
71,82.48395
72,82.41932
73,82.350204
74,82.31469
75,82.31605
76,82.32627
77,82.31825
78,82.3164
79,82.279015
80,82.22681
81,82.202194
82,82.19202
83,82.2352
84,82.31026
85,82.32141
86,82.27286
87,82.22597
88,82.22206
89,82.22901
90,82.28822
91,82.332115
92,82.3647
93,82.422874
94,82.46518
95,82.44445
96,82.38698
97,82.3353
98,82.301346
99,82.339294
100,82.34128
101,82.34695
102,82.35211
103,82.33775
104,82.2607
105,82.20813
106,82.231155
107,82.2359
108,82.30089
109,82.373924
110,82.287186
111,82.19061
112,82.09744
113,82.01214
114,82.02048
115,81.9675
116,81.9291
117,82.02507
118,82.09149
119,82.07
120,82.11448
121,82.15762
122,82.17001
123,82.13551
124,82.04418
125,81.95412
126,81.89969
127,81.85928
128,81.823746
129,81.79802
130,81.775505
131,81.79515
132,81.85008
133,81.90472
134,81.9408
135,81.967224
136,81.96384
137,81.939835
138,81.93138
139,81.93725
140,81.92719
141,81.90754
142,81.851364
143,81.82475
144,81.77315
145,81.7417
146,81.757744
147,81.76815
148,81.74002
149,81.7312
150,81.708694
151,81.68463
152,81.68948
153,81.68812
154,81.66419
155,81.621254
156,81.56364
157,81.505394
158,81.439354
159,81.37204
160,81.36107
161,81.39243
162,81.40999
163,81.42168
164,81.4445
165,81.44443
166,81.42658
167,81.36096
168,81.27019
169,81.22445
170,81.2305
171,81.27952
172,81.33519
173,81.3716
174,81.34883
175,81.32518
176,81.302505
177,81.3018
178,81.30501
179,81.27962
180,81.253624
181,81.18364
182,81.09285
183,81.048004
184,81.042816
185,81.07138
186,81.11045
187,81.134796
188,81.17049
189,81.138275
190,81.085495
191,81.05348
192,81.09108
193,81.117386
194,81.11951
195,81.10378
196,81.04932
197,80.98542
198,80.99166
199,81.00459
200,81.05656
201,81.10206
202,81.12579
203,81.108215
204,81.07913
205,81.1029
206,81.19394
207,81.31914
208,81.36112
209,81.30124
210,81.203094
211,81.0946
212,81.00068
213,80.96529
214,81.01332
215,81.078255
216,81.1084
217,81.10053
218,81.07898
219,81.03095
220,80.98716
221,80.948555
222,80.90579
223,80.87341
224,80.85837
225,80.90302
226,81.00983
227,81.10363
228,81.124886
229,81.08792
230,81.012566
231,80.943085
232,80.92228
233,80.93746
234,80.95976
235,80.96969
236,80.97832
237,81.02203
238,81.06766
239,81.122406
240,81.166794
241,81.16467
242,81.09242
243,81.01399
244,81.01014
245,81.083176
246,81.14501
247,81.19345
248,81.22069
249,81.19621
250,81.20548
251,81.26872
252,81.32214
253,81.3552
254,81.37494
255,81.41609
256,81.14293
257,81.15249
258,81.170006
259,81.18678
260,81.21787
261,81.20393
262,81.16112
263,81.080696
264,80.987045
265,80.86327
266,80.77309
267,80.78553
268,80.87414
269,80.96574
270,81.009674
271,80.98836
272,80.95404
273,80.88797
274,80.88121
275,80.87279
276,80.84205
277,80.80802
278,80.79253
279,80.775764
280,80.75047
281,80.74835
282,80.77257
283,80.77353
284,80.74535
285,80.72464
286,80.736115
287,80.74692
288,80.77117
289,80.76924
290,80.71161
291,80.65672
292,80.60637
293,80.60879
294,80.64418
295,80.67074
296,80.66203
297,80.59836
298,80.52357
299,80.47073
300,80.47901
301,80.46358
302,80.41068
303,80.3986
304,80.407455
305,80.44064
306,80.48245
307,80.49232
308,80.46454
309,80.38422
310,80.29877
311,80.24736
312,80.255646
313,80.30666
314,80.363045
315,80.41398
316,80.38375
317,80.33522
318,80.35005
319,80.37639
320,80.39833
321,80.378105
322,80.30942
323,80.201996
324,80.11333
325,80.11076
326,80.16148
327,80.2319
328,80.2882
329,80.286194
330,80.22652
331,80.185005
332,80.153046
333,80.146034
334,80.21056
335,80.27365
336,80.29647
337,80.28164
338,80.239334
339,80.19388
340,80.19547
341,80.163506
342,80.11566
343,80.09167
344,80.14632
345,80.24228
346,80.340744
347,80.35022
348,80.316864
349,80.325165
350,80.3769
351,80.4258
352,80.45317
