,0
0,81.383514
1,81.39563
2,81.43884
3,81.48012
4,81.46643
5,81.4344
6,81.41163
7,81.40924
8,81.45013
9,81.494965
10,81.49385
11,81.43238
12,81.37015
13,81.32758
14,81.29997
15,81.3095
16,81.382706
17,81.440674
18,81.443794
19,81.38234
20,81.292435
21,81.23485
22,81.24435
23,81.29636
24,81.323074
25,81.30888
26,81.31104
27,81.3125
28,81.34255
29,81.38988
30,81.38207
31,81.350586
32,81.325226
33,81.31752
34,81.31
35,81.32239
36,81.32232
37,81.291306
38,81.22948
39,81.16727
40,81.12968
41,81.11934
42,81.11121
43,81.11189
44,81.10302
45,81.08554
46,81.09717
47,81.1432
48,81.1975
49,81.21936
50,81.22372
51,81.18977
52,81.092415
53,81.04111
54,81.04885
55,81.08563
56,81.107185
57,81.09993
58,81.08345
59,81.0571
60,81.04992
61,81.074745
62,81.11657
63,81.165016
64,81.208305
65,81.25756
66,81.28228
67,81.27675
68,81.26932
69,81.262665
70,81.2361
71,81.230865
72,81.26873
73,81.33139
74,81.360504
75,81.34312
76,81.311035
77,81.27572
78,81.268845
79,81.28417
80,81.30745
81,81.32613
82,81.33066
83,81.3307
84,81.30342
85,81.27283
86,81.22577
87,81.184235
88,81.1682
89,81.182724
90,81.18906
91,81.17805
92,81.16371
93,81.13963
94,81.13048
95,81.155
96,81.20024
97,81.23505
98,81.22885
99,81.20708
100,81.21326
101,81.17424
102,81.09542
103,81.06662
104,81.10791
105,81.16754
106,81.20301
107,81.22071
108,81.1945
109,81.13819
110,81.10498
111,81.1221
112,81.11938
113,81.11624
114,81.1031
115,81.06653
116,81.03245
117,81.03067
118,81.05477
119,81.09603
120,81.1546
121,81.1678
122,81.09529
123,81.00984
124,80.93535
125,80.91104
126,80.93196
127,80.96518
128,80.96076
129,80.940254
130,80.8806
131,80.769035
132,80.67439
133,80.634605
134,80.62462
135,80.59433
136,80.54285
137,80.4689
138,80.40657
139,80.401184
140,80.47769
141,80.561554
142,80.56259
143,80.471985
144,80.37442
145,80.29015
146,80.20589
147,80.14442
148,80.132
149,80.14771
150,80.14512
151,80.13231
152,80.119064
153,80.06114
154,79.96182
155,79.818146
156,79.6996
157,79.65153
158,79.64951
159,79.63022
160,79.59932
161,79.56518
162,79.52485
163,79.50441
164,79.47642
165,79.40087
166,79.318726
167,79.23468
168,79.1625
169,79.107254
170,79.06112
171,79.04018
172,79.05006
173,79.083015
174,79.10585
175,79.10445
176,79.096405
177,79.08956
178,79.044586
179,78.96495
180,78.908264
181,78.83016
182,78.757675
183,78.73363
184,78.808655
185,78.81799
186,78.75438
187,78.63157
188,78.53767
189,78.496155
190,78.50145
191,78.5287
192,78.55747
193,78.55679
194,78.55708
195,78.51535
196,78.46307
197,78.39431
198,78.34477
199,78.341995
200,78.35044
201,78.34348
202,78.366325
203,78.426384
204,78.492294
205,78.55725
206,78.53758
207,78.45411
208,78.346054
209,78.226974
210,78.14314
211,78.10988
212,78.084885
213,78.068245
214,78.049675
215,78.02504
216,77.98474
217,77.94953
218,77.93473
219,77.94542
220,77.9874
221,78.01597
222,78.01599
223,78.00708
224,77.94179
225,77.86674
226,77.84459
227,77.8494
228,77.84339
229,77.86208
230,77.88463
231,77.89235
232,77.91562
233,77.940155
234,77.9945
235,78.020256
236,77.97453
237,77.87939
238,77.80982
239,77.79521
240,77.79595
241,77.79708
242,77.81561
243,77.84611
244,77.84001
245,77.813416
246,77.80116
247,77.81117
248,77.81881
249,77.84385
250,77.89234
251,77.91789
252,77.94204
253,77.94228
254,77.9951
255,78.12717
256,78.17353
257,78.17443
258,78.229034
259,78.28294
260,78.26577
261,78.246895
262,78.206116
263,78.20319
264,78.21347
265,78.20622
266,78.16421
267,78.074715
268,78.041016
269,78.003204
270,78.06565
271,78.12865
272,78.24884
273,78.35488
274,78.380615
275,78.35241
276,78.29733
277,78.26761
278,78.29607
279,78.327774
280,78.33175
281,78.2821
282,78.18857
283,78.11074
284,78.09764
285,78.10831
286,78.099785
287,78.06899
288,78.064285
289,78.05492
290,78.03117
291,78.01466
292,78.0024
293,77.98916
294,77.96672
295,77.90763
296,77.831894
297,77.75351
298,77.68957
299,77.65819
300,77.63019
301,77.62865
302,77.651695
303,77.66984
304,77.658226
305,77.62269
306,77.6153
307,77.63098
308,77.60001
309,77.55691
310,77.48986
311,77.41487
312,77.33825
313,77.27333
314,77.248505
315,77.25893
316,77.30175
317,77.36314
318,77.43529
319,77.501625
320,77.54654
321,77.56435
322,77.55252
323,77.52679
324,77.52134
325,77.545685
326,77.56516
327,77.59911
328,77.64668
329,77.68706
330,77.68628
331,77.65216
332,77.62455
333,77.60413
334,77.60281
335,77.620415
336,77.62388
337,77.628716
338,77.62679
339,77.62813
340,77.592064
341,77.51914
342,77.42201
343,77.323105
344,77.25835
345,77.23146
346,77.230446
347,77.22109
348,77.208855
349,77.17253
350,77.16379
351,77.15834
352,77.14328
353,77.15233
354,77.1519
355,77.17216
356,77.25614
357,77.30044
358,77.29531
359,77.26953
360,77.24091
361,77.250336
362,77.3117
363,77.40342
364,77.46068
365,77.43859
366,77.39356
367,77.34814
368,77.315125
369,77.335144
370,77.389725
371,77.41731
372,77.40101
373,77.36054
374,77.33869
375,77.35821
376,77.42459
377,77.46236
378,77.409676
379,77.28813
380,77.14315
381,77.062965
382,77.08452
383,77.17082
384,77.23622
385,77.23115
386,77.1423
387,77.006905
388,76.92057
389,76.90607
390,76.92109
391,76.88671
392,76.812454
393,76.72477
394,76.68005
395,76.668465
396,76.706375
397,76.76791
398,76.78376
399,76.72624
400,76.6633
401,76.5918
402,76.52131
403,76.483475
404,76.470634
405,76.51397
406,76.55566
407,76.60599
408,76.65357
409,76.66574
410,76.6048
411,76.49741
412,76.40068
413,76.393875
414,76.43263
415,76.49231
416,76.53688
417,76.5422
418,76.517494
419,76.49634
420,76.47133
421,76.45175
422,76.42612
423,76.37063
424,76.30098
425,76.28371
426,76.30508
427,76.36163
428,76.4108
429,76.46326
430,76.49365
431,76.51443
432,76.539635
433,76.579926
434,76.60976
435,76.594284
436,76.53895
437,76.47543
438,76.427704
439,76.42888
440,76.49329
441,76.54941
442,76.52688
443,76.44472
444,76.36163
445,76.307045
446,76.32387
447,76.40527
448,76.47558
449,76.49459
450,76.45564
451,76.40118
452,76.34217
453,76.280396
454,76.26298
455,76.25876
456,76.259384
457,76.256
458,76.26716
459,76.336876
460,76.415695
461,76.47978
462,76.475555
463,76.43256
464,76.360115
465,76.27077
466,76.20918
467,76.1667
468,76.126945
469,76.121414
470,76.13827
471,76.159805
472,76.15905
473,76.17485
474,76.19548
475,76.23288
476,76.26918
477,76.29151
478,76.30518
479,76.29601
480,76.2403
481,76.2163
482,76.226906
483,76.2531
484,76.27158
485,76.26611
486,76.2507
487,76.287125
488,76.34178
489,76.39993
490,76.45964
491,76.45768
492,76.36414
493,76.235634
494,76.139175
495,76.11624
496,76.12933
497,76.138115
498,76.13671
499,76.11368
500,76.07331
501,76.0252
502,76.00494
503,75.99781
504,76.000374
505,75.98886
506,75.99825
507,76.01058
508,76.00594
509,75.97781
510,75.96723
511,76.04844
512,76.08442
513,76.06012
514,76.1033
515,76.14836
516,76.160645
517,76.145935
518,76.10265
519,76.06137
520,76.06305
521,76.07866
522,76.023346
523,75.94529
524,75.89536
525,75.89677
526,75.91876
527,75.95772
528,76.03862
529,76.096886
530,76.10415
531,76.08531
532,76.049736
533,76.01444
534,76.02068
535,76.033485
536,76.03576
537,76.009346
538,75.96031
539,75.91176
540,75.871254
541,75.87751
542,75.89404
543,75.90698
544,75.9593
545,76.00353
546,75.996994
547,75.98343
548,75.96781
549,75.95848
550,75.95892
551,75.94449
552,75.92719
553,75.89055
554,75.85687
555,75.82447
556,75.8041
557,75.81241
558,75.85161
559,75.892586
560,75.88401
561,75.858955
562,75.854095
563,75.870224
564,75.86203
565,75.83878
566,75.81618
567,75.75945
568,75.68913
569,75.613396
570,75.58982
571,75.61009
572,75.66099
573,75.70517
574,75.72179
575,75.78181
576,75.82419
577,75.836426
578,75.80391
579,75.7635
580,75.73411
581,75.729034
582,75.718704
583,75.71595
584,75.71385
585,75.70001
586,75.706856
587,75.69615
588,75.67121
589,75.64203
590,75.62712
591,75.62035
592,75.59725
593,75.58661
594,75.62472
595,75.65535
596,75.62212
597,75.58392
598,75.5321
599,75.4878
600,75.46104
601,75.485504
602,75.5072
603,75.51039
604,75.509964
605,75.5062
606,75.5046
607,75.48884
608,75.46599
609,75.44921
610,75.46875
611,75.50097
612,75.551735
613,75.613235
614,75.63681
615,75.60849
616,75.569176
617,75.550125
618,75.61314
619,75.72758
620,75.7876
621,75.75094
622,75.65794
623,75.57226
624,75.527054
625,75.53718
626,75.56806
627,75.58174
628,75.540436
629,75.49821
630,75.47499
631,75.49674
632,75.54486
633,75.546165
634,75.47899
635,75.361
636,75.23611
637,75.17558
638,75.21829
639,75.2988
640,75.37701
641,75.387344
642,75.32308
643,75.21778
644,75.194786
645,75.23626
646,75.28506
647,75.29842
648,75.24729
649,75.18321
650,75.15292
651,75.17822
652,75.27383
653,75.3861
654,75.4364
655,75.40729
656,75.38045
657,75.32617
658,75.2464
659,75.205215
660,75.2058
661,75.21595
662,75.21013
663,75.21996
664,75.23362
665,75.227066
666,75.144104
667,75.04412
668,74.9716
669,74.963615
670,74.98658
671,75.00637
672,75.011696
673,75.00274
674,74.97031
675,74.95244
676,74.94895
677,74.94132
678,74.91359
679,74.845726
680,74.7637
681,74.734184
682,74.75705
683,74.827896
684,74.879715
685,74.91073
686,74.92347
687,74.91498
688,74.89188
689,74.906
690,74.94307
691,74.942726
692,74.893845
693,74.85688
694,74.84902
