,0
0,82.72195
1,82.74449
2,82.74086
3,82.7262
4,82.75473
5,82.78225
6,82.785645
7,82.75283
8,82.71476
9,82.684975
10,82.6745
11,82.73947
12,82.83356
13,82.85968
14,82.7996
15,82.69825
16,82.62198
17,82.5585
18,82.55902
19,82.558205
20,82.53926
21,82.51145
22,82.51427
23,82.5712
24,82.650185
25,82.72622
26,82.78287
27,82.727356
28,82.6212
29,82.55573
30,82.55266
31,82.56717
32,82.57371
33,82.53448
34,82.43555
35,82.34831
36,82.3014
37,82.32912
38,82.40535
39,82.444115
40,82.41314
41,82.33272
42,82.286545
43,82.326294
44,82.42034
45,82.46372
46,82.46068
47,82.45502
48,82.44144
49,82.43959
50,82.47112
51,82.49922
52,82.50615
53,82.465935
54,82.42911
55,82.412964
56,82.41753
57,82.43477
58,82.436005
59,82.43722
60,82.39422
61,82.35665
62,82.38574
63,82.413605
64,82.43335
65,82.444595
66,82.45709
67,82.476234
68,82.507935
69,82.57132
70,82.594345
71,82.557304
72,82.49313
73,82.42608
74,82.39361
75,82.40945
76,82.43475
77,82.42314
78,82.41412
79,82.36542
80,82.30812
81,82.288086
82,82.28441
83,82.3309
84,82.42234
85,82.463486
86,82.4357
87,82.37894
88,82.34305
89,82.34384
90,82.423615
91,82.469986
92,82.49988
93,82.55291
94,82.586205
95,82.56418
96,82.510765
97,82.45856
98,82.4173
99,82.45471
100,82.47815
101,82.48658
102,82.46442
103,82.42226
104,82.33145
105,82.272575
106,82.30817
107,82.337425
108,82.41086
109,82.47918
110,82.394424
111,82.30464
112,82.21046
113,82.12962
114,82.14965
115,82.11897
116,82.09183
117,82.178505
118,82.22454
119,82.19969
120,82.25484
121,82.30583
122,82.32408
123,82.29893
124,82.21373
125,82.12204
126,82.05689
127,82.00316
128,81.94924
129,81.89963
130,81.84996
131,81.840935
132,81.86642
133,81.89172
134,81.900894
135,81.89969
136,81.87079
137,81.82339
138,81.79413
139,81.782455
140,81.74919
141,81.70218
142,81.62099
143,81.57602
144,81.50809
145,81.461395
146,81.46674
147,81.4611
148,81.41265
149,81.38572
150,81.34613
