,0
0,80.92434
1,80.91694
2,80.905045
3,80.87459
4,80.83657
5,80.79159
6,80.76918
7,80.81012
8,80.83553
9,80.84244
10,80.845375
11,80.83083
12,80.75987
13,80.67542
14,80.653046
15,80.683105
16,80.727005
17,80.73012
18,80.7214
19,80.71727
20,80.72185
21,80.76407
22,80.80817
23,80.81908
24,80.794136
25,80.762566
26,80.72272
27,80.69106
28,80.69319
29,80.704926
30,80.72002
31,80.75836
32,80.7961
33,80.8172
34,80.80845
35,80.77775
36,80.737564
37,80.69859
38,80.65235
39,80.62461
40,80.6236
41,80.63923
42,80.647995
43,80.634674
44,80.619736
45,80.63454
46,80.67937
47,80.744
48,80.78566
49,80.77841
50,80.722626
51,80.674484
52,80.63348
53,80.612915
54,80.63857
55,80.67575
56,80.66496
57,80.62207
58,80.573006
59,80.57507
60,80.59471
61,80.59125
62,80.57201
63,80.55108
64,80.510345
65,80.46011
66,80.48038
67,80.5376
68,80.55978
69,80.54088
70,80.53403
71,80.55108
72,80.58461
73,80.62697
74,80.63918
75,80.59671
76,80.52657
77,80.481125
78,80.49209
79,80.49977
80,80.49561
81,80.51056
82,80.52421
83,80.54109
84,80.56538
85,80.57593
86,80.53999
87,80.4772
88,80.38735
89,80.327515
90,80.30452
91,80.33893
92,80.42863
93,80.507126
94,80.505035
95,80.39712
96,80.28592
97,80.251076
98,80.2623
99,80.31158
100,80.35973
101,80.38527
102,80.40554
103,80.40638
104,80.419304
105,80.43397
106,80.43086
107,80.425
108,80.417625
109,80.42289
110,80.4518
111,80.47963
112,80.48027
113,80.45788
114,80.40664
115,80.3564
116,80.3218
117,80.3057
118,80.28638
119,80.25017
120,80.19719
121,80.11124
122,80.05843
123,80.06381
124,80.09918
125,80.123024
126,80.095024
127,80.05122
128,80.02094
129,80.014275
130,79.99263
131,79.97664
132,79.93787
133,79.87908
134,79.82655
135,79.82496
136,79.86991
137,79.909676
138,79.8755
139,79.78078
140,79.65102
141,79.536476
142,79.520645
143,79.56962
144,79.6373
145,79.67142
146,79.61821
147,79.55517
148,79.501465
149,79.530045
150,79.62283
151,79.70983
152,79.70769
153,79.60071
154,79.4521
155,79.32279
156,79.31008
157,79.3923
158,79.4552
159,79.420906
160,79.325584
161,79.20042
162,79.10533
163,79.1174
164,79.254906
165,79.39466
166,79.469635
167,79.4303
168,79.3836
169,79.386246
170,79.42462
171,79.4461
172,79.428635
173,79.31923
174,79.204704
175,79.14543
176,79.17527
177,79.243
178,79.3036
179,79.31331
180,79.24445
181,79.20698
182,79.19008
183,79.224205
184,79.32458
185,79.39822
186,79.36733
187,79.24056
188,79.130356
189,79.07374
190,79.02129
191,79.01752
192,79.04386
193,79.06089
194,79.033104
195,78.986435
196,78.9622
197,78.97719
198,79.00651
199,79.00427
200,78.977516
201,78.92503
202,78.88808
203,78.892296
204,78.97996
205,79.06409
206,79.08067
207,79.01405
208,78.937935
209,78.9426
210,78.96873
211,78.96752
212,78.95366
213,78.938705
214,78.93468
215,78.93639
216,78.935905
217,78.97184
218,79.012665
219,79.05126
220,79.007256
221,78.933304
222,78.882
223,78.852394
224,78.86542
225,78.88253
226,78.90123
227,78.947464
228,79.01237
229,79.07532
230,79.14011
231,79.1723
232,79.12091
233,79.02694
234,78.99033
235,79.028076
236,79.07836
237,79.12477
238,79.164474
239,79.15793
240,79.10682
241,79.03853
242,79.000015
243,78.98107
244,78.94984
245,78.9325
246,78.904335
247,78.89543
248,78.91633
249,78.91513
250,78.976
251,79.03972
252,79.07797
253,79.0856
254,79.077774
255,79.10444
256,79.23438
257,79.194244
258,79.142265
259,79.08224
260,79.01659
261,78.936905
262,78.866394
263,78.88322
264,78.900375
265,78.93047
266,78.979385
267,78.98236
268,78.90731
269,78.793495
270,78.74521
271,78.75804
272,78.816536
273,78.85718
274,78.8639
275,78.86306
276,78.849365
277,78.860435
278,78.87589
279,78.84545
280,78.79484
281,78.75093
282,78.680786
283,78.6454
284,78.6425
285,78.640015
286,78.65436
287,78.68852
288,78.717255
289,78.71014
290,78.68288
291,78.64214
292,78.5932
293,78.572136
294,78.54764
295,78.52956
296,78.53
297,78.518364
298,78.505936
299,78.4761
300,78.440094
301,78.43497
302,78.455154
303,78.52004
304,78.578636
305,78.5607
306,78.4941
307,78.41239
308,78.35204
309,78.33101
310,78.370224
311,78.41745
312,78.42256
313,78.3913
314,78.310104
315,78.23258
316,78.18331
317,78.13422
318,78.10737
319,78.123085
320,78.14314
321,78.166176
322,78.217865
323,78.27402
324,78.25782
325,78.189125
326,78.15272
327,78.17301
328,78.242584
329,78.33484
330,78.36077
331,78.318954
332,78.235275
333,78.18076
334,78.18446
335,78.20409
336,78.24002
337,78.292404
338,78.3355
339,78.37385
340,78.42956
341,78.45831
342,78.40471
343,78.30194
344,78.189476
345,78.11281
346,78.09272
347,78.139946
348,78.24616
349,78.32754
350,78.29129
351,78.17836
352,78.128136
353,78.14133
354,78.171074
355,78.183586
356,78.19297
357,78.19208
358,78.20752
359,78.248566
360,78.31879
361,78.3529
362,78.31369
363,78.253624
364,78.190796
365,78.16551
366,78.20749
367,78.27264
368,78.32055
369,78.32112
370,78.26793
371,78.19917
372,78.1458
373,78.13801
374,78.12786
375,78.08514
376,78.03122
377,77.954834
378,77.91083
379,77.93781
380,77.983315
381,77.984436
382,77.92262
383,77.83649
384,77.788445
385,77.7835
386,77.79977
387,77.8356
388,77.84399
389,77.80463
390,77.76948
391,77.77745
392,77.84081
393,77.89389
394,77.88288
395,77.8111
396,77.70079
397,77.59073
398,77.56768
399,77.61359
400,77.69246
401,77.74184
402,77.726326
403,77.69591
404,77.66472
405,77.69317
406,77.76239
407,77.825485
408,77.834564
409,77.78266
410,77.7133
411,77.64879
412,77.65219
413,77.70433
414,77.72088
415,77.69239
416,77.64365
417,77.57986
418,77.537094
419,77.562294
420,77.65639
421,77.740814
422,77.78105
423,77.76578
424,77.760994
425,77.79502
426,77.84426
427,77.87482
428,77.88272
429,77.82408
430,77.75164
431,77.697685
432,77.71056
433,77.76456
434,77.81305
435,77.840645
436,77.81649
437,77.79374
438,77.753845
439,77.7345
440,77.77465
441,77.82977
442,77.848915
443,77.81654
444,77.77681
445,77.741585
446,77.67361
447,77.62091
448,77.59389
449,77.58676
450,77.55763
451,77.523834
452,77.52339
453,77.53837
454,77.573456
455,77.56647
456,77.530624
457,77.44772
458,77.37356
459,77.315735
460,77.340675
461,77.375854
462,77.37918
463,77.3244
464,77.2503
465,77.22261
466,77.209236
467,77.177826
468,77.13463
469,77.10885
470,77.08925
471,77.070724
472,77.04463
473,77.04958
474,77.07173
475,77.10025
476,77.06714
477,76.9992
478,76.94498
479,76.91804
480,76.94216
481,76.982666
482,77.01419
483,77.06071
484,77.11197
485,77.13023
486,77.13387
487,77.11339
488,77.036514
489,76.95711
490,76.92435
491,76.94796
492,76.97702
493,76.995834
494,77.003716
495,76.956314
496,76.86815
497,76.786865
498,76.75397
499,76.725914
500,76.68514
501,76.649734
502,76.5973
503,76.580444
504,76.57297
505,76.562744
506,76.580246
507,76.60823
508,76.59329
509,76.55942
510,76.53247
511,76.574394
512,76.77352
513,76.69147
514,76.58818
515,76.50811
516,76.43038
517,76.369965
518,76.31704
519,76.31422
520,76.328514
521,76.34832
522,76.361496
523,76.32635
524,76.26482
525,76.16313
526,76.09466
527,76.066635
528,76.09287
529,76.129295
530,76.12664
531,76.102036
532,76.0874
533,76.09482
534,76.09116
535,76.069786
536,76.03189
537,75.9756
538,75.90361
539,75.85096
540,75.8288
541,75.827415
542,75.84078
543,75.85642
544,75.84708
545,75.839264
546,75.79909
547,75.74219
548,75.69798
549,75.68033
550,75.65826
551,75.64437
552,75.65285
553,75.65637
554,75.651306
555,75.627106
556,75.60906
557,75.61409
558,75.630356
559,75.6771
560,75.724815
561,75.71956
562,75.686905
563,75.62802
564,75.59786
565,75.60907
566,75.64323
567,75.6639
568,75.66716
569,75.63355
570,75.55078
571,75.47575
572,75.43733
573,75.3962
574,75.3703
575,75.38054
576,75.41583
577,75.468124
578,75.51744
579,75.55475
580,75.540405
581,75.46613
582,75.43562
583,75.46072
584,75.52878
585,75.6053
586,75.604416
587,75.53708
588,75.45686
589,75.42524
590,75.46643
591,75.50332
592,75.53457
593,75.590416
594,75.62474
595,75.64343
596,75.69562
597,75.70867
598,75.649765
599,75.54422
600,75.452156
601,75.40094
602,75.40492
603,75.45827
604,75.56583
605,75.634476
606,75.599495
607,75.48941
608,75.42673
609,75.458115
