,0
0,81.77909
1,81.7112
2,81.61831
3,81.53952
4,81.50962
5,81.52971
6,81.56429
7,81.56499
8,81.54315
9,81.5007
10,81.46938
11,81.45489
12,81.47342
13,81.51457
14,81.6192
15,81.70269
16,81.74897
17,81.74022
18,81.66024
19,81.596214
20,81.58554
21,81.61155
22,81.61661
23,81.59588
24,81.60233
25,81.59626
26,81.49428
27,81.40134
28,81.30944
29,81.25352
30,81.24338
31,81.2507
32,81.25816
33,81.2583
34,81.29101
35,81.35268
36,81.388336
37,81.38693
38,81.349266
39,81.29437
40,81.260284
41,81.27234
42,81.29246
43,81.295364
44,81.26112
45,81.266205
46,81.24797
47,81.18537
48,81.12894
49,81.09384
50,81.11215
51,81.182396
52,81.263664
53,81.30162
54,81.32302
55,81.30767
56,81.23631
57,81.206825
58,81.22908
59,81.26907
60,81.33298
61,81.396164
62,81.40644
63,81.36325
64,81.33152
65,81.29349
66,81.249
67,81.27128
68,81.30174
69,81.28457
70,81.26931
71,81.2731
72,81.31239
73,81.323235
74,81.31401
75,81.30718
76,81.3174
77,81.34408
78,81.34446
79,81.406494
80,81.502365
81,81.53035
82,81.47907
83,81.350006
84,81.220276
85,81.144554
86,81.135254
87,81.17756
88,81.21982
89,81.21532
90,81.18549
91,81.13174
92,81.126335
93,81.15218
94,81.18282
95,81.145905
96,81.051575
97,80.94531
98,80.880165
99,80.84006
100,80.85972
101,80.93869
102,81.029366
103,81.05359
104,81.035805
105,80.95169
106,80.84225
107,80.740524
108,80.7481
109,80.80766
110,80.88168
111,80.91414
112,80.92932
113,80.898544
114,80.83938
115,80.802
116,80.81664
117,80.85498
118,80.87821
119,80.89751
120,80.90007
121,80.87404
122,80.873146
123,80.87683
124,80.914314
125,80.92895
126,80.91101
127,80.8633
128,80.78595
129,80.69775
130,80.622696
131,80.56099
132,80.479324
133,80.396454
134,80.34832
135,80.3545
136,80.380516
137,80.40916
138,80.41617
139,80.42553
140,80.41718
141,80.37002
142,80.31205
143,80.24036
144,80.17703
145,80.120735
146,80.083916
147,80.10398
148,80.14374
149,80.13127
150,80.051025
151,79.94879
152,79.8816
153,79.86226
154,79.88849
155,79.9388
156,79.95114
157,79.90674
158,79.86116
159,79.86181
160,79.82314
161,79.795616
162,79.78782
163,79.76224
164,79.721085
165,79.64704
166,79.594086
167,79.53814
168,79.46156
169,79.38405
170,79.35771
171,79.28844
172,79.22668
