,0
0,80.451706
1,80.47749
2,80.536644
3,80.56076
4,80.53607
5,80.532036
6,80.52191
7,80.48946
8,80.48577
9,80.480354
10,80.43834
11,80.45253
12,80.47911
13,80.49657
14,80.48969
15,80.47726
16,80.48793
17,80.47983
18,80.45903
19,80.483
20,80.50141
21,80.509735
22,80.51487
23,80.48561
24,80.46853
25,80.47431
26,80.454865
27,80.44208
28,80.43332
29,80.423904
30,80.45549
31,80.489845
32,80.51093
33,80.48535
34,80.44655
35,80.43667
36,80.44074
37,80.46869
38,80.49198
39,80.50667
40,80.48398
41,80.45557
42,80.43064
43,80.435555
44,80.48127
45,80.55673
46,80.58758
47,80.549736
48,80.52495
49,80.49874
50,80.45801
51,80.45132
52,80.48425
53,80.514084
54,80.52372
55,80.512695
56,80.517815
57,80.51537
58,80.4974
59,80.48215
60,80.48918
61,80.51843
62,80.531815
63,80.53855
64,80.53087
65,80.52699
66,80.54412
67,80.486664
68,80.49864
69,80.510216
70,80.47319
71,80.473625
72,80.48234
73,80.50888
74,80.50671
75,80.49178
76,80.47217
77,80.50101
78,80.50763
79,80.50857
80,80.507034
81,80.49362
82,80.47576
83,80.46205
84,80.45262
85,80.45534
86,80.45017
87,80.47568
88,80.47863
89,80.48007
90,80.47957
91,80.465935
92,80.4797
93,80.44304
94,80.410805
95,80.43037
96,80.456276
97,80.47303
98,80.4901
99,80.493576
100,80.48069
101,80.47386
102,80.43581
103,80.392296
104,80.387794
105,80.380295
106,80.3193
107,80.30142
108,80.30396
109,80.37573
110,80.37804
111,80.35631
112,80.38033
113,80.35585
114,80.29359
115,80.25232
116,80.210434
117,80.17295
118,80.20011
119,80.3088
120,80.32561
121,80.30135
122,80.277756
123,80.234665
124,80.18779
125,80.20528
126,80.203186
127,80.23019
128,80.25364
129,80.24478
130,80.232315
131,80.23639
132,80.25158
133,80.1978
134,80.141914
135,80.096466
136,79.992966
137,79.92673
138,79.99777
139,80.04708
140,80.0586
141,80.02225
142,79.928444
143,79.81694
144,79.79428
145,79.81199
146,79.89378
147,79.970184
148,80.004166
149,79.9834
150,80.00007
151,79.993286
152,79.99079
153,79.94872
154,79.93543
155,79.90465
156,79.81879
157,79.77816
158,79.73562
159,79.64084
160,79.59798
161,79.60801
162,79.688385
163,79.715706
164,79.726814
165,79.736305
166,79.67131
167,79.629616
168,79.55848
169,79.60526
170,79.548904
171,79.52803
172,79.55828
173,79.48924
174,79.4816
175,79.49796
176,79.43192
177,79.42854
178,79.461945
179,79.62213
180,79.70428
181,79.71719
182,79.71063
183,79.57864
184,79.59365
185,79.52908
186,79.445274
187,79.35782
188,79.291985
189,79.321556
190,79.33694
191,79.41023
192,79.45465
193,79.39426
194,79.391266
195,79.40272
196,79.452965
197,79.54175
198,79.512856
199,79.44905
200,79.344604
201,79.31171
202,79.4212
203,79.45918
204,79.38243
205,79.43056
206,79.391556
207,79.49704
208,79.53423
209,79.48774
210,79.52493
211,79.50904
212,79.51415
213,79.60227
214,79.598595
215,79.56883
216,79.57716
217,79.465164
218,79.28141
219,79.38612
220,79.479996
221,79.55211
222,79.60431
223,79.60754
224,79.519554
225,79.467094
226,79.457535
227,79.50157
228,79.54438
229,79.50769
230,79.506096
231,79.6262
232,79.685715
233,79.70086
234,79.66418
235,79.67349
236,79.65693
237,79.547195
238,79.41576
239,79.34947
240,79.34958
