,0
0,80.459045
1,80.3442
2,80.339195
3,80.39718
4,80.43804
5,80.44998
6,80.401726
7,80.3669
8,80.34111
9,80.349106
10,80.3698
11,80.36833
12,80.37656
13,80.35321
14,80.33868
15,80.34443
16,80.37278
17,80.39306
18,80.391235
19,80.4029
20,80.384674
21,80.34015
22,80.290955
23,80.24125
24,80.172226
25,80.16624
26,80.223816
27,80.300064
28,80.35657
29,80.38365
30,80.31877
31,80.26628
32,80.3032
33,80.27274
34,80.2836
35,80.277214
36,80.22943
37,80.24008
38,80.29141
39,80.36005
40,80.40092
41,80.40314
42,80.39611
43,80.36229
44,80.30969
45,80.22618
46,80.17581
47,80.13791
48,80.125465
49,80.16807
50,80.21478
51,80.23597
52,80.25891
53,80.26658
54,80.20256
55,80.14508
56,80.13913
57,80.160645
58,80.20255
59,80.26973
60,80.278336
61,80.20285
62,80.15823
63,80.14543
64,80.12618
65,80.078186
66,80.03135
67,79.96672
68,79.94935
69,79.9663
70,79.989525
71,80.00706
72,80.008705
73,79.983665
74,79.96932
75,79.94267
76,79.87701
77,79.8408
78,79.826645
79,79.8567
80,79.9128
81,79.937965
82,79.91269
83,79.86498
84,79.862656
85,79.89137
86,79.89897
87,79.90275
88,79.87627
89,79.88142
90,79.90291
91,79.93395
92,79.97937
93,79.97928
94,79.97611
95,79.99162
96,80.00927
97,79.99765
98,79.962746
99,79.9496
100,79.94929
101,79.940384
102,79.94966
103,79.95485
104,79.98017
105,79.9874
106,79.95165
107,79.93115
108,79.917175
109,79.92903
110,79.90779
111,79.87001
112,79.8173
113,79.8041
114,79.81998
115,79.86212
116,79.89691
117,79.89496
118,79.84035
119,79.79312
120,79.73178
121,79.70758
122,79.722466
123,79.71398
124,79.70148
125,79.67666
126,79.65791
127,79.67264
128,79.625595
129,79.558685
130,79.52949
131,79.52552
132,79.523476
133,79.50069
134,79.49334
135,79.55535
136,79.594284
137,79.58354
138,79.516594
139,79.51119
140,79.49147
141,79.50903
142,79.49788
143,79.438736
144,79.43842
145,79.49484
146,79.476585
147,79.424355
148,79.33913
149,79.26206
150,79.24702
151,79.26954
152,79.26866
153,79.266754
154,79.21465
155,79.140305
156,79.05623
157,79.034164
158,79.02111
159,79.023865
160,79.05689
161,79.07594
162,79.00549
163,79.041664
164,79.13017
165,79.177475
166,79.1579
167,79.12952
168,79.04748
169,78.982895
170,78.97136
171,78.9679
172,78.962234
173,78.95476
174,78.96552
175,78.99154
176,78.977844
177,78.95478
178,78.979904
179,79.00092
180,79.00903
181,78.9733
182,78.92718
183,78.88369
184,78.896545
185,78.96565
186,79.05376
187,79.0702
188,78.998764
189,78.92394
190,78.85959
191,78.891846
192,78.91826
193,78.88044
194,78.84273
195,78.7942
196,78.80559
197,78.86591
198,78.88949
199,78.9022
200,78.94299
201,78.935074
202,78.92158
203,78.88884
204,78.80582
205,78.71824
206,78.68558
207,78.74084
208,78.82522
209,78.813774
210,78.77624
211,78.78897
212,78.756546
213,78.75813
214,78.80278
215,78.86105
216,78.895454
217,78.94963
218,79.002205
219,78.978424
220,78.915665
221,78.90298
222,78.85912
223,78.843994
224,78.83536
225,78.839424
226,78.79928
227,78.744286
228,78.736855
229,78.768936
230,78.81929
231,78.82263
232,78.836105
233,78.847206
234,78.85608
235,78.83475
236,78.78744
237,78.74749
238,78.68032
239,78.65686
240,78.68485
241,78.723724
242,78.7503
243,78.7757
244,78.78598
245,78.79611
246,78.83852
247,78.90149
248,78.934105
249,78.90142
250,78.821045
251,78.77649
252,78.755806
253,78.74262
254,78.72922
255,78.760666
256,78.79429
257,78.694214
258,78.662636
259,78.6937
260,78.73055
261,78.760574
262,78.71722
263,78.67259
264,78.63737
265,78.63933
266,78.66652
267,78.67306
268,78.69193
269,78.670746
270,78.653915
271,78.65499
272,78.67722
273,78.68921
274,78.66379
275,78.64578
276,78.611664
277,78.587814
278,78.555595
279,78.49747
280,78.423294
281,78.42729
282,78.49499
283,78.5502
284,78.57311
285,78.58354
286,78.535034
287,78.46774
288,78.46675
289,78.40307
290,78.39415
291,78.403275
292,78.37833
293,78.39001
294,78.402824
295,78.42452
296,78.43347
297,78.42803
298,78.43249
299,78.4025
300,78.36057
301,78.25728
302,78.167366
303,78.10478
304,78.083374
305,78.11319
306,78.175575
307,78.204315
308,78.19939
309,78.18519
310,78.13861
311,78.08496
312,78.106834
313,78.13177
314,78.14952
315,78.19116
316,78.19631
317,78.12862
318,78.10701
319,78.11509
320,78.12175
321,78.09735
322,78.05518
323,78.0048
324,77.97734
325,78.00228
326,78.03045
327,78.07592
328,78.11047
329,78.120544
330,78.11202
331,78.078674
332,78.01743
333,77.98411
334,77.983826
335,78.02144
336,78.09178
337,78.11969
338,78.08518
339,78.021935
340,78.0276
341,78.06427
342,78.08374
343,78.09038
344,78.083244
345,78.11792
346,78.141884
347,78.15768
348,78.18862
349,78.18883
350,78.173134
351,78.18567
352,78.1932
353,78.17415
354,78.15442
355,78.16222
356,78.1519
357,78.119484
358,78.118195
359,78.13614
360,78.16364
361,78.149956
362,78.10789
363,78.09163
364,78.07471
365,78.09065
366,78.05937
367,78.045364
368,78.00241
369,78.01928
370,78.041275
371,78.05147
372,78.06917
373,78.06398
374,78.025185
375,77.98983
376,77.92011
377,77.88297
378,77.89599
379,77.91257
380,77.91607
381,77.910805
382,77.898415
383,77.88827
384,77.84381
385,77.78371
386,77.76916
387,77.7636
388,77.751335
389,77.73961
390,77.76149
391,77.82469
392,77.88482
393,77.888176
394,77.84854
395,77.850624
396,77.830894
397,77.84635
398,77.856186
399,77.82554
400,77.83414
401,77.89243
402,77.867676
403,77.83662
404,77.75912
405,77.69808
406,77.71184
407,77.75282
408,77.764755
409,77.769485
410,77.74697
411,77.69002
412,77.63054
413,77.62519
414,77.61296
415,77.600204
416,77.63327
417,77.67826
418,77.63887
419,77.68896
420,77.78291
421,77.83443
422,77.82293
423,77.8074
424,77.75488
425,77.69948
426,77.69533
427,77.67484
428,77.66843
429,77.653404
430,77.681564
431,77.730644
432,77.730705
433,77.72048
434,77.75717
435,77.767555
436,77.75281
437,77.720406
438,77.66847
439,77.625725
440,77.6311
441,77.70278
442,77.76957
443,77.7658
444,77.7079
445,77.64218
446,77.56402
447,77.58212
448,77.60592
449,77.563354
450,77.506546
451,77.46538
452,77.48824
453,77.52783
454,77.521774
455,77.48336
456,77.46747
457,77.43292
458,77.40665
459,77.369354
460,77.27583
461,77.16548
462,77.11082
463,77.15648
464,77.21757
465,77.189285
466,77.14376
467,77.16896
468,77.133575
469,77.11248
470,77.12937
471,77.14516
472,77.166084
473,77.21575
474,77.27706
475,77.24962
476,77.166756
477,77.11197
478,77.048225
479,77.021454
480,77.004486
481,77.01591
482,76.94448
483,76.88361
484,76.87687
485,76.90532
486,76.936775
487,76.93303
488,76.938416
489,76.91945
490,76.90045
491,76.839745
492,76.76169
493,76.71979
494,76.6442
495,76.61162
496,76.62899
497,76.646355
498,76.65698
499,76.66135
500,76.667496
501,76.67327
502,76.68625
503,76.732925
504,76.75174
505,76.67461
506,76.57717
507,76.52848
508,76.50777
509,76.4893
510,76.43163
511,76.44358
512,76.51863
513,76.41365
514,76.377396
