,0
0,80.62332
1,80.50546
2,80.49992
3,80.556725
4,80.59463
5,80.60397
6,80.55261
7,80.51719
8,80.491516
9,80.50262
10,80.521774
11,80.516495
12,80.52156
13,80.49483
14,80.47634
15,80.47591
16,80.49824
17,80.511185
18,80.504616
19,80.511696
20,80.490555
21,80.43758
22,80.37965
23,80.322685
24,80.247185
25,80.23552
26,80.28853
27,80.358894
28,80.40878
29,80.42787
30,80.355255
31,80.29431
32,80.32479
33,80.288704
34,80.294205
35,80.28227
36,80.22908
37,80.23387
38,80.27847
39,80.33952
40,80.37209
41,80.36658
42,80.35315
43,80.31438
44,80.25847
45,80.17212
46,80.11962
47,80.083496
48,80.07499
49,80.12257
50,80.17522
51,80.20255
52,80.23174
53,80.24674
54,80.19134
55,80.14367
56,80.14894
57,80.182755
58,80.239105
59,80.323555
60,80.35062
61,80.291885
62,80.26483
63,80.2674
64,80.261696
65,80.22605
66,80.192856
67,80.138885
68,80.13325
69,80.16562
70,80.20043
71,80.22528
72,80.235756
73,80.21629
74,80.21274
75,80.196266
76,80.140274
77,80.11429
78,80.10505
79,80.144745
80,80.20194
81,80.23129
82,80.21246
83,80.17078
84,80.1723
85,80.2026
86,80.21165
87,80.215416
88,80.1857
89,80.186554
90,80.21115
91,80.243515
92,80.29018
93,80.29141
94,80.28015
95,80.29271
96,80.31035
97,80.28846
98,80.24347
99,80.22317
100,80.21176
101,80.19691
102,80.1971
103,80.194084
104,80.21544
105,80.21576
106,80.17731
107,80.152115
108,80.13263
109,80.14526
110,80.11954
111,80.078445
112,80.02712
113,80.01751
114,80.04365
115,80.10065
116,80.14709
117,80.15613
118,80.11255
119,80.07278
120,80.02026
121,80.0011
122,80.01169
123,79.999725
124,79.98244
125,79.9463
126,79.91836
127,79.920685
128,79.86243
129,79.77452
130,79.7281
131,79.70061
132,79.6764
133,79.630554
134,79.60161
135,79.63618
136,79.65051
137,79.61798
138,79.53047
139,79.507454
140,79.47158
141,79.47476
142,79.45171
143,79.38173
144,79.369835
145,79.416626
146,79.38948
147,79.32959
148,79.23613
149,79.15286
150,79.13225
151,79.14663
152,79.135
153,79.12057
154,79.05549
155,78.96864
156,78.87041
157,78.83406
158,78.807724
159,78.79054
160,78.80864
161,78.813126
162,78.728645
163,78.74873
164,78.82018
165,78.84822
166,78.81152
167,78.768166
168,78.67776
169,78.59912
170,78.569214
171,78.54659
172,78.53048
173,78.5041
174,78.50398
175,78.52231
176,78.498955
177,78.462135
178,78.47705
179,78.476585
180,78.46902
181,78.42854
182,78.368576
183,78.31629
184,78.31838
185,78.37348
186,78.44404
187,78.43957
188,78.37108
189,78.29405
190,78.22036
191,78.24275
192,78.26606
193,78.223465
194,78.174484
195,78.1343
196,78.150345
197,78.198685
198,78.20302
199,78.18608
200,78.19283
201,78.16455
202,78.1405
203,78.096176
204,77.9935
205,77.8824
206,77.82536
207,77.86629
208,77.92522
209,77.88922
210,77.837685
211,77.84768
212,77.7951
213,77.77032
214,77.7835
215,77.81204
216,77.82601
217,77.86886
218,77.91832
219,77.8828
220,77.79857
221,77.74942
222,77.69042
223,77.6693
224,77.65567
225,77.661255
226,77.6023
227,77.54297
228,77.54206
229,77.57551
230,77.624435
231,77.63414
232,77.65192
233,77.652855
234,77.65077
235,77.61991
236,77.56377
237,77.53009
238,77.47725
239,77.45662
240,77.49675
241,77.5362
242,77.57173
243,77.60025
244,77.62886
245,77.65752
246,77.70966
247,77.78573
248,77.83004
249,77.783104
250,77.72444
251,77.69995
252,77.69413
253,77.69179
254,77.67692
255,77.716644
256,77.795395
257,77.716255
258,77.69247
259,77.72867
260,77.75663
261,77.79453
262,77.76576
263,77.72989
264,77.69598
265,77.70997
266,77.75248
267,77.774216
268,77.79966
269,77.78501
270,77.769035
271,77.78556
272,77.816246
273,77.8386
274,77.81031
275,77.7916
276,77.76258
277,77.75451
278,77.73274
279,77.67936
280,77.607254
281,77.61637
282,77.6782
283,77.72482
284,77.74786
285,77.76304
286,77.696434
287,77.60684
288,77.597374
289,77.51607
290,77.48066
291,77.477066
292,77.453514
293,77.46707
294,77.46308
295,77.46963
296,77.460205
297,77.442856
298,77.44033
299,77.40336
300,77.354744
301,77.25076
302,77.15539
303,77.091774
304,77.07353
305,77.104515
306,77.1526
307,77.1794
308,77.1738
309,77.171776
310,77.14412
311,77.0787
312,77.10449
313,77.131516
314,77.14757
315,77.20015
316,77.20582
317,77.15178
318,77.13724
319,77.16348
320,77.19697
321,77.18488
322,77.15028
323,77.102776
324,77.08464
325,77.12679
326,77.16529
327,77.22266
328,77.27461
329,77.29297
330,77.28767
331,77.2425
332,77.173065
333,77.134285
334,77.11167
335,77.13632
336,77.19254
337,77.20068
338,77.13163
339,77.04171
340,77.02802
341,77.03998
342,77.03872
343,77.038635
344,77.022026
345,77.061775
346,77.08001
347,77.08014
348,77.09429
349,77.074776
350,77.050415
351,77.061066
352,77.08028
353,77.06444
354,77.058105
355,77.0686
356,77.0524
357,77.01636
358,77.02647
359,77.06076
360,77.095634
361,77.100815
362,77.08395
363,77.07886
364,77.066826
365,77.08113
366,77.076004
367,77.07791
368,77.05594
369,77.0881
370,77.132095
371,77.151924
372,77.17775
373,77.18452
374,77.16696
375,77.13612
376,77.059296
377,77.01758
378,77.04156
379,77.06313
380,77.058304
381,77.044846
382,77.02186
383,76.998055
384,76.93112
385,76.85077
386,76.816185
387,76.79262
388,76.74744
389,76.71241
390,76.71251
391,76.75034
392,76.7846
393,76.76184
394,76.69934
395,76.68121
396,76.64574
397,76.63626
398,76.612236
399,76.54979
400,76.52854
401,76.56981
402,76.54339
403,76.499084
404,76.42533
405,76.37663
406,76.39148
407,76.42649
408,76.43062
409,76.42665
410,76.4026
411,76.35405
412,76.292885
413,76.266815
414,76.24689
415,76.24004
416,76.266495
417,76.30245
418,76.275314
419,76.33608
420,76.426056
421,76.47618
422,76.46354
423,76.46621
424,76.43205
425,76.393654
426,76.391594
427,76.36542
428,76.34711
429,76.3301
430,76.352005
431,76.41653
432,76.43821
433,76.45553
434,76.5113
435,76.533875
436,76.51838
437,76.47334
438,76.42268
439,76.39352
440,76.42197
441,76.49972
442,76.56553
443,76.57727
444,76.52129
445,76.476204
446,76.41
447,76.41939
448,76.45994
449,76.42824
450,76.37308
451,76.33607
452,76.37814
453,76.4322
454,76.41316
455,76.36798
456,76.3551
457,76.32684
458,76.30609
459,76.28162
460,76.20577
461,76.10546
462,76.0591
463,76.117744
464,76.18033
465,76.158
466,76.10716
467,76.1387
468,76.1207
469,76.10282
470,76.1145
471,76.13513
472,76.166466
473,76.234665
474,76.30683
475,76.3
476,76.22809
477,76.18283
478,76.12035
479,76.11001
480,76.112305
481,76.14951
482,76.09752
483,76.06484
484,76.084305
485,76.14194
486,76.192924
487,76.20438
488,76.2255
489,76.227165
490,76.21955
491,76.17093
492,76.10847
493,76.08815
494,76.02975
495,76.01109
496,76.038315
497,76.06825
498,76.081245
499,76.089264
500,76.10483
501,76.12315
502,76.1429
503,76.19289
504,76.219086
505,76.145226
506,76.05056
507,76.01739
508,76.00544
509,76.0002
510,75.95215
511,75.97831
512,76.06473
513,75.97348
514,75.95167
515,75.97133
516,75.97981
517,75.97368
518,75.94506
519,75.90424
520,75.85703
521,75.86012
522,75.91338
523,75.94421
524,75.94749
525,75.906525
526,75.86634
527,75.863754
528,75.88862
529,75.891716
530,75.850815
531,75.8149
532,75.78711
533,75.775185
534,75.76483
535,75.71672
536,75.6616
537,75.70231
538,75.788635
539,75.83696
540,75.86722
541,75.88322
542,75.83029
543,75.771614
544,75.796455
545,75.72864
546,75.69787
547,75.73447
548,75.74409
549,75.78208
550,75.79675
551,75.83172
552,75.848114
553,75.84749
554,75.86192
555,75.8529
556,75.81527
557,75.73098
558,75.654205
559,75.59987
560,75.611145
561,75.671295
562,75.72793
563,75.764336
564,75.776855
565,75.79828
566,75.77199
567,75.704254
568,75.71596
569,75.75016
570,75.77174
571,75.81625
572,75.79923
573,75.734215
574,75.71427
575,75.738
576,75.755196
577,75.725395
578,75.68045
579,75.58828
580,75.53942
581,75.5717
582,75.59564
583,75.637924
584,75.67933
585,75.6784
586,75.65534
587,75.57787
588,75.48929
589,75.45122
590,75.41907
591,75.44518
592,75.51101
593,75.53897
594,75.471954
595,75.380714
596,75.39519
597,75.41927
598,75.41971
599,75.449
600,75.47524
601,75.52787
602,75.57047
603,75.565475
604,75.59867
605,75.59348
606,75.58799
607,75.614494
608,75.63669
609,75.64425
610,75.654594
611,75.65594
612,75.62529
613,75.57119
614,75.57557
615,75.60553
616,75.63762
617,75.64681
618,75.623695
619,75.62421
620,75.60656
621,75.59729
622,75.578705
623,75.57656
624,75.549164
625,75.57963
626,75.63298
627,75.64422
628,75.65423
629,75.652664
630,75.632774
631,75.58524
632,75.48947
633,75.44828
634,75.47805
635,75.51966
636,75.50462
637,75.47737
638,75.46545
639,75.46285
640,75.40675
641,75.35251
642,75.34794
643,75.34717
644,75.32354
645,75.31056
646,75.34707
647,75.40962
648,75.47798
649,75.479324
650,75.44021
651,75.45058
652,75.43674
653,75.43486
654,75.40194
655,75.34348
656,75.33742
657,75.37776
658,75.35719
659,75.31836
660,75.25228
661,75.21363
662,75.23347
663,75.25393
664,75.24214
665,75.211754
666,75.17127
667,75.11774
668,75.04866
669,75.0195
670,74.98672
671,74.969475
672,74.99267
673,75.02464
674,74.97887
675,75.02676
676,75.10917
677,75.14752
678,75.13052
679,75.13908
680,75.104324
681,75.07074
682,75.057
683,75.01855
684,74.9707
685,74.92976
686,74.93422
687,74.99513
688,75.02267
689,75.049675
690,75.10941
691,75.13681
692,75.10677
693,75.047485
694,75.00247
695,74.97341
696,74.9837
697,75.046524
698,75.10091
699,75.09294
700,75.03459
701,74.97554
702,74.89485
703,74.89181
704,74.936844
705,74.910995
706,74.84329
707,74.799355
708,74.844154
709,74.9021
710,74.87752
711,74.81174
712,74.78474
713,74.764404
714,74.75382
715,74.72525
716,74.65949
717,74.58293
718,74.54818
719,74.613434
720,74.68337
721,74.65586
722,74.5983
723,74.61333
724,74.5822
725,74.556076
726,74.56325
727,74.55696
728,74.5759
729,74.63647
730,74.69842
731,74.68415
732,74.603386
733,74.53614
734,74.44325
735,74.432076
736,74.4473
737,74.46686
738,74.39835
739,74.34998
740,74.3444
741,74.39667
742,74.44142
743,74.44275
744,74.45134
745,74.438965
746,74.437805
747,74.367615
748,74.29894
749,74.278175
750,74.253876
751,74.25351
752,74.283356
753,74.31144
754,74.315834
755,74.32945
756,74.363
757,74.39282
758,74.4199
759,74.4603
760,74.48985
761,74.42145
762,74.33587
763,74.31766
764,74.31888
765,74.32587
766,74.29031
767,74.32193
768,74.43137
769,74.34848
770,74.33972
771,74.35183
772,74.34556
773,74.315125
774,74.27967
775,74.24202
776,74.21182
777,74.20796
778,74.24911
779,74.26196
780,74.25992
781,74.20488
782,74.16967
783,74.16547
784,74.1761
785,74.16077
786,74.11254
787,74.09112
788,74.06512
789,74.06956
790,74.08325
791,74.04697
792,74.00986
793,74.06209
794,74.158005
795,74.19408
796,74.20031
797,74.18767
798,74.12953
799,74.07869
800,74.102356
801,74.02835
802,74.00632
803,74.03311
804,74.01794
805,74.04681
806,74.05447
807,74.06873
808,74.05746
809,74.04386
810,74.06086
811,74.04202
812,73.98059
813,73.904755
814,73.805695
815,73.75218
816,73.76217
817,73.8278
818,73.89467
819,73.92023
820,73.95139
821,73.97178
822,73.9366
823,73.87424
824,73.87071
825,73.894966
826,73.92038
827,73.953606
828,73.90698
829,73.853355
830,73.85475
831,73.89084
832,73.91135
833,73.88202
834,73.86417
835,73.786995
836,73.73724
837,73.76988
838,73.8116
839,73.87419
840,73.9283
841,73.94568
842,73.921005
843,73.840225
844,73.782684
845,73.76063
846,73.73563
847,73.75751
848,73.83092
849,73.87557
850,73.82793
851,73.74932
852,73.763916
853,73.779976
854,73.7731
855,73.78202
856,73.80125
857,73.84526
858,73.859924
859,73.82765
860,73.830635
861,73.81095
862,73.80542
863,73.84253
864,73.85398
865,73.86178
866,73.877914
867,73.884384
868,73.84981
869,73.77684
870,73.773125
871,73.8037
872,73.829865
873,73.84654
874,73.835495
875,73.840904
876,73.836395
877,73.82815
878,73.789246
879,73.780136
880,73.75145
881,73.80705
882,73.902885
883,73.91129
884,73.91143
885,73.91324
886,73.909195
887,73.8697
888,73.78972
889,73.7446
890,73.76602
891,73.8055
892,73.76789
893,73.71537
894,73.697365
895,73.684525
896,73.62609
897,73.55919
898,73.55954
899,73.5631
900,73.51974
901,73.50474
902,73.52774
903,73.56788
904,73.61876
905,73.603966
906,73.56404
907,73.57007
908,73.55903
909,73.56361
910,73.50833
911,73.425705
912,73.43679
913,73.47701
914,73.48005
915,73.46002
916,73.40768
917,73.395325
918,73.43967
919,73.47259
920,73.456665
921,73.42773
922,73.376816
923,73.35658
924,73.31434
925,73.307526
926,73.28372
927,73.271935
928,73.32264
929,73.35188
930,73.3028
931,73.34027
932,73.42159
933,73.46883
934,73.46095
935,73.489296
936,73.448395
937,73.41954
938,73.40556
939,73.35321
940,73.2995
941,73.223564
942,73.22887
943,73.30285
944,73.347786
945,73.379395
946,73.449295
947,73.47508
948,73.42853
949,73.38424
950,73.35138
951,73.33686
952,73.3575
953,73.43563
954,73.48541
955,73.50793
956,73.4725
957,73.427795
958,73.365166
959,73.37641
960,73.42514
961,73.421524
962,73.371284
963,73.35553
964,73.419655
965,73.49054
966,73.46908
967,73.4211
968,73.41521
969,73.393166
970,73.38925
971,73.37863
972,73.33929
973,73.27714
974,73.25159
975,73.30603
976,73.376144
977,73.35147
978,73.28539
979,73.27061
980,73.236496
981,73.19414
982,73.20529
983,73.19455
984,73.20143
985,73.252495
986,73.31044
987,73.302124
988,73.22765
989,73.172104
990,73.08526
991,73.07785
992,73.077354
993,73.08587
994,73.02232
995,72.96443
996,72.95535
997,73.01333
998,73.06687
999,73.07822
1000,73.09577
1001,73.07679
1002,73.08503
1003,73.02365
1004,72.94991
1005,72.93655
1006,72.93569
1007,72.941574
1008,72.9758
1009,73.00853
1010,73.01599
1011,73.0332
1012,73.075615
1013,73.11189
1014,73.14498
1015,73.17198
1016,73.190605
1017,73.13038
1018,73.05773
1019,73.03155
1020,73.02563
1021,73.03166
1022,72.99905
1023,73.03133
1024,73.15493
1025,73.080864
1026,73.08162
1027,73.07907
1028,73.05163
1029,73.01068
1030,72.9609
1031,72.92575
1032,72.90734
1033,72.90017
1034,72.93367
1035,72.93984
1036,72.94344
1037,72.87881
1038,72.84906
1039,72.84455
1040,72.853676
1041,72.82355
1042,72.762
1043,72.73608
1044,72.70986
1045,72.707466
1046,72.72452
1047,72.68264
1048,72.64128
1049,72.70399
1050,72.809586
1051,72.83741
1052,72.83271
1053,72.79385
1054,72.72857
1055,72.69148
1056,72.7098
1057,72.64717
1058,72.634735
1059,72.65288
1060,72.64238
1061,72.656006
1062,72.67544
1063,72.69451
1064,72.68919
1065,72.68302
1066,72.70856
1067,72.70118
1068,72.65509
1069,72.582924
1070,72.497314
1071,72.45722
1072,72.481316
1073,72.55437
1074,72.632835
1075,72.66575
1076,72.71178
1077,72.743546
1078,72.72236
1079,72.66799
1080,72.671425
1081,72.678734
1082,72.713
1083,72.740036
1084,72.69744
1085,72.65304
1086,72.66177
1087,72.69101
1088,72.714775
1089,72.68606
1090,72.672356
1091,72.59553
1092,72.53175
1093,72.54188
1094,72.56821
1095,72.62367
1096,72.66509
1097,72.68107
1098,72.6357
1099,72.56097
1100,72.5004
1101,72.484
1102,72.45422
1103,72.464645
1104,72.536224
1105,72.57732
1106,72.54492
1107,72.476944
1108,72.498634
1109,72.52151
1110,72.51428
1111,72.52934
1112,72.547195
1113,72.60568
1114,72.6277
1115,72.594925
1116,72.58323
1117,72.55659
1118,72.56979
1119,72.60217
1120,72.60813
1121,72.62908
1122,72.65925
1123,72.661644
1124,72.63494
1125,72.56024
1126,72.53478
1127,72.53836
1128,72.55175
1129,72.56642
1130,72.56176
1131,72.559105
1132,72.53692
1133,72.512566
1134,72.4595
1135,72.42416
1136,72.3848
1137,72.447044
1138,72.54656
1139,72.54807
1140,72.54154
1141,72.545334
1142,72.53023
1143,72.500435
1144,72.43083
1145,72.39677
1146,72.424484
1147,72.46431
1148,72.43498
1149,72.394585
1150,72.39182
1151,72.388695
1152,72.35837
1153,72.31948
1154,72.32817
1155,72.37168
1156,72.35347
1157,72.33424
1158,72.35817
1159,72.404015
1160,72.46296
1161,72.458
1162,72.43803
1163,72.44762
1164,72.43683
1165,72.44416
1166,72.384445
1167,72.3075
1168,72.32586
1169,72.37639
1170,72.37532
1171,72.355736
1172,72.32134
1173,72.32339
1174,72.36281
1175,72.38415
1176,72.367874
1177,72.34004
1178,72.29204
1179,72.25686
1180,72.230934
1181,72.23267
1182,72.216354
1183,72.20598
1184,72.26243
1185,72.30127
1186,72.2428
1187,72.263916
1188,72.32757
1189,72.359726
1190,72.35316
1191,72.3909
1192,72.34082
1193,72.29556
1194,72.263725
1195,72.198784
1196,72.1347
1197,72.04062
1198,72.02302
1199,72.08189
1200,72.107666
1201,72.13179
1202,72.18505
1203,72.161644
1204,72.100266
1205,72.05038
1206,72.00893
1207,71.98488
1208,72.000374
1209,72.07211
1210,72.12081
1211,72.12511
1212,72.08804
1213,72.0382
1214,71.96618
1215,71.957275
1216,71.998245
1217,71.99449
1218,71.92155
1219,71.89431
1220,71.952194
1221,72.01099
1222,71.977066
1223,71.93839
1224,71.92443
1225,71.892555
1226,71.87169
1227,71.88072
1228,71.85738
1229,71.81098
1230,71.79429
1231,71.84539
1232,71.92191
1233,71.91466
1234,71.85778
1235,71.84345
1236,71.81965
1237,71.79968
1238,71.83493
1239,71.84027
1240,71.85454
1241,71.91291
1242,71.996315
1243,72.01264
1244,71.972664
1245,71.94752
1246,71.8952
1247,71.90236
1248,71.90599
1249,71.924736
1250,71.869705
1251,71.811935
1252,71.81207
1253,71.87494
1254,71.928406
1255,71.94768
1256,71.952034
1257,71.92971
1258,71.93219
1259,71.86216
1260,71.77184
1261,71.75397
1262,71.748314
1263,71.744965
1264,71.76226
1265,71.775734
1266,71.76095
1267,71.75732
1268,71.781944
1269,71.81566
1270,71.8387
1271,71.843414
1272,71.83927
1273,71.7761
1274,71.698555
1275,71.653534
1276,71.64989
1277,71.64897
1278,71.614975
1279,71.65971
1280,71.8187
1281,71.74752
1282,71.75637
1283,71.76246
1284,71.73723
1285,71.69163
1286,71.65399
1287,71.63107
1288,71.626785
1289,71.637764
1290,71.68457
1291,71.70273
1292,71.718864
1293,71.67062
1294,71.66743
1295,71.6778
1296,71.68145
1297,71.66566
1298,71.6187
1299,71.60985
1300,71.59953
1301,71.624794
1302,71.64254
1303,71.607285
1304,71.57691
1305,71.66134
1306,71.77756
1307,71.818695
1308,71.81316
1309,71.7699
1310,71.71532
1311,71.679665
1312,71.7031
1313,71.64117
1314,71.630806
1315,71.650154
1316,71.62053
1317,71.626045
1318,71.63082
1319,71.64584
1320,71.62319
1321,71.60182
1322,71.61392
1323,71.591675
1324,71.53755
1325,71.44185
1326,71.33811
1327,71.28854
1328,71.30476
1329,71.37388
1330,71.45175
1331,71.48441
1332,71.52219
1333,71.542755
1334,71.508934
1335,71.43981
1336,71.42899
1337,71.414955
1338,71.44684
1339,71.46493
1340,71.42455
1341,71.38427
1342,71.382835
1343,71.39955
1344,71.4174
1345,71.4016
1346,71.38917
1347,71.31236
1348,71.24997
1349,71.25352
1350,71.277916
1351,71.3336
1352,71.36638
1353,71.395325
1354,71.3496
1355,71.26785
1356,71.216194
1357,71.20225
1358,71.17038
1359,71.17642
1360,71.23816
1361,71.28243
1362,71.257706
1363,71.198074
1364,71.215164
1365,71.22891
1366,71.21019
1367,71.22323
1368,71.22217
1369,71.257484
1370,71.276505
1371,71.22662
1372,71.18941
1373,71.17367
1374,71.16765
1375,71.18943
1376,71.18539
1377,71.21637
1378,71.24266
1379,71.24942
1380,71.22009
1381,71.1353
1382,71.089485
1383,71.08056
1384,71.081924
1385,71.10413
1386,71.12247
1387,71.11856
1388,71.101006
1389,71.070465
1390,71.01958
1391,70.9781
1392,70.94225
1393,71.004684
1394,71.11101
1395,71.12141
1396,71.1225
1397,71.11372
1398,71.09181
1399,71.08247
1400,71.013725
1401,70.982994
1402,71.01002
1403,71.04312
1404,71.02442
1405,70.99113
1406,70.972435
1407,70.98445
1408,70.95777
1409,70.930664
1410,70.94214
1411,70.9812
1412,70.97452
1413,70.95401
1414,70.9521
1415,70.99616
1416,71.06216
1417,71.07178
1418,71.05457
1419,71.06885
1420,71.06028
1421,71.06595
1422,71.00755
1423,70.9324
1424,70.95758
1425,71.02312
1426,71.0092
1427,70.993324
1428,70.98701
1429,70.981834
1430,71.00982
1431,71.03018
1432,71.01542
1433,70.98977
1434,70.93747
1435,70.91238
1436,70.882904
1437,70.894554
1438,70.88018
1439,70.88011
1440,70.93952
1441,70.99272
1442,70.93476
1443,70.96392
1444,71.01911
1445,71.05427
1446,71.05984
1447,71.14266
1448,71.1237
1449,71.077415
1450,71.05422
1451,71.00921
1452,70.95795
1453,70.871475
1454,70.849625
1455,70.90733
1456,70.92579
1457,70.9464
1458,71.00286
1459,70.953156
1460,70.89014
1461,70.846596
1462,70.79553
1463,70.76922
1464,70.77445
1465,70.83399
1466,70.873886
1467,70.86751
1468,70.82063
1469,70.77626
1470,70.69772
1471,70.67413
1472,70.710976
1473,70.72318
1474,70.65253
1475,70.61701
1476,70.68172
1477,70.74288
1478,70.70211
1479,70.65558
1480,70.63044
1481,70.576065
1482,70.53844
1483,70.53479
1484,70.49752
1485,70.43801
1486,70.39363
1487,70.40389
1488,70.44295
1489,70.39783
1490,70.297646
1491,70.247505
1492,70.161705
1493,70.10254
1494,70.08703
1495,70.03529
1496,70.00396
1497,70.02881
1498,70.08052
1499,70.06952
1500,70.01652
1501,69.97955
1502,69.912155
1503,69.885216
1504,69.86248
1505,69.86401
1506,69.78515
1507,69.70585
1508,69.66415
1509,69.69774
1510,69.72066
1511,69.71643
1512,69.68721
1513,69.647575
1514,69.635056
1515,69.54259
1516,69.414536
1517,69.41425
1518,69.39526
1519,69.389435
1520,69.36035
1521,69.33658
1522,69.282524
1523,69.28077
1524,69.28961
1525,69.309265
1526,69.332016
1527,69.31256
1528,69.26619
1529,69.20491
1530,69.087685
1531,69.01836
1532,68.997665
1533,68.97087
1534,68.922714
1535,68.99663
1536,69.13427
1537,69.03502
1538,69.00743
1539,68.9827
1540,68.94256
1541,68.884186
1542,68.82064
1543,68.79304
1544,68.76473
1545,68.7563
1546,68.796555
1547,68.79354
1548,68.809044
1549,68.75051
1550,68.73314
1551,68.73848
1552,68.71558
1553,68.664474
1554,68.60942
1555,68.574814
1556,68.56118
1557,68.58353
1558,68.593414
1559,68.572586
1560,68.52355
1561,68.565216
1562,68.66254
1563,68.68346
1564,68.63891
1565,68.57171
1566,68.48887
1567,68.44733
1568,68.46536
1569,68.36518
1570,68.34143
1571,68.376015
1572,68.34092
1573,68.32168
1574,68.30773
1575,68.30585
1576,68.26964
1577,68.24006
1578,68.25542
1579,68.24199
1580,68.20471
1581,68.09287
1582,67.97497
1583,67.94396
1584,67.97393
1585,68.05665
1586,68.1644
1587,68.232315
1588,68.24949
1589,68.24499
1590,68.210365
1591,68.14561
1592,68.1378
1593,68.139046
1594,68.15743
1595,68.173416
1596,68.12562
1597,68.08147
1598,68.1013
1599,68.14486
1600,68.17872
1601,68.18038
1602,68.206566
1603,68.142265
1604,68.0967
1605,68.13791
1606,68.19532
1607,68.26068
1608,68.303604
1609,68.34723
1610,68.316414
1611,68.27071
1612,68.244125
1613,68.22616
1614,68.22209
1615,68.237175
1616,68.33199
1617,68.392784
1618,68.375694
1619,68.333084
1620,68.35581
1621,68.38517
1622,68.39781
1623,68.40837
1624,68.3766
1625,68.40723
1626,68.453735
1627,68.44091
1628,68.42057
1629,68.41607
1630,68.40706
1631,68.44889
1632,68.47994
1633,68.514404
1634,68.52668
1635,68.546
1636,68.53104
1637,68.40352
1638,68.36583
1639,68.33312
1640,68.31346
1641,68.32677
1642,68.33882
1643,68.33707
1644,68.31774
1645,68.2894
1646,68.227394
1647,68.158714
1648,68.11837
1649,68.134
1650,68.200226
1651,68.20299
1652,68.18086
1653,68.13687
1654,68.10609
1655,68.105865
1656,68.026566
1657,67.9888
1658,67.98974
1659,68.00622
1660,67.97612
1661,67.96006
1662,67.94074
1663,67.954544
1664,67.92443
1665,67.86165
1666,67.859436
1667,67.880646
1668,67.88445
1669,67.84513
1670,67.83511
1671,67.85038
1672,67.90936
1673,67.908714
1674,67.88431
1675,67.89802
1676,67.89534
1677,67.87151
1678,67.83925
1679,67.769135
1680,67.802345
