,0
0,82.26715
1,82.21904
2,82.003845
3,81.87659
4,81.8159
5,81.81584
6,82.01066
7,82.21962
8,82.27127
9,82.18982
10,82.027885
11,81.84631
12,81.66767
13,81.76616
14,81.89076
15,81.951645
16,81.889404
17,81.79262
18,81.703026
19,81.60854
20,81.622925
21,81.613266
22,81.62403
23,81.5582
24,81.57555
25,81.71978
26,81.83679
27,81.80705
28,81.7464
29,81.68677
30,81.62007
31,81.650955
32,81.76408
33,81.88043
34,81.880325
35,81.889
36,81.9595
37,82.07221
38,82.16821
39,82.18916
40,82.18086
41,82.11053
42,82.03664
43,82.01336
44,82.03024
45,82.043106
46,81.948814
47,81.93885
48,81.98185
49,82.0051
50,82.048004
51,82.07893
52,82.07362
53,82.05014
54,82.00549
55,81.94599
56,81.72286
57,81.674614
58,81.71278
59,81.774445
60,81.76159
61,81.76628
62,81.86125
63,81.94466
64,81.94771
65,81.87911
66,81.75453
67,81.69728
68,81.683914
69,81.75337
70,81.84647
71,81.9023
72,81.87709
73,81.824875
74,81.7904
75,81.7625
76,81.7154
77,81.809654
78,81.83508
79,81.78293
80,81.68744
81,81.59092
82,81.61376
83,81.66111
84,81.708916
85,81.737755
86,81.7215
87,81.622925
88,81.59489
89,81.606514
90,81.609436
91,81.56394
92,81.5623
93,81.51536
94,81.52113
95,81.53998
96,81.616516
97,81.72187
98,81.7995
99,81.85394
100,81.873474
101,81.915665
102,81.939026
103,81.926544
104,81.88603
105,81.75236
106,81.6113
107,81.48837
108,81.46206
109,81.46117
110,81.40755
111,81.2709
112,81.28
113,81.270584
114,81.32713
115,81.36055
116,81.39589
117,81.418236
118,81.39408
119,81.313866
120,81.141136
121,80.9232
122,80.95474
123,80.981155
124,80.98839
125,80.96595
126,80.89062
127,80.89973
128,81.03319
129,81.182144
130,81.32672
131,81.45473
132,81.38077
133,81.30039
134,81.33113
135,81.35085
136,81.370476
137,81.40237
138,81.397865
139,81.31099
140,81.29032
141,81.243744
142,81.17295
143,81.152985
144,81.13144
145,81.19225
146,81.26136
147,81.31006
148,81.285866
149,81.24798
150,81.2032
151,81.2079
152,81.192696
153,81.166595
154,81.10559
155,80.93041
156,80.81906
157,80.78788
158,80.79171
159,80.74165
160,80.61852
161,80.37491
162,80.26779
163,80.26817
164,80.16532
165,80.01407
166,80.124405
167,80.21025
168,80.09544
169,79.95578
170,79.92954
171,79.77636
172,79.673195
173,79.5869
174,79.646935
175,79.741905
176,79.93109
177,80.05931
178,80.0666
179,79.92515
180,79.82354
181,79.88846
182,79.99652
183,80.072975
184,80.09448
185,80.08113
186,80.1866
187,80.13643
188,80.10335
189,80.07939
190,80.13915
191,80.186325
192,80.11497
193,79.965546
194,79.86014
195,79.85442
196,79.80232
197,79.84273
198,79.769905
199,79.64057
200,79.5596
201,79.58478
202,79.72995
203,79.84603
204,79.8094
205,79.75548
206,79.73831
207,79.7293
208,79.822685
209,79.94035
210,79.96754
211,79.84636
212,79.69821
213,79.60946
214,79.626854
215,79.83262
216,80.04239
217,80.17355
218,80.25348
219,80.2964
220,80.30099
221,80.27603
222,80.18243
223,80.03746
224,79.93949
225,79.960014
226,80.060135
227,80.18166
228,80.28855
229,80.27731
230,80.249725
231,80.361595
232,80.51052
233,80.59842
234,80.68076
235,80.60487
236,80.55962
237,80.42609
238,80.38727
239,80.36094
240,80.44144
241,80.455414
242,80.41121
243,80.38336
244,80.41294
245,80.447174
246,80.49049
247,80.500626
248,80.45735
249,80.399864
250,80.38392
251,80.30498
252,80.288765
253,80.29682
254,80.29
255,80.211784
256,80.23479
257,80.26181
258,80.25464
259,80.195526
260,80.17552
261,80.28337
262,80.355034
263,80.33904
264,80.30571
265,80.2718
266,80.241745
267,80.22525
268,80.262695
269,80.22941
270,80.23159
271,80.352005
272,80.3764
273,80.34259
274,80.29011
275,80.18309
276,80.07005
277,79.98176
278,79.954636
279,79.94798
280,79.97403
281,80.00966
282,80.0441
283,80.09845
284,80.145874
285,80.16141
286,80.10906
287,79.97797
288,79.9229
289,79.97997
290,80.001495
291,80.05227
292,80.13513
293,80.19004
294,80.17953
295,80.13856
296,80.10299
297,80.06596
298,80.01254
299,79.947975
300,79.93301
301,79.91641
302,79.882904
303,79.8603
304,79.89058
305,79.909454
306,79.93971
307,79.96087
308,79.94835
309,79.92938
310,79.905716
311,79.95794
312,79.897446
313,79.79109
314,79.77191
315,79.79636
316,79.78563
317,79.76703
318,79.82694
319,79.89615
320,79.83451
321,79.71117
322,79.57992
323,79.41646
324,79.300255
325,79.353294
326,79.45091
327,79.409
328,79.26138
329,79.05397
330,78.82418
331,78.934845
332,79.093605
333,79.24542
334,79.382515
335,79.313324
336,79.19892
337,79.14354
338,79.113525
339,79.14784
340,79.136215
341,79.04594
342,78.94384
343,78.82306
344,78.77931
345,78.79854
346,78.85985
347,78.93765
348,78.916885
349,78.75897
350,78.68959
351,78.780174
352,78.9469
353,79.12671
354,79.26902
355,79.337265
356,79.41695
357,79.48765
358,79.499176
359,79.4129
360,79.30569
361,79.10441
362,78.95162
363,78.944115
364,79.11807
365,79.36647
366,79.408745
367,79.44564
368,79.438515
369,79.44738
370,79.46692
371,79.466736
372,79.47418
373,79.4555
374,79.4426
375,79.453064
376,79.462265
377,79.45619
378,79.41098
379,79.267746
380,79.10512
381,79.18852
382,79.28308
383,79.26137
384,79.2542
385,79.29778
386,79.36132
387,79.37382
388,79.4044
389,79.40464
390,79.36004
391,79.358894
392,79.38323
393,79.43416
394,79.47023
395,79.45054
396,79.45675
397,79.46064
398,79.4484
399,79.46095
400,79.46628
401,79.542946
402,79.654
403,79.73426
404,79.71164
405,79.68349
406,79.6366
407,79.63046
408,79.61299
409,79.598404
410,79.57384
411,79.46707
412,79.415375
413,79.408615
414,79.40144
415,79.34215
416,79.25744
417,79.17399
418,79.08779
419,78.99612
420,78.71683
421,78.62241
422,78.75781
423,78.88072
424,78.872116
425,78.83189
426,78.893105
427,78.92556
428,78.77991
429,78.68999
430,78.6689
431,78.782166
432,78.88864
433,78.989784
434,79.01831
435,78.979065
436,78.892654
437,78.93231
438,78.960655
439,78.913086
440,78.9154
441,78.84448
442,78.81811
443,78.8424
444,78.860756
445,78.892494
446,78.940895
447,78.9358
448,78.8676
449,78.786224
450,78.76041
451,78.79653
452,78.82936
453,78.857414
454,78.91285
455,78.98958
456,79.07405
457,79.13474
458,79.15023
459,79.148705
460,79.15961
461,79.09921
462,79.03349
463,79.00979
464,78.99783
465,79.0169
466,78.99957
467,78.95957
468,78.89024
469,78.828575
470,78.83641
471,78.86947
472,78.91431
473,78.971756
474,79.026695
475,79.04219
476,79.01638
477,79.00203
478,78.95333
479,78.84651
480,78.80329
481,78.80728
482,78.8165
483,78.83637
484,78.83369
485,78.7647
486,78.72794
487,78.782364
488,78.87781
489,78.911736
490,78.92384
491,78.775055
492,78.540794
493,78.32872
494,78.197495
495,78.10483
496,78.12833
497,78.11936
498,78.04375
499,77.92108
500,77.91395
501,77.97074
502,78.04154
503,78.023346
504,77.905594
505,77.600784
506,77.49345
507,77.50089
508,77.476974
509,77.44872
510,77.35324
511,77.27891
512,77.08875
513,77.17661
514,77.13359
515,77.03653
516,76.94339
517,76.89787
518,77.04417
519,77.26472
520,77.34949
521,77.27671
522,77.12607
523,77.027275
524,77.007866
525,77.14679
526,77.30977
527,77.4426
528,77.4725
529,77.51076
530,77.56554
531,77.410675
532,77.361305
533,77.29007
534,77.20784
535,77.03244
536,76.931526
537,76.963524
538,76.949615
539,76.766685
540,76.40974
541,76.27419
542,76.19365
543,76.16806
544,76.25546
545,76.38617
546,76.44247
547,76.435
548,76.4249
549,76.42837
550,76.485245
551,76.478195
552,76.4366
553,76.28313
554,76.18388
555,76.167786
556,76.17656
557,76.243935
558,76.18553
559,76.069305
560,75.895
561,75.78165
562,75.87449
563,76.0793
564,76.243416
565,76.23294
566,76.16561
567,76.11505
568,76.0101
569,75.902306
570,75.90153
571,75.99902
572,76.017456
573,75.96299
574,75.89288
575,75.891556
576,75.94779
577,76.034164
578,75.993546
579,75.86916
580,75.807205
581,75.87331
582,75.99071
583,76.06701
584,76.0797
585,76.01596
586,76.02685
587,76.1082
588,76.22239
589,76.36075
590,76.45635
591,76.4075
592,76.31147
593,76.27756
594,76.29744
595,76.37775
596,76.424934
597,76.36397
598,76.30017
599,76.22205
600,76.2866
601,76.33296
602,76.37962
603,76.43295
604,76.41722
605,76.32299
606,76.33363
607,76.4471
608,76.61107
609,76.78307
610,76.848
611,76.89694
612,76.887695
613,76.878555
614,76.82557
615,76.78499
616,76.862404
617,76.87757
618,76.87881
619,76.85913
620,76.878265
621,76.8885
622,76.96208
623,77.007095
624,76.97938
625,76.86056
626,76.89067
627,76.926895
628,76.94834
629,76.92535
630,76.89447
631,76.91395
632,76.950584
633,76.97059
634,76.91581
635,76.7574
636,76.65338
637,76.72783
638,76.78988
639,76.75956
640,76.7375
641,76.74579
642,76.788
643,76.77337
644,76.80043
645,76.84824
646,76.85109
647,76.85157
648,76.890495
649,76.92041
650,76.94558
651,76.943146
652,76.95084
653,76.94975
654,76.91167
655,76.93788
656,76.95619
657,77.03381
658,77.106804
659,77.17789
660,77.15264
661,77.097496
662,77.07771
663,77.07234
664,77.05684
665,77.066246
666,77.09758
667,77.05821
668,76.987946
669,76.99093
670,76.9554
671,76.88688
672,76.821915
673,76.84908
674,76.89952
675,76.92346
676,77.007706
677,77.03833
678,76.877655
679,76.829605
680,76.79775
681,76.82161
682,76.79128
683,76.812325
684,76.80487
685,76.82011
686,76.83484
687,76.79196
688,76.67905
689,76.705864
690,76.762146
691,76.791405
692,76.677155
693,76.684586
694,76.63558
695,76.526306
696,76.42857
697,76.2661
698,76.130424
699,75.92523
700,75.932625
701,75.92206
702,76.03158
703,76.144775
704,76.17665
705,76.17524
706,76.205345
707,76.27196
708,76.35816
709,76.367386
710,76.317314
711,76.28714
712,76.34058
713,76.502556
714,76.66669
715,76.668106
716,76.60641
717,76.499435
718,76.40243
719,76.400536
720,76.41115
721,76.45724
722,76.49298
723,76.39887
724,76.24238
725,76.11117
726,75.98187
727,76.010994
728,76.0669
729,75.947334
730,76.01624
731,76.02785
732,75.97418
733,75.99598
734,75.94371
735,75.85078
736,75.80206
737,75.79926
738,75.82954
739,75.94554
740,76.03715
741,76.06708
742,76.072815
743,76.18029
744,76.32454
745,76.387726
746,76.452385
747,76.36145
748,76.20678
749,76.12619
750,76.10337
751,76.08325
752,76.15481
753,76.144226
754,76.069595
755,76.08924
756,76.15585
757,76.16392
758,76.23367
759,76.279366
760,76.26864
761,76.25761
762,76.31004
763,76.36901
764,76.410385
765,76.421364
766,76.4174
767,76.37981
768,76.36633
769,76.34747
770,76.31282
771,76.2312
772,76.18537
773,76.269295
774,76.35074
775,76.40637
776,76.36994
777,76.31533
778,76.26808
779,76.27223
780,76.3357
781,76.348564
782,76.37224
783,76.4567
784,76.43912
785,76.40037
786,76.37878
787,76.31263
788,76.27698
