Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,충전용량-방전용량,,soc
1,60.01497867,02-27-2016 18:16:06,60.01497927,1,1,0,3.467052937,0,0,0,0,3.23772E-05,0,0,0,0,,,,
2,70.03103536,02-27-2016 18:16:17,10.01553278,2,1,0.999893069,3.634876251,0.002781313,0,0.010091482,0,0.000777531,0,0,0,0,,,,
3,80.03110268,02-27-2016 18:16:27,20.01560046,2,1,0.999533176,3.640546083,0.005558346,0,0.020193853,0,0.000453615,0,0,0,0,,,,
4,90.04638644,02-27-2016 18:16:37,30.03088418,2,1,0.999533176,3.644433737,0.008339644,0,0.030325015,0,0.000291586,0,0,0,0,,,,
5,100.0617948,02-27-2016 18:16:47,40.04629218,2,1,0.999713123,3.647349596,0.011120994,0,0.040465734,0,0.000226784,0,0,0,0,,,,
6,110.0618265,02-27-2016 18:16:57,50.04632413,2,1,0.999893069,3.649617434,0.013898087,0,0.050597719,0,0.000226784,0,0,0,0,,,,
7,120.0772155,02-27-2016 18:17:07,60.06171309,2,1,0.999893069,3.651237488,0.016679464,0,0.06075086,0,0.000129604,0,0,0,0,,,,
8,130.0927409,02-27-2016 18:17:17,70.07723858,2,1,0.999533176,3.652695417,0.019460831,0,0.070908163,0,0.000129604,0,0,0,0,,,,
9,140.1083049,02-27-2016 18:17:27,80.09280263,2,1,0.999713123,3.653667212,0.0222379,0,0.081053246,0,6.47545E-05,0,0,0,0,,,,
10,150.1238869,02-27-2016 18:17:37,90.10838461,2,1,0.999713123,3.654801369,0.025023652,0,0.091232965,0,9.72271E-05,0,0,0,0,,,,
11,160.1392101,02-27-2016 18:17:47,100.1237077,2,1,0.999893069,3.655611277,0.027800669,0,0.101383419,0,9.72271E-05,0,0,0,0,,,,
12,170.1547751,02-27-2016 18:17:57,110.1392725,2,1,0.999713123,3.656421185,0.030586342,0,0.111567984,0,6.48022E-05,0,0,0,0,,,,
13,180.1701904,02-27-2016 18:18:07,120.154688,2,1,0.999713123,3.657069206,0.033367605,0,0.121738637,0,3.24249E-05,0,0,0,0,,,,
14,190.1857359,02-27-2016 18:18:17,130.1702336,2,1,0.999893069,3.658041,0.036148922,0,0.131911762,0,3.23772E-05,0,0,0,0,,,,
15,200.2012081,02-27-2016 18:18:27,140.1857057,2,1,0.999713123,3.658851147,0.038930188,0,0.142086957,0,3.24249E-05,0,0,0,0,,,,
16,210.2167309,02-27-2016 18:18:37,150.2012285,2,1,0.999533176,3.659661055,0.041711453,0,0.152264222,0,6.48022E-05,0,0,0,0,,,,
17,220.2321621,02-27-2016 18:18:47,160.2166597,2,1,0.999713123,3.660470963,0.044492671,0,0.16244372,0,6.48022E-05,0,0,0,0,,,,
