Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),SoC(%),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,,C - dC,,SoC
1,60.01473007,11-04-2015 19:55:57,60.01473036,1,1,0,3.938207626,0,0,0,0,0,0,0,0,,,0,,78.83911923
2,70.01503693,11-04-2015 19:56:07,10.00006856,2,1,0.999833703,4.020122051,0.00277748,0,0.01115391,0,0.000744724,0,0,0,,,0.00277748,,78.97849761
3,80.01526851,11-04-2015 19:56:17,20.00030021,2,1,0.999833703,4.025464058,0.005554986,0,0.022328217,0,0.000420856,0,0,0,,,0.005554986,,79.11787729
4,90.03083379,11-04-2015 19:56:27,30.0158655,2,1,1.000014305,4.029349327,0.008336709,0,0.033531804,0,0.000323772,0,0,0,,,0.008336709,,79.25746859
5,100.046322,11-04-2015 19:56:37,40.03135368,2,1,0.999833703,4.032263279,0.011118467,0,0.044744631,0,0.000259018,0,0.011118467,0,,,0.011118467,,79.39706165
6,110.0615322,11-04-2015 19:56:47,50.04656395,2,1,0.999833703,4.034691334,0.013895894,0,0.055947354,0,0.000194168,0,0.013895894,0,,,0.013895894,,79.53643737
7,120.0775684,11-04-2015 19:56:57,60.06260008,2,1,0.999833703,4.036796093,0.016681921,0,0.067191119,0,0.000226688,0,0.016681921,0,,,0.016681921,,79.67624465
8,130.0929658,11-04-2015 19:57:07,70.07799751,2,1,1.000014305,4.038900375,0.019463608,0,0.078423159,0,0.000193664,0,0.019463608,0,,,0.019463608,,79.81583414
9,140.0930732,11-04-2015 19:57:17,80.07810501,2,1,0.999833703,4.040681362,0.022241085,0,0.089643547,0,0.000159933,0,0.022241085,0,,,0.022241085,,79.95521237
10,150.1081634,11-04-2015 19:57:27,90.09319508,2,1,1.000014305,4.042461872,0.025018449,0,0.100868674,0,0.000161839,0,0.025018449,0,,,0.025018449,,80.09458493
11,160.108498,11-04-2015 19:57:37,100.0935297,2,1,0.999833703,4.044242859,0.027800237,0,0.112116695,0,0.000161934,0,0.027800237,0,,,0.027800237,,80.23417949
12,170.1240302,11-04-2015 19:57:47,110.1090619,2,1,1.000014305,4.046185493,0.030581951,0,0.123369371,0,0.000194263,0,0.030581951,0,,,0.030581951,,80.37377034
13,180.1395712,11-04-2015 19:57:57,120.1246029,2,1,0.999833703,4.047804356,0.033363672,0,0.134626979,0,0.000129509,0,0.033363672,0,,,0.033363672,,80.51336154
14,190.1551414,11-04-2015 19:58:07,130.1401731,2,1,1.000014305,4.04974699,0.036145406,0,0.145889441,0,0.000194263,0,0.036145406,0,,,0.036145406,,80.6529534
15,200.1706049,11-04-2015 19:58:17,140.1556366,2,1,0.999653101,4.051203728,0.038927082,0,0.157156436,0,0.000194249,0,0.038927082,0,,,0.038927082,,80.79254234
16,210.1706305,11-04-2015 19:58:27,150.1556622,2,1,1.000014305,4.053146362,0.041704466,0,0.168410743,0,0.000161839,0,0.041704466,0,,,0.041704466,,80.9319159
