Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c - dc,,soc
1,60.01515296,12-14-2015 09:33:41,60.01515364,1,1,0,3.233875036,0,0,0,0,0,0,0,0,0,,,,
2,70.03118394,12-14-2015 09:33:51,10.01557103,2,1,0.999364197,3.345696926,0.002780383,0,0.009274242,0,0.001490974,0,0,0,0,,,,
3,80.04674939,12-14-2015 09:34:01,20.03113666,2,1,0.999364197,3.361254692,0.005560757,0,0.018598867,0,0.001166868,0,0,0,0,,,,
4,90.06229604,12-14-2015 09:34:11,30.04668309,2,1,0.999364197,3.374543667,0.008341139,0,0.027963293,0,0.001037216,0,0,0,0,,,,
5,100.0623109,12-14-2015 09:34:21,40.04669871,2,1,0.999364197,3.386698246,0.011117234,0,0.037348628,0,0.000972366,0,0,0,0,,,,
6,110.0777803,12-14-2015 09:34:31,50.06216734,2,1,0.999544024,3.398366451,0.013897626,0,0.046781141,0,0.000939941,0,0,0,0,,,,
7,120.0933843,12-14-2015 09:34:41,60.07777144,2,1,0.999544024,3.408738375,0.016678062,0,0.05624431,0,0.000810289,0,0,0,0,,,,
8,130.1088886,12-14-2015 09:34:51,70.09327571,2,1,0.999364197,3.418948174,0.019458479,0,0.065736444,0,0.000810289,0,0,0,0,,,,
9,140.12445,12-14-2015 09:35:01,80.1088371,2,1,0.999364197,3.428671837,0.022238883,0,0.07525618,0,0.000745487,0,0,0,0,,,,
10,150.1400091,12-14-2015 09:35:11,90.12439611,2,1,0.999364197,3.437909365,0.025019285,0,0.084802298,0,0.00071311,0,0,0,0,,,,
11,160.1555849,12-14-2015 09:35:21,100.139972,2,1,0.999364197,3.446660519,0.027799722,0,0.094373851,0,0.00064826,0,0,0,0,,,,
12,170.1711594,12-14-2015 09:35:32,110.1555467,2,1,0.999544024,3.455573797,0.030580159,0,0.103969653,0,0.000680637,0,0,0,0,,,,
13,180.1867316,12-14-2015 09:35:42,120.1711189,2,1,0.999364197,3.463514805,0.033360622,0,0.113588868,0,0.000615835,0,0,0,0,,,,
14,190.2022377,12-14-2015 09:35:52,130.1866248,2,1,0.99918437,3.471455812,0.036141086,0,0.123230434,0,0.000615835,0,0,0,0,,,,
15,200.2178079,12-14-2015 09:36:02,140.2021951,2,1,0.999364197,3.479072571,0.038921535,0,0.132893501,0,0.000550985,0,0,0,0,,,,
