Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),SoC(%),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,,C - dC,,SoC
1,7200.015566,11-06-2015 22:07:00,7200.015566,1,1,0,3.411755323,0,0,0,0,0,0,0,0,,,0,,-0.039382411
2,7210.031692,11-06-2015 22:07:10,10.01557947,2,1,0.999833703,3.517304659,0.002781756,0,0.009761296,0,0.001295042,0,0.002781756,0,,,0.002781756,,0.099689537
3,7220.047055,11-06-2015 22:07:20,20.03094205,2,1,0.999833703,3.527665377,0.005563489,0,0.019560638,0,0.000874186,0,0.005563489,0,,,0.005563489,,0.238760335
4,7230.047128,11-06-2015 22:07:30,30.03101506,2,1,0.999833703,3.535597801,0.008340929,0,0.029370177,0,0.000710092,0,0.008340929,0,,,0.008340929,,0.377616507
5,7240.047199,11-06-2015 22:07:40,40.0310861,2,1,1.000014305,3.54207325,0.011118371,0,0.039199389,0,0.00058279,0,0.011118371,0,,,0.011118371,,0.51647278
6,7250.062748,11-06-2015 22:07:50,50.04663583,2,1,1.000014305,3.54676795,0.013900105,0,0.049059159,0,0.000420904,0,0.013900105,0,,,0.013900105,,0.655543628
7,7260.077953,11-06-2015 22:08:00,60.06184057,2,1,0.999833703,3.550167561,0.016677454,0,0.058914829,0,0.000291395,0,0.016677454,0,,,0.016677454,,0.794395251
8,7270.078199,11-06-2015 22:08:10,70.06208647,2,1,0.999833703,3.552595854,0.019459209,0,0.068794314,0,0.000194263,0,0.019459209,0,,,0.019459209,,0.933467149
9,7280.093764,11-06-2015 22:08:20,80.07765092,2,1,0.999833703,3.554538488,0.022240922,0,0.078679499,0,0.000161886,0,0.022240922,0,,,0.022240922,,1.072536947
10,7290.109288,11-06-2015 22:08:30,90.09317575,2,1,1.000014305,3.555995464,0.025022662,0,0.088569175,0,0.000161886,0,0.025022662,0,,,0.025022662,,1.211608095
11,7300.124834,11-06-2015 22:08:40,100.1087215,2,1,0.999833703,3.557128668,0.02780438,0,0.098462215,0,9.71E-05,0,0.02780438,0,,,0.02780438,,1.350678143
12,7310.140423,11-06-2015 22:08:50,110.1243106,2,1,0.999833703,3.557938099,0.030586122,0,0.108358272,0,9.71E-05,0,0.030586122,0,,,0.030586122,,1.489749391
13,7320.155763,11-06-2015 22:09:00,120.1396503,2,1,0.999833703,3.558909416,0.033363451,0,0.118241012,0,9.71E-05,0,0.033363451,0,,,0.033363451,,1.628600014
14,7330.171421,11-06-2015 22:09:10,130.1553082,2,1,1.000014305,3.559718847,0.036145188,0,0.128141853,0,0.00012911,0,0.036145188,0,,,0.036145188,,1.767671012
15,7340.187089,11-06-2015 22:09:20,140.1709765,2,1,0.999653101,3.560366392,0.03893128,0,0.138060328,0,6.48E-05,0,0.03893128,0,,,0.03893128,,1.906959735
16,7350.202671,11-06-2015 22:09:30,150.1865584,2,1,1.000014305,3.561175823,0.041713014,0,0.147965319,0,9.71E-05,0,0.041713014,0,,,0.041713014,,2.046030583
17,7360.218196,11-06-2015 22:09:40,160.2020832,2,1,0.999833703,3.561823368,0.044494711,0,0.157872252,0,6.48E-05,0,0.044494711,0,,,0.044494711,,2.185099581
18,7370.233828,11-06-2015 22:09:50,170.2177154,2,1,0.999833703,3.562470913,0.047276439,0,0.167781298,0,6.48E-05,0,0.047276439,0,,,0.047276439,,2.324170129
19,7380.249346,11-06-2015 22:10:00,180.2332337,2,1,0.999833703,3.563280344,0.050058144,0,0.177692286,0,6.48E-05,0,0.050058144,0,,,0.050058144,,2.463239528
20,7390.264593,11-06-2015 22:10:10,190.2484802,2,1,0.999833703,3.563766003,0.052835547,0,0.187589456,0,9.71E-05,0,0.052835547,0,,,0.052835547,,2.60209385
21,7400.264828,11-06-2015 22:10:20,200.2487156,2,1,0.999833703,3.564575434,0.055617207,0,0.197503985,0,6.48E-05,0,0.055617207,0,,,0.055617207,,2.741160999
22,7410.280427,11-06-2015 22:10:30,210.2643138,2,1,1.000014305,3.565384865,0.05839892,0,0.207420682,0,9.71E-05,0,0.05839892,0,,,0.05839892,,2.880230797
23,7420.295926,11-06-2015 22:10:40,220.2798133,2,1,0.999833703,3.565870523,0.061180649,0,0.217339439,0,0,0,0.061180649,0,,,0.061180649,,3.019301395
24,7430.295929,11-06-2015 22:10:50,230.2798161,2,1,0.999653101,3.566679955,0.063958068,0,0.227244836,0,6.48E-05,0,0.063958068,0,,,0.063958068,,3.158156518
25,7440.295937,11-06-2015 22:11:00,240.2798244,2,1,0.999833703,3.567651272,0.066735472,0,0.237152245,0,9.71E-05,0,0.066735472,0,,,0.066735472,,3.29701089
26,7450.311356,11-06-2015 22:11:11,250.2952434,2,1,0.999833703,3.568298817,0.069517115,0,0.247076791,0,9.71E-05,0,0.069517115,0,,,0.069517115,,3.436077189
27,7460.326972,11-06-2015 22:11:21,260.3108588,2,1,0.999833703,3.569108248,0.072298815,0,0.257003462,0,9.71E-05,0,0.072298815,0,,,0.072298815,,3.575146337
28,7470.327028,11-06-2015 22:11:31,270.3109154,2,1,0.999833703,3.569755793,0.075076205,0,0.266916919,0,6.48E-05,0,0.075076205,0,,,0.075076205,,3.71400001
29,7480.342021,11-06-2015 22:11:41,280.3259088,2,1,1.000014305,3.570565224,0.077857732,0,0.276847201,0,6.48E-05,0,0.077857732,0,,,0.077857732,,3.853060509
30,7490.342361,11-06-2015 22:11:51,290.3262484,2,1,0.999833703,3.571374655,0.0806352,0,0.286765092,0,9.71E-05,0,0.0806352,0,,,0.0806352,,3.991918081
31,7500.357916,11-06-2015 22:12:01,300.341803,2,1,1.000014305,3.5720222,0.083416915,0,0.296700202,0,0.000129509,0,0.083416915,0,,,0.083416915,,4.130987979
32,7510.373444,11-06-2015 22:12:11,310.3573316,2,1,0.999833703,3.572669744,0.086198608,0,0.306637345,0,6.48E-05,0,0.086198608,0,,,0.086198608,,4.270056778
33,7520.389,11-06-2015 22:12:21,320.3728869,2,1,0.999833703,3.573479176,0.088980314,0,0.316576647,0,6.48E-05,0,0.088980314,0,,,0.088980314,,4.409126226
34,7530.404573,11-06-2015 22:12:31,330.3884599,2,1,0.999833703,3.574288607,0.091762041,0,0.326518049,0,9.71E-05,0,0.091762041,0,,,0.091762041,,4.548196724
35,7540.420122,11-06-2015 22:12:41,340.4040089,2,1,0.999833703,3.574936152,0.094543723,0,0.336461453,0,6.48E-05,0,0.094543723,0,,,0.094543723,,4.687264972
36,7550.435718,11-06-2015 22:12:51,350.4196056,2,1,1.000014305,3.575745583,0.097325428,0,0.346407068,0,3.24E-05,0,0.097325428,0,,,0.097325428,,4.82633437
37,7560.450934,11-06-2015 22:13:01,360.4348211,2,1,1.000014305,3.576555014,0.100102783,0,0.356339252,0,6.48E-05,0,0.100102783,0,,,0.100102783,,4.965186293
38,7570.451172,11-06-2015 22:13:11,370.435059,2,1,0.999833703,3.577364445,0.102884465,0,0.36628911,0,9.68E-05,0,0.102884465,0,,,0.102884465,,5.104254542
39,7580.466736,11-06-2015 22:13:21,380.4506228,2,1,0.999833703,3.577850103,0.105666149,0,0.376241078,0,3.24E-05,0,0.105666149,0,,,0.105666149,,5.24332289
40,7590.481911,11-06-2015 22:13:31,390.4657976,2,1,0.999833703,3.578821421,0.108447745,0,0.386194965,0,9.71E-05,0,0.108447745,0,,,0.108447745,,5.382386839
41,7600.482263,11-06-2015 22:13:41,400.4661504,2,1,1.000014305,3.579792738,0.111225187,0,0.396136046,0,9.71E-05,0,0.111225187,0,,,0.111225187,,5.521243111
42,7610.497305,11-06-2015 22:13:51,410.4811919,2,1,0.999833703,3.580440283,0.114006762,0,0.406094221,0,6.48E-05,0,0.114006762,0,,,0.114006762,,5.66030601
43,7620.497742,11-06-2015 22:14:01,420.4816295,2,1,0.999833703,3.581249714,0.116784238,0,0.416039901,0,6.48E-05,0,0.116784238,0,,,0.116784238,,5.799163982
44,7630.512892,11-06-2015 22:14:11,430.4967793,2,1,1.000014305,3.582059145,0.119565861,0,0.426002637,0,9.71E-05,0,0.119565861,0,,,0.119565861,,5.938229281
45,7640.513215,11-06-2015 22:14:21,440.4971022,2,1,1.000014305,3.582868576,0.122343381,0,0.43595298,0,6.48E-05,0,0.122343381,0,,,0.122343381,,6.077089453
46,7650.513281,11-06-2015 22:14:31,450.4971682,2,1,0.999833703,3.583516121,0.12512078,0,0.445905098,0,3.24E-05,0,0.12512078,0,,,0.12512078,,6.215943576
47,7660.528711,11-06-2015 22:14:41,460.5125987,2,1,1.000014305,3.584487438,0.127902458,0,0.455874719,0,9.71E-05,0,0.127902458,0,,,0.127902458,,6.355011624
48,7670.528777,11-06-2015 22:14:51,470.5126643,2,1,0.999833703,3.585296869,0.130679888,0,0.465831475,0,6.48E-05,0,0.130679888,0,,,0.130679888,,6.493867297
49,7680.544273,11-06-2015 22:15:01,480.5281607,2,1,0.999833703,3.586268187,0.133461624,0,0.475806051,0,9.71E-05,0,0.133461624,0,,,0.133461624,,6.632938245
50,7690.544286,11-06-2015 22:15:11,490.528173,2,1,0.999653101,3.587077618,0.136239038,0,0.485767456,0,9.71E-05,0,0.136239038,0,,,0.136239038,,6.771793117
51,7700.559698,11-06-2015 22:15:21,500.5435852,2,1,0.999833703,3.587887049,0.139020704,0,0.495746556,0,6.48E-05,0,0.139020704,0,,,0.139020704,,6.910860566
52,7710.575269,11-06-2015 22:15:31,510.5591567,2,1,1.000014305,3.588858366,0.141802421,0,0.505728315,0,0.000129509,0,0.141802421,0,,,0.141802421,,7.049930564
53,7720.590611,11-06-2015 22:15:41,520.5744985,2,1,0.999833703,3.589667797,0.144579772,0,0.515696801,0,9.71E-05,0,0.144579772,0,,,0.144579772,,7.188782287
54,7730.606402,11-06-2015 22:15:51,530.5902897,2,1,0.999833703,3.590639114,0.14736579,0,0.525698973,0,9.71E-05,0,0.14736579,0,,,0.14736579,,7.32806731
55,7740.621939,11-06-2015 22:16:01,540.6058262,2,1,1.000014305,3.591610432,0.150147484,0,0.535688189,0,9.71E-05,0,0.150147484,0,,,0.150147484,,7.467136158
56,7750.637492,11-06-2015 22:16:11,550.6213796,2,1,0.999833703,3.592581511,0.152929177,0,0.545679974,0,0.000129461,0,0.152929177,0,,,0.152929177,,7.606204957
57,7760.653062,11-06-2015 22:16:21,560.6369493,2,1,0.999833703,3.593390942,0.155710837,0,0.555674377,0,6.48E-05,0,0.155710837,0,,,0.155710837,,7.745272105
58,7770.668699,11-06-2015 22:16:31,570.6525864,2,1,0.999653101,3.594362259,0.158492585,0,0.565671812,0,6.48E-05,0,0.158492585,0,,,0.158492585,,7.884343653
59,7780.684218,11-06-2015 22:16:41,580.6681056,2,1,0.999833703,3.595495462,0.161274271,0,0.575671682,0,0.000129509,0,0.161274271,0,,,0.161274271,,8.023412101
60,7790.699724,11-06-2015 22:16:51,590.6836109,2,1,0.999833703,3.59646678,0.164055999,0,0.585674592,0,9.71E-05,0,0.164055999,0,,,0.164055999,,8.162482649
61,7800.715272,11-06-2015 22:17:01,600.6991589,2,1,0.999833703,3.597438097,0.166837707,0,0.595680284,0,6.48E-05,0,0.166837707,0,,,0.166837707,,8.301552198
62,7810.730858,11-06-2015 22:17:11,610.7147456,2,1,0.999833703,3.598409414,0.169619417,0,0.605688906,0,6.48E-05,0,0.169619417,0,,,0.169619417,,8.440621846
63,7820.746216,11-06-2015 22:17:21,620.7301037,2,1,0.999833703,3.599542618,0.172401073,0,0.615700331,0,6.48E-05,0,0.172401073,0,,,0.172401073,,8.579688794
64,7830.746352,11-06-2015 22:17:31,630.7302397,2,1,0.999833703,3.600675821,0.175178491,0,0.625699467,0,0.000129106,0,0.175178491,0,,,0.175178491,,8.718543867
