Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c-dc,,soc
1,60.0148614,02-26-2016 09:14:58,60.01486176,1,1,0,3.44631815,0,0,0,0,-3.23772E-05,0,0,0,0,,,,
2,70.03071103,02-26-2016 09:15:08,10.01560558,2,1,0.999713123,3.627586603,0.002781336,0,0.010067493,0,0.00093956,0,0,0,0,,,,
3,80.04610787,02-26-2016 09:15:18,20.03100226,2,1,0.999533176,3.634876251,0.005562652,0,0.020167747,0,0.000615549,0,0,0,0,,,,
4,90.06167177,02-26-2016 09:15:28,30.04656596,2,1,0.999713123,3.639574051,0.008343998,0,0.030284461,0,0.000323963,0,0,0,0,,,,
5,100.0770674,02-26-2016 09:15:38,40.06196144,2,1,0.999713123,3.643137932,0.01112532,0,0.040412187,0,0.000291586,0,0,0,0,,,,
6,110.0926379,02-26-2016 09:15:49,50.07753243,2,1,0.999713123,3.645081758,0.013906679,0,0.05054784,0,9.71794E-05,0,0,0,0,,,,
7,120.1083053,02-26-2016 09:15:59,60.09319981,2,1,0.999533176,3.646863699,0.016688093,0,0.06068927,0,6.48022E-05,0,0,0,0,,,,
8,130.1235404,02-26-2016 09:16:09,70.10843447,2,1,0.999893069,3.648321629,0.019469408,0,0.070834375,0,9.72271E-05,0,0,0,0,,,,
9,140.1236143,02-26-2016 09:16:19,80.10850859,2,1,0.999893069,3.648807526,0.022246518,0,0.080966914,0,3.23772E-05,0,0,0,0,,,,
10,150.1391861,02-26-2016 09:16:29,90.12408064,2,1,0.999533176,3.649779558,0.02502794,0,0.091117567,0,6.48022E-05,0,0,0,0,,,,
11,160.1544918,02-26-2016 09:16:39,100.1393863,2,1,0.999533176,3.65042758,0.027809258,0,0.101269637,0,6.48022E-05,0,0,0,0,,,,
12,170.1699377,02-26-2016 09:16:49,110.1548321,2,1,0.999893069,3.650913477,0.030590638,0,0.111423306,0,6.48022E-05,0,0,0,0,,,,
13,180.1855809,02-26-2016 09:16:59,120.1704754,2,1,0.999713123,3.651075363,0.033372061,0,0.121578182,0,0,0,0,0,0,,,,
14,190.2011907,02-26-2016 09:17:09,130.1860849,2,1,0.999713123,3.651237488,0.03615346,0,0.131733787,0,0,0,0,0,0,,,,
15,200.2164124,02-26-2016 09:17:19,140.2013068,2,1,0.999533176,3.651723385,0.038934754,0,0.141889722,0,6.48022E-05,0,0,0,0,,,,
16,210.2165079,02-26-2016 09:17:29,150.2014026,2,1,0.999533176,3.651723385,0.041707541,0,0.152015318,0,-3.24249E-05,0,0,0,0,,,,
17,220.2319791,02-26-2016 09:17:39,160.2168737,2,1,0.999713123,3.652047396,0.0444932,0,0.162188532,0,0,0,0,0,0,,,,
18,230.2472784,02-26-2016 09:17:49,170.2321728,2,1,0.999893069,3.652371407,0.047274515,0,0.17234644,0,3.24249E-05,0,0,0,0,,,,
19,240.2629007,02-26-2016 09:17:59,180.2477957,2,1,0.999713123,3.652533293,0.050055901,0,0.182505154,0,0,0,0,0,0,,,,
20,250.2782522,02-26-2016 09:18:09,190.2631466,2,1,0.999893069,3.652695417,0.052837225,0,0.192664203,0,3.24249E-05,0,0,0,0,,,,
21,260.2938329,02-26-2016 09:18:19,200.278727,2,1,0.999533176,3.653019428,0.055618616,0,0.202824055,0,3.24249E-05,0,0,0,0,,,,
22,270.309361,02-26-2016 09:18:29,210.2942553,2,1,0.999533176,3.653181314,0.05839995,0,0.212984348,0,3.23772E-05,0,0,0,0,,,,
23,280.3247394,02-26-2016 09:18:39,220.3096339,2,1,0.99935323,3.653343439,0.061181301,0,0.223145396,0,0,0,0,0,0,,,,
24,290.3402434,02-26-2016 09:18:49,230.3251378,2,1,0.999893069,3.653667212,0.063962777,0,0.233307618,0,0,0,0,0,0,,,,
25,300.3402965,02-26-2016 09:18:59,240.325191,2,1,0.999713123,3.653829336,0.066739977,0,0.243454908,0,0,0,0,0,0,,,,
26,310.3557644,02-26-2016 09:19:09,250.3406589,2,1,0.999713123,3.654477358,0.069521472,0,0.253618679,0,9.72271E-05,0,0,0,0,,,,
27,320.3711756,02-26-2016 09:19:19,260.35607,2,1,0.999713123,3.654639244,0.072302988,0,0.263783526,0,3.23772E-05,0,0,0,0,,,,
28,330.3866535,02-26-2016 09:19:29,270.3715479,2,1,0.999713123,3.654963255,0.075084536,0,0.273949522,0,3.23772E-05,0,0,0,0,,,,
29,340.4020159,02-26-2016 09:19:39,280.3869099,2,1,0.999713123,3.655287266,0.077866019,0,0.284116302,0,0,0,0,0,0,,,,
30,350.4175681,02-26-2016 09:19:49,290.4024625,2,1,0.999713123,3.655773163,0.080647545,0,0.294284371,0,3.23772E-05,0,0,0,0,,,,
31,360.4175681,02-26-2016 09:19:59,300.4024626,2,1,1.000073075,3.656421185,0.083424765,0,0.304437961,0,6.48022E-05,0,0,0,0,,,,
32,370.4329294,02-26-2016 09:20:09,310.4178238,2,1,0.999893069,3.656745195,0.086206288,0,0.314608553,0,6.48022E-05,0,0,0,0,,,,
33,380.448436,02-26-2016 09:20:19,320.4333303,2,1,0.999893069,3.657231092,0.08898778,0,0.32478043,0,3.23772E-05,0,0,0,0,,,,
34,390.4639253,02-26-2016 09:20:29,330.4488198,2,1,0.999893069,3.657879114,0.09176933,0,0.334954044,0,6.48022E-05,0,0,0,0,,,,
35,400.4794866,02-26-2016 09:20:39,340.4643811,2,1,0.999893069,3.658527136,0.094550826,0,0.345128967,0,6.48022E-05,0,0,0,0,,,,
36,410.4950418,02-26-2016 09:20:49,350.4799363,2,1,0.999893069,3.659013033,0.097332373,0,0.355305753,0,6.48022E-05,0,0,0,0,,,,
