Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,C-dC,,SOC
1,60.00121035,11-12-2015 17:28:57,60.00121091,1,1,0,3.263306141,0,0,0,0,0,0,0,0,0,,,,
2,70.01036703,11-12-2015 17:29:07,10.00871208,2,1,0.999833703,3.385529757,0.002779916,0,0.009378304,0,0.001327467,0,0,0,0,,,,
3,80.0170843,11-12-2015 17:29:17,20.01542933,2,1,1.000014305,3.402204037,0.005559271,0,0.01881205,0,0.000971317,0,0,0,0,,,,
4,90.02868993,11-12-2015 17:29:27,30.02703495,2,1,0.999833703,3.415964365,0.008340027,0,0.028292241,0,0.000841808,0,0,0,0,,,,
5,100.0364248,11-12-2015 17:29:37,40.03476978,2,1,1.000194907,3.428267717,0.011119696,0,0.037804695,0,0.000777054,0,0,0,0,,,,
6,110.0421283,11-12-2015 17:29:47,50.04047326,2,1,0.999833703,3.439275742,0.013898786,0,0.04734757,0,0.000712299,0,0,0,0,,,,
7,120.0430394,11-12-2015 17:29:57,60.04138442,2,1,0.999833703,3.449636459,0.0166765,0,0.056915647,0,0.000647545,0,0,0,0,,,,
8,130.0497283,11-12-2015 17:30:07,70.04807329,2,1,0.999833703,3.459511518,0.019455793,0,0.066517129,0,0.000647545,0,0,0,0,,,,
9,140.0574608,11-12-2015 17:30:17,80.05580585,2,1,0.999833703,3.468739033,0.022235404,0,0.076146135,0,0.00058279,0,0,0,0,,,,
10,150.0593402,11-12-2015 17:30:27,90.05768519,2,1,1.000014305,3.477480888,0.025013422,0,0.085794689,0,0.000550413,0,0,0,0,,,,
11,160.0680048,11-12-2015 17:30:37,100.0663498,2,1,0.999833703,3.486060858,0.027793289,0,0.095473685,0,0.000518036,0,0,0,0,,,,
12,170.0727815,11-12-2015 17:30:47,110.0711265,2,1,0.999833703,3.493993282,0.030572075,0,0.105171898,0,0.000485659,0,0,0,0,,,,
13,180.073625,11-12-2015 17:30:57,120.07197,2,1,1.000014305,3.501763821,0.033349786,0,0.114888187,0,0.000485659,0,0,0,0,,,,
14,190.0833012,11-12-2015 17:31:07,130.0816463,2,1,1.000014305,3.5090487,0.036129922,0,0.124633888,0,0.000388527,0,0,0,0,,,,
