Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c-dc,,soc
1,60.0150988,02-24-2016 09:48:53,60.01509938,1,1,0,4.15405941,0,0,0,0,-3.24249E-05,0,0,0,0,,,,
2,60.01558503,02-24-2016 09:48:53,2.5413E-06,2,1,0.99935323,4.247042656,7.05461E-10,0,2.99612E-09,0,0,0,0,0,0,,,,
3,70.03142191,02-24-2016 09:49:03,10.01553508,3,1,0.339846313,4.199740887,0.000993306,0,0.004171634,0,0,0,0,0,0,,,,
4,80.04684115,02-24-2016 09:49:13,20.03095401,3,1,0.317352891,4.199903011,0.001905517,0,0.008002713,0,3.24249E-05,0,0,0,0,,,,
5,90.06251148,02-24-2016 09:49:23,30.04662465,3,1,0.300797731,4.199903011,0.00276422,0,0.011609069,0,3.24249E-05,0,0,0,0,,,,
6,100.07789,02-24-2016 09:49:33,40.06200316,3,1,0.287661582,4.199740887,0.003581947,0,0.015043342,0,0,0,0,0,0,,,,
7,110.0933933,02-24-2016 09:49:43,50.07750645,3,1,0.276504844,4.199740887,0.004366255,0,0.01833726,0,0,0,0,0,0,,,,
8,120.1088991,02-24-2016 09:49:53,60.0930123,3,1,0.267327547,4.199740887,0.00512254,0,0.021513498,0,3.23296E-05,0,0,0,0,,,,
9,130.1243974,02-24-2016 09:50:03,70.10851062,3,1,0.259049952,4.199740887,0.005854742,0,0.024588584,0,0,0,0,0,0,,,,
10,140.1407758,02-24-2016 09:50:14,80.12488904,3,1,0.251852065,4.199740887,0.00656565,0,0.027574237,0,-3.24249E-05,0,0,0,0,,,,
11,150.1554756,02-24-2016 09:50:24,90.13958885,3,1,0.245733857,4.200065136,0.007257187,0,0.030478551,0,3.24249E-05,0,0,0,0,,,,
12,160.1709869,02-24-2016 09:50:34,100.1551002,3,1,0.239255756,4.199903011,0.007931209,0,0.033309303,0,0,0,0,0,0,,,,
13,170.1863999,02-24-2016 09:50:44,110.1705131,3,1,0.233677387,4.200065136,0.008589008,0,0.036071916,0,6.48499E-05,0,0,0,0,,,,
14,180.2019778,02-24-2016 09:50:54,120.186091,3,1,0.228099018,4.199579239,0.009231704,0,0.038771103,0,-3.23296E-05,0,0,0,0,,,,
15,190.2174639,02-24-2016 09:51:04,130.201577,3,1,0.223420396,4.199740887,0.009859979,0,0.041409724,0,0,0,0,0,0,,,,
16,200.2328752,02-24-2016 09:51:14,140.2169881,3,1,0.218561813,4.199903011,0.010474822,0,0.043991935,0,3.24249E-05,0,0,0,0,,,,
17,210.2484611,02-24-2016 09:51:24,150.2325743,3,1,0.214423031,4.199903011,0.011076779,0,0.046520023,0,0,0,0,0,0,,,,
18,220.2639352,02-24-2016 09:51:34,160.2480486,3,1,0.20992434,4.199903011,0.01166657,0,0.048997023,0,6.47545E-05,0,0,0,0,,,,
19,230.2795583,02-24-2016 09:51:44,170.2636715,3,1,0.205785558,4.199740887,0.012244719,0,0.05142513,0,0,0,0,0,0,,,,
20,240.2949505,02-24-2016 09:51:54,180.2790636,3,1,0.201826707,4.199740887,0.01281147,0,0.053805373,0,0,0,0,0,0,,,,
21,250.310595,02-24-2016 09:52:04,190.294708,3,1,0.19786787,4.199740887,0.013367355,0,0.056139977,0,0,0,0,0,0,,,,
22,260.3259663,02-24-2016 09:52:14,200.3100795,3,1,0.193909034,4.199740887,0.013912766,0,0.058430593,0,0,0,0,0,0,,,,
23,270.3413883,02-24-2016 09:52:24,210.3255012,3,1,0.190490037,4.199740887,0.014448041,0,0.06067864,0,0,0,0,0,0,,,,
24,280.3414745,02-24-2016 09:52:34,220.3255878,3,1,0.187250972,4.199740887,0.014972625,0,0.062881796,0,-3.24249E-05,0,0,0,0,,,,
25,290.35681,02-24-2016 09:52:44,230.3409232,3,1,0.183831975,4.199740887,0.01548846,0,0.065048207,0,0,0,0,0,0,,,,
26,300.3723875,02-24-2016 09:52:54,240.3565006,3,1,0.180412978,4.199740887,0.01599484,0,0.067174904,0,-3.24249E-05,0,0,0,0,,,,
27,310.37239,02-24-2016 09:53:04,250.3565034,3,1,0.177353874,4.199740887,0.016491633,0,0.069261337,0,-3.24249E-05,0,0,0,0,,,,
28,320.3877173,02-24-2016 09:53:14,260.3718301,3,1,0.174114823,4.199903011,0.016980322,0,0.071313736,0,3.24249E-05,0,0,0,0,,,,
29,330.4032247,02-24-2016 09:53:24,270.3873377,3,1,0.171055719,4.199903011,0.017460557,0,0.073330624,0,0,0,0,0,0,,,,
30,340.4187046,02-24-2016 09:53:34,280.4028179,3,1,0.168356508,4.199903011,0.017932496,0,0.07531268,0,3.24249E-05,0,0,0,0,,,,
31,350.4341983,02-24-2016 09:53:44,290.4183115,3,1,0.165297404,4.199903011,0.018396447,0,0.077261189,0,0,0,0,0,0,,,,
32,360.4496562,02-24-2016 09:53:54,300.4337691,3,1,0.162598193,4.199740887,0.018852636,0,0.079177093,0,0,0,0,0,0,,,,
33,370.4652156,02-24-2016 09:54:04,310.4493288,3,1,0.159898981,4.199903011,0.01930113,0,0.081060684,0,3.24249E-05,0,0,0,0,,,,
34,380.4808357,02-24-2016 09:54:14,320.4649489,3,1,0.15719977,4.199903011,0.019742147,0,0.082912872,0,0,0,0,0,0,,,,
