Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),,c-dc,,soc
1,60.00018081,12-15-2015 17:53:26,60.00018147,1,1,0,2.968420029,0,0,0,0,0,0,0,0,0,,,,
2,70.0161057,12-15-2015 17:53:36,10.01548828,2,1,0.999364197,3.102443933,0.002780395,0,0.008566302,0,0.003889418,0,0,0,0,,,,
3,80.03166501,12-15-2015 17:53:46,20.0310476,2,1,0.999364197,3.136800766,0.005560801,0,0.017241989,0,0.003143978,0,0,0,0,,,,
4,90.04720853,12-15-2015 17:53:56,30.04659112,2,1,0.999544024,3.165971756,0.00834124,0,0.026005185,0,0.002722645,0,0,0,0,,,,
5,100.0628633,12-15-2015 17:54:06,40.06224597,2,1,0.999364197,3.191253185,0.011121683,0,0.034843826,0,0.002430896,0,0,0,0,,,,
6,110.0783239,12-15-2015 17:54:16,50.07770649,2,1,0.999364197,3.214103699,0.013902093,0,0.043749333,0,0.002229468,0,0,0,0,,,,
7,120.0935526,12-15-2015 17:54:27,60.09293493,2,1,0.999364197,3.235009432,0.016682461,0,0.052715193,0,0.002009535,0,0,0,0,,,,
8,130.0938128,12-15-2015 17:54:37,70.09319538,2,1,0.999364197,3.253970623,0.019458684,0,0.061722707,0,0.00187993,0,0,0,0,,,,
9,140.1094003,12-15-2015 17:54:47,80.10878297,2,1,0.99918437,3.271473169,0.022239138,0,0.070794946,0,0.001653051,0,0,0,0,,,,
10,150.1095814,12-15-2015 17:54:57,90.10896407,2,1,0.99918437,3.288003206,0.025015332,0,0.079900666,0,0.001620574,0,0,0,0,,,,
11,160.1259037,12-15-2015 17:55:07,100.1252864,2,1,0.999364197,3.303561211,0.027791334,0,0.089050036,0,0.001523373,0,0,0,0,,,,
12,170.140467,12-15-2015 17:55:17,110.1398497,2,1,0.999364197,3.317984581,0.030576237,0,0.098270581,0,0.001393747,0,0,0,0,,,,
13,180.1560173,12-15-2015 17:55:27,120.1553999,2,1,0.999364197,3.331921577,0.033356711,0,0.107515921,0,0.001328897,0,0,0,0,,,,
14,190.1715156,12-15-2015 17:55:37,130.1708982,2,1,0.999544024,3.345048666,0.03613713,0,0.116798299,0,0.00129652,0,0,0,0,,,,
15,200.1715397,12-15-2015 17:55:47,140.1709225,2,1,0.999544024,3.357365131,0.038913262,0,0.126101631,0,0.001229235,0,0,0,0,,,,
16,210.1869877,12-15-2015 17:55:57,150.1863703,2,1,0.99918437,3.36887145,0.04169367,0,0.135452804,0,0.001102018,0,0,0,0,,,,
17,220.2025752,12-15-2015 17:56:07,160.2019578,2,1,0.999364197,3.380377769,0.044474137,0,0.144836246,0,0.001102018,0,0,0,0,,,,
18,230.2181933,12-15-2015 17:56:17,170.2175759,2,1,0.999364197,3.391073704,0.047254607,0,0.154250287,0,0.001069593,0,0,0,0,,,,
19,240.2333478,12-15-2015 17:56:27,180.2327301,2,1,0.999364197,3.401283503,0.050034986,0,0.163693208,0,0.001034042,0,0,0,0,,,,
20,250.2336777,12-15-2015 17:56:37,190.2330603,2,1,0.999364197,3.411169291,0.052811234,0,0.173149869,0,0.001004715,0,0,0,0,,,,
21,260.2493848,12-15-2015 17:56:47,200.2487674,2,1,0.999364197,3.420568705,0.055591734,0,0.182647852,0,0.000875092,0,0,0,0,,,,
22,270.2645235,12-15-2015 17:56:57,210.2639059,2,1,0.999364197,3.429644108,0.058372113,0,0.192171226,0,0.000842714,0,0,0,0,,,,
23,280.2801932,12-15-2015 17:57:07,220.2795756,2,1,0.999544024,3.4383955,0.061152637,0,0.201719935,0,0.000840088,0,0,0,0,,,,
24,290.2802042,12-15-2015 17:57:17,230.2795868,2,1,0.99918437,3.446822643,0.063928783,0,0.211277429,0,0.000777912,0,0,0,0,,,,
25,300.29576,12-15-2015 17:57:27,240.2951426,2,1,0.999364197,3.455087662,0.066709242,0,0.220872773,0,0.000777912,0,0,0,0,,,,
26,310.3113273,12-15-2015 17:57:37,250.3107099,2,1,0.999364197,3.462866545,0.069489714,0,0.230490356,0,0.000745487,0,0,0,0,,,,
27,320.3268614,12-15-2015 17:57:47,260.326244,2,1,0.999364197,3.470321417,0.072270168,0,0.240129213,0,0.000713062,0,0,0,0,,,,
28,330.3424074,12-15-2015 17:57:57,270.34179,2,1,0.999544024,3.477614164,0.075050649,0,0.249788809,0,0.00064826,0,0,0,0,,,,
29,340.3580376,12-15-2015 17:58:07,280.3574204,2,1,0.999364197,3.484582663,0.077831135,0,0.259468278,0,0.00064826,0,0,0,0,,,,
30,350.3735151,12-15-2015 17:58:17,290.3728977,2,1,0.999364197,3.491551161,0.080611561,0,0.269166953,0,0.000615788,0,0,0,0,,,,
31,360.3735738,12-15-2015 17:58:27,300.3729564,2,1,0.999544024,3.498033762,0.08338773,0,0.278869229,0,0.000646232,0,0,0,0,,,,
32,370.3889983,12-15-2015 17:58:37,310.3883809,2,1,0.999364197,3.504516125,0.086168169,0,0.288604214,0,0.000680637,0,0,0,0,,,,
33,380.4046416,12-15-2015 17:58:47,320.4040243,2,1,0.999544024,3.510512352,0.088948675,0,0.298356572,0,0.000550985,0,0,0,0,,,,
